INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,RC1,BEDFORD HOSPITAL NHS TRUST,1084,777,307,71.7,28.3
I00733,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1508,1073,435,71.2,28.8
I00733,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2940,1991,949,67.7,32.3
I00733,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,858,617,241,71.9,28.1
I00733,RCF,AIREDALE NHS FOUNDATION TRUST,984,659,325,67,33
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1456,1055,401,72.5,27.5
I00733,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1830,1295,535,70.8,29.2
I00733,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1498,1113,385,74.3,25.7
I00733,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1072,795,277,74.2,25.8
I00733,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1926,1414,512,73.4,26.6
I00733,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2049,1392,657,67.9,32.1
I00733,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,2971,2135,836,71.9,28.1
I00733,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,1942,1532,410,78.9,21.1
I00733,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1092,857,235,78.5,21.5
I00733,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2057,1378,679,67,33
I00733,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1932,1363,569,70.5,29.5
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2851,2118,733,74.3,25.7
I00733,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1352,940,412,69.5,30.5
I00733,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1399,966,433,69,31
I00733,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1582,1114,468,70.4,29.6
I00733,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,872,666,206,76.4,23.6
I00733,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1698,1167,531,68.7,31.3
I00733,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1375,974,401,70.8,29.2
I00733,RGQ,IPSWICH HOSPITAL NHS TRUST,1761,1152,609,65.4,34.6
I00733,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1264,865,399,68.4,31.6
I00733,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1992,1283,709,64.4,35.6
I00733,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1801,1245,556,69.1,30.9
I00733,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2806,2225,581,79.3,20.7
I00733,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3300,2489,811,75.4,24.6
I00733,RHU,PORTSMOUTH HOSPITALS NHS TRUST,2823,1955,868,69.3,30.7
I00733,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1955,1422,533,72.7,27.3
I00733,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1393,1007,386,72.3,27.7
I00733,RJ2,LEWISHAM AND GREENWICH NHS TRUST,1903,1484,419,78,22
I00733,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1248,980,268,78.5,21.5
I00733,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,1908,1484,424,77.8,22.2
I00733,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,351,248,103,70.7,29.3
I00733,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,3910,2778,1132,71,29
I00733,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1248,926,322,74.2,25.8
I00733,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2127,1514,613,71.2,28.8
I00733,RJN,EAST CHESHIRE NHS TRUST,859,622,237,72.4,27.6
I00733,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1333,974,359,73.1,26.9
I00733,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2560,1974,586,77.1,22.9
I00733,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1224,890,334,72.7,27.3
I00733,RK9,PLYMOUTH HOSPITALS NHS TRUST,2177,1492,685,68.5,31.5
I00733,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2637,1919,718,72.8,27.2
I00733,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,287,270,17,94.1,5.9
I00733,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2074,1581,493,76.2,23.8
I00733,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,2020,1502,518,74.4,25.6
I00733,RLQ,WYE VALLEY NHS TRUST,984,713,271,72.5,27.5
I00733,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,889,635,254,71.4,28.6
I00733,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3035,2081,954,68.6,31.4
I00733,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1754,1359,395,77.5,22.5
I00733,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,1587,1178,409,74.2,25.8
I00733,RMC,BOLTON NHS FOUNDATION TRUST,1668,1268,400,76,24
I00733,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,1357,958,399,70.6,29.4
I00733,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1623,1188,435,73.2,26.8
I00733,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1845,1380,465,74.8,25.2
I00733,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1439,983,456,68.3,31.7
I00733,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2107,1587,520,75.3,24.7
I00733,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1673,1105,568,66,34
I00733,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1388,946,442,68.2,31.8
I00733,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1702,1228,474,72.2,27.8
I00733,RNZ,SALISBURY NHS FOUNDATION TRUST,997,757,240,75.9,24.1
I00733,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,2634,1840,794,69.9,30.1
I00733,RPA,MEDWAY NHS FOUNDATION TRUST,1705,1279,426,75,25
I00733,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,1776,1315,461,74,26
I00733,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1687,1191,496,70.6,29.4
I00733,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,509,346,163,68,32
I00733,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,695,464,231,66.8,33.2
I00733,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1419,1010,409,71.2,28.8
I00733,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,481,367,114,76.3,23.7
I00733,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,4268,3114,1154,73,27
I00733,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1373,1030,343,75,25
I00733,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,3832,2679,1153,69.9,30.1
I00733,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1586,1075,511,67.8,32.2
I00733,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,2390,1791,599,74.9,25.1
I00733,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1190,879,311,73.9,26.1
I00733,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2511,1858,653,74,26
I00733,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2914,1950,964,66.9,33.1
I00733,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2849,2217,632,77.8,22.2
I00733,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,2991,2273,718,76,24
I00733,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3198,2383,815,74.5,25.5
I00733,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1515,1029,486,67.9,32.1
I00733,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1629,1179,450,72.4,27.6
I00733,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2589,1932,657,74.6,25.4
I00733,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1876,1274,602,67.9,32.1
I00733,RVJ,NORTH BRISTOL NHS TRUST,1935,1480,455,76.5,23.5
I00733,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1897,1404,493,74,26
I00733,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3866,2499,1367,64.6,35.4
I00733,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1801,1343,458,74.6,25.4
I00733,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,1315,912,403,69.4,30.6
I00733,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1715,1378,337,80.3,19.7
I00733,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,3904,2607,1297,66.8,33.2
I00733,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,3261,2246,1015,68.9,31.1
I00733,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,3386,2416,970,71.4,28.6
I00733,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4327,2836,1491,65.5,34.5
I00733,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2035,1356,679,66.6,33.4
I00733,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1786,1273,513,71.3,28.7
I00733,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2261,1587,674,70.2,29.8
I00733,RWJ,STOCKPORT NHS FOUNDATION TRUST,1568,1209,359,77.1,22.9
I00733,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2689,1811,878,67.3,32.7
I00733,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,1458,1019,439,69.9,30.1
I00733,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2157,1466,691,68,32
I00733,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3681,3159,522,85.8,14.2
I00733,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2471,1746,725,70.7,29.3
I00733,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,2866,2025,841,70.7,29.3
I00733,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,2241,1610,631,71.8,28.2
I00733,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,2046,1483,563,72.5,27.5
I00733,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2327,1666,661,71.6,28.4
I00733,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2229,1679,550,75.3,24.7
I00733,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2870,1963,907,68.4,31.6
I00733,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1579,1230,349,77.9,22.1
I00733,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2524,1790,734,70.9,29.1
I00733,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,2350,1444,906,61.4,38.6
I00733,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2054,1494,560,72.7,27.3
I00733,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2758,1893,865,68.6,31.4
