INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,22530,1092,987.018,1.106,0.905,1.102,0.884,1.131,2
I00699,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,66214,2170,2007.006,1.081,0.932,1.071,0.892,1.121,2
I00699,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,40458,1955,1727.362,1.132,0.927,1.077,0.891,1.123,1
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",77615,3043,3084.432,0.987,0.945,1.057,0.895,1.118,2
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,42374,1456,1348.893,1.079,0.918,1.087,0.888,1.126,2
I00699,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,39807,1471,1362.142,1.08,0.918,1.087,0.888,1.126,2
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,46077,1703,1650.183,1.032,0.926,1.078,0.89,1.123,2
I00699,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,35765,958,991.144,0.967,0.905,1.102,0.885,1.131,2
I00699,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,50632,1742,1723.146,1.011,0.927,1.077,0.891,1.123,2
I00699,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,31433,1467,1388.761,1.056,0.919,1.086,0.889,1.125,2
I00699,RGQ,IPSWICH HOSPITAL NHS TRUST,47696,1863,1687.491,1.104,0.927,1.078,0.89,1.123,2
I00699,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,32570,1349,1418.39,0.951,0.92,1.085,0.889,1.125,2
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,72446,2112,2456.794,0.86,0.939,1.064,0.893,1.12,3
I00699,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,59910,1769,1953.28,0.906,0.932,1.072,0.892,1.122,2
I00699,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,91279,2881,2910.195,0.99,0.944,1.059,0.894,1.118,2
I00699,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,108369,3466,3921.421,0.884,0.951,1.05,0.896,1.117,3
I00699,RHU,PORTSMOUTH HOSPITALS NHS TRUST,86287,3000,2873.955,1.044,0.943,1.059,0.894,1.118,2
I00699,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,63388,2044,1943.59,1.052,0.931,1.072,0.892,1.122,2
I00699,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,84279,1406,1711.385,0.822,0.927,1.077,0.891,1.123,3
I00699,RJ2,LEWISHAM AND GREENWICH NHS TRUST,59279,1589,1610.592,0.987,0.925,1.079,0.89,1.124,2
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,46285,1183,1297.68,0.912,0.916,1.089,0.888,1.126,2
I00699,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,81641,1872,2351.34,0.796,0.938,1.065,0.893,1.12,3
I00699,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,33678,1171,1110.638,1.054,0.91,1.096,0.886,1.129,2
I00699,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,29501,839,928.521,0.904,0.902,1.106,0.884,1.132,2
I00699,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,100704,3399,3165.907,1.074,0.946,1.056,0.895,1.118,2
I00699,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,40877,1293,1312.844,0.985,0.917,1.088,0.888,1.126,2
I00699,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,57305,2209,2019.608,1.094,0.933,1.071,0.892,1.121,2
I00699,RJN,EAST CHESHIRE NHS TRUST,22854,971,963.68,1.008,0.903,1.104,0.884,1.131,2
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,45681,1359,1243.225,1.093,0.915,1.091,0.887,1.127,2
I00699,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,91242,2291,2479.481,0.924,0.939,1.064,0.893,1.12,2
I00699,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,50081,1768,1765.129,1.002,0.928,1.076,0.891,1.123,2
I00699,RK9,PLYMOUTH HOSPITALS NHS TRUST,68934,2297,2388.288,0.962,0.938,1.065,0.893,1.12,2
I00699,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,85426,2661,2657.137,1.002,0.941,1.061,0.894,1.119,2
I00699,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,25386,380,609.345,0.624,0.88,1.132,0.876,1.141,3
I00699,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,60679,2152,2152.284,1,0.935,1.068,0.892,1.121,2
I00699,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,58162,2044,1842.447,1.109,0.93,1.074,0.891,1.122,2
I00699,RLQ,WYE VALLEY NHS TRUST,27191,1037,898.076,1.155,0.9,1.108,0.883,1.132,1
I00699,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,24113,1010,939.139,1.076,0.902,1.105,0.884,1.132,2
I00699,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,88477,3144,3254.516,0.966,0.947,1.055,0.895,1.118,2
I00699,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,60981,1780,1851.468,0.961,0.93,1.074,0.891,1.122,2
I00699,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,44264,1543,1681.255,0.918,0.926,1.078,0.89,1.123,2
I00699,RMC,BOLTON NHS FOUNDATION TRUST,63206,1679,1579.506,1.063,0.924,1.08,0.89,1.124,2
I00699,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,35154,1424,1273.973,1.118,0.916,1.09,0.888,1.127,2
I00699,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,61341,1696,1731.211,0.98,0.927,1.077,0.891,1.123,2
I00699,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,61272,1917,1852.29,1.035,0.93,1.074,0.891,1.122,2
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,54657,1476,1486.038,0.993,0.922,1.083,0.889,1.125,2
I00699,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,67128,2231,2074.306,1.076,0.934,1.07,0.892,1.121,2
I00699,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,45783,1663,1679.675,0.99,0.926,1.078,0.89,1.123,2
I00699,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,45306,1471,1439.536,1.022,0.921,1.084,0.889,1.125,2
I00699,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,58568,1733,1645.475,1.053,0.926,1.079,0.89,1.123,2
I00699,RNZ,SALISBURY NHS FOUNDATION TRUST,34356,1107,1028.67,1.076,0.906,1.1,0.885,1.13,2
I00699,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,73925,2746,2497.328,1.1,0.939,1.063,0.893,1.119,2
I00699,RPA,MEDWAY NHS FOUNDATION TRUST,51607,1677,1490.352,1.125,0.922,1.083,0.889,1.125,1
I00699,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,47265,1973,1814.904,1.087,0.929,1.075,0.891,1.122,2
I00699,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,51773,1694,1628.974,1.04,0.925,1.079,0.89,1.123,2
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,43683,529,669.637,0.79,0.885,1.125,0.878,1.139,3
I00699,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,20353,741,723.531,1.024,0.889,1.12,0.88,1.137,2
I00699,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,41205,1371,1401.509,0.978,0.92,1.085,0.889,1.125,2
I00699,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,41970,551,625.243,0.881,0.881,1.13,0.877,1.141,2
I00699,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,148110,4447,4047.765,1.099,0.952,1.05,0.896,1.117,2
I00699,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,34024,1414,1440.828,0.981,0.921,1.084,0.889,1.125,2
I00699,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,124810,3981,3950.955,1.008,0.952,1.05,0.896,1.117,2
I00699,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",43107,1723,1553.314,1.109,0.923,1.081,0.89,1.124,2
I00699,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,59284,2483,2340.577,1.061,0.937,1.066,0.893,1.12,2
I00699,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,69233,1152,1509.279,0.763,0.922,1.082,0.889,1.124,3
I00699,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,105071,2477,2754.838,0.899,0.942,1.06,0.894,1.119,2
I00699,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,82389,2982,2770.051,1.077,0.942,1.06,0.894,1.119,2
I00699,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,56430,3033,2712.951,1.118,0.942,1.061,0.894,1.119,2
I00699,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,82206,3072,2801.665,1.097,0.943,1.06,0.894,1.119,2
I00699,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,111050,3251,3316.315,0.98,0.947,1.055,0.895,1.118,2
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,44013,1597,1740.885,0.917,0.928,1.076,0.891,1.123,2
I00699,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,50842,1720,1835.887,0.937,0.929,1.074,0.891,1.122,2
I00699,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,89783,2734,2663.409,1.027,0.941,1.061,0.894,1.119,2
I00699,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,52900,1909,1822.844,1.047,0.929,1.075,0.891,1.122,2
I00699,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,69153,1820,2189.104,0.831,0.935,1.068,0.893,1.121,3
I00699,RVJ,NORTH BRISTOL NHS TRUST,72184,2088,2110.925,0.989,0.934,1.069,0.892,1.121,2
I00699,RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,64873,1946,2206.89,0.882,0.936,1.068,0.893,1.12,3
I00699,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,55061,1922,1975.329,0.973,0.932,1.072,0.892,1.121,2
I00699,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,103418,3932,3968.578,0.991,0.952,1.05,0.896,1.117,2
I00699,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,48037,1880,1666.898,1.128,0.926,1.078,0.89,1.123,1
I00699,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,34995,1352,1229.404,1.1,0.914,1.091,0.887,1.127,2
I00699,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,101811,1901,1896.25,1.003,0.931,1.073,0.891,1.122,2
I00699,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,126831,3928,3877.162,1.013,0.951,1.051,0.896,1.117,2
I00699,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,89456,3314,3252.869,1.019,0.947,1.055,0.895,1.118,2
I00699,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,86079,3465,3349.377,1.035,0.948,1.055,0.895,1.118,2
I00699,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,136527,4483,4214.96,1.064,0.953,1.049,0.896,1.116,2
I00699,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,60848,2191,2147.335,1.02,0.935,1.069,0.892,1.121,2
I00699,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,60639,1912,1958.115,0.976,0.932,1.072,0.892,1.122,2
I00699,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,61086,2270,2048.807,1.108,0.933,1.07,0.892,1.121,2
I00699,RWJ,STOCKPORT NHS FOUNDATION TRUST,59060,1656,1803.852,0.918,0.929,1.075,0.891,1.122,2
I00699,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,73535,2731,2578.185,1.059,0.94,1.062,0.894,1.119,2
I00699,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,49043,1603,1468.093,1.092,0.921,1.083,0.889,1.125,2
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,74701,2293,2096.594,1.094,0.934,1.069,0.892,1.121,2
I00699,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,127644,3866,4275.295,0.904,0.953,1.048,0.896,1.116,2
I00699,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,57786,2749,2439.455,1.127,0.939,1.064,0.893,1.12,1
I00699,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,101834,2925,3144.454,0.93,0.946,1.056,0.895,1.118,2
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,69168,2310,2407.136,0.96,0.938,1.065,0.893,1.12,2
I00699,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,72426,2180,2147.892,1.015,0.935,1.069,0.892,1.121,2
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,55180,2373,2018.139,1.176,0.933,1.071,0.892,1.121,1
I00699,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,73477,2274,2187.242,1.04,0.935,1.068,0.893,1.121,2
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,83657,2975,2905.971,1.024,0.944,1.059,0.894,1.118,2
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,45866,1584,1484.004,1.067,0.922,1.083,0.889,1.125,2
I00699,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,80134,2599,2301.892,1.129,0.937,1.066,0.893,1.12,1
I00699,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,64414,2514,2369.288,1.061,0.938,1.065,0.893,1.12,2
I00699,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,101238,2252,2897.864,0.777,0.944,1.059,0.894,1.118,3
I00699,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,68653,2863,2849.448,1.005,0.943,1.059,0.894,1.119,2
