,Commissioning Region/Provider,Certain infectious and parasitic diseases,Neoplasms,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",Factors influencing health status and contact with health services,Date Period,Unnamed: 0,Codes for special purposes,Provider Code,ONS Geography Code
23, RP7 Lincolnshire Partnership NHS Foundation Trust , * , -   , -   , -   ," 1,353 ", 172 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , * ,0809,,,,
24, RT5 Leicestershire Partnership NHS Trust , -   , -   , -   , -   ," 2,370 ", 16 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 774 , -   , 18 ,0809,,,,
25, RTG Derby Hospitals NHS Foundation Trust ," 1,159 "," 19,807 "," 2,289 "," 4,257 ", 681 ," 3,224 "," 7,237 ", 941 ," 6,372 "," 6,464 "," 14,501 "," 3,478 "," 14,350 "," 7,137 "," 14,764 "," 1,797 ", 715 ," 15,949 "," 9,131 "," 10,478 ",0809,,,,
26, RWD United Lincolnshire Hospitals NHS Trust ," 1,646 "," 22,228 "," 2,809 "," 1,451 ", 353 ," 2,733 "," 5,748 ", 883 ," 9,970 "," 7,427 "," 16,636 "," 2,179 "," 9,994 "," 9,702 "," 12,619 "," 1,356 ", 510 ," 16,712 "," 9,195 "," 10,927 ",0809,,,,
27, RWE University Hospitals of Leicester NHS Trust ," 2,960 "," 28,784 "," 3,953 "," 2,908 "," 1,281 "," 6,517 "," 6,399 "," 1,689 "," 15,635 "," 12,894 "," 21,425 "," 3,352 "," 11,903 "," 12,753 "," 26,134 "," 2,705 "," 2,168 "," 27,013 "," 15,058 "," 23,459 ",0809,,,,
28, RX1 Nottingham University Hospitals NHS Trust ," 2,043 "," 29,921 "," 4,372 "," 2,799 ", 731 ," 6,554 "," 7,674 "," 1,212 "," 11,853 "," 9,226 "," 15,504 "," 3,488 "," 12,928 "," 8,979 "," 20,706 "," 2,742 "," 2,007 "," 22,826 "," 11,774 "," 14,931 ",0809,,,,
29, RXM Derbyshire Mental Health Services NHS Trust , -   , * , -   , -   ," 1,568 ", 76 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 42 , * , 101 ,0809,,,,
30,,,,,,,,,,,,,,,,,,,,,,0809,,,,
31, Q35 East of England Strategic Health Authority ," 13,156 "," 168,242 "," 21,871 "," 17,724 "," 13,071 "," 28,855 "," 54,404 "," 8,111 "," 93,329 "," 68,769 "," 153,021 "," 28,733 "," 106,267 "," 83,246 "," 128,477 "," 15,769 "," 8,635 "," 146,585 "," 80,367 "," 116,812 ",0809,,,,
32, 5P3 East and North Hertfordshire PCT , 11 , 14 , * , 13 , * , 34 , * , -   , 156 , 42 , 16 , 15 , * , 34 , -   , -   , * , 244 , 137 , 495 ,0809,,,,
33, 5P4 West Hertfordshire PCT , 6 , 22 , * , 9 , * , 13 , * , * , 51 , 38 , 19 , 8 , 33 , 29 , -   , -   , -   ," 2,880 ", 192 , 35 ,0809,,,,
34, 5PP Cambridgeshire PCT , 278 , 251 , 39 , 46 , 16 , 57 , 14 , 19 , 58 , 630 , 427 , 58 , 78 , 83 , -   , 456 , 34 , 831 , 293 , 256 ,0809,,,,
35, 5PQ Norfolk PCT , 23 , 572 , 60 , 38 , 130 , 163 , * , * , 485 , 147 , 111 , 153 ," 1,145 ", 90 , -   , -   , 30 , 240 , 666 , 991 ,0809,,,,
36, 5PV West Essex PCT , * , 42 , 22 , 15 , 10 , 33 , * , * , 105 , 76 , 45 , 21 , 29 , 55 , -   , -   , -   , 505 , 125 , 7 ,0809,,,,
37, 5PX Mid Essex PCT , -   , 27 , * , 6 , * , 11 , -   , -   , 70 , 16 , * , 14 , 34 , 25 , -   , -   , -   , 114 , 58 , * ,0809,,,,
38, 5PY South West Essex PCT , 11 , 32 , * , 18 , 8 , 25 , -   , * , 83 , 97 , 40 , 43 , 65 , 89 , -   , -   , -   , 547 , 179 , 9 ,0809,,,,
39," NT204 Nuffield Health, Brentwood Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
40," NT222 Nuffield Health, Ipswich Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
41, NT313 Spire Wellesley Hospital , -   , 25 , -   , 21 , * , 16 , 113 , 18 , 32 , 105 , 271 , 14 , 542 , 69 , -   , -   , * , 788 , -   , 10 ,0809,,,,
42, NT315 Spire Bushey Hospital , -   , 49 , -   , * , -   , 29 , -   , -   , 35 , * , 97 , 10 , 729 , 80 , -   , -   , * , 154 , -   , 10 ,0809,,,,
43, NT316 Spire Harpenden Hospital , -   , -   , -   , -   , -   , -   , 59 , * , -   , 34 , 34 , * , 33 , 60 , -   , -   , -   , 210 , -   , -   ,0809,,,,
44, NT317 Spire Cambridge Lea Hospital , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , 35 , * , 119 , -   , -   , -   , -   , 42 , -   , * ,0809,,,,
45, NT318 Spire Norwich Hospital , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , -   , 685 , -   , -   , -   , * , 65 , 21 , * ,0809,,,,
46, NT319 Spire Hartswood Hospital , * , * , -   , -   , -   , 38 , 75 , 56 , -   , 140 , 82 , 21 , 450 , 66 , -   , -   , -   , 190 , -   , 32 ,0809,,,,
47, NT432 BMI - The Sandringham Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , * , -   ,0809,,,,
48, NVC06 Fitzwilliam Hospital , * , 55 , -   , -   , -   , * , -   , * , * , 56 , 80 , * ," 1,326 ", 29 , -   , -   , * , 51 , 6 , * ,0809,,,,
49, NVC13 Oaks Hospital , -   , * , -   , * , -   , * , 121 , * , 18 , 54 , 242 , * , 419 , 267 , -   , -   , * , 23 , * , 16 ,0809,,,,
50, NVC15 Pinehill Hospital , -   , * , -   , -   , -   , * , 207 , * , -   , 11 , 177 , * , 373 , 17 , -   , -   , -   , 149 , -   , * ,0809,,,,
51, NVC18 Springfield Hospital , -   , * , -   , * , -   , -   , * , -   , -   , 8 , 23 , * , 400 , 109 , -   , * , -   , 96 , * , * ,0809,,,,
52, NVC19 Rivers Hospital , -   , 28 , * , * , -   , -   , 441 , 15 , 7 , 29 , 77 , * , 271 , 50 , -   , -   , * ," 1,699 ", 6 , * ,0809,,,,
53, RAJ Southend University Hospital NHS Foundation Trust , 606 ," 13,421 "," 1,645 ", 952 , 325 ," 1,363 "," 6,460 ", 349 ," 5,357 "," 3,762 "," 9,794 "," 1,833 "," 7,476 "," 5,718 "," 7,313 ", 780 , 314 ," 9,211 "," 5,076 "," 5,550 ",0809,,,,
54, RC1 Bedford Hospital NHS Trust , 368 ," 3,014 ", 769 , 430 , 151 , 801 ," 2,059 ", 242 ," 3,390 "," 2,355 "," 6,388 "," 1,207 "," 2,569 "," 2,646 "," 4,488 ", 793 , 438 ," 5,690 "," 2,690 "," 3,804 ",0809,,,,
55, RC9 Luton and Dunstable Hospital NHS Foundation Trust ," 1,029 "," 6,412 "," 1,590 ", 925 , 224 ," 1,213 "," 2,206 ", 557 ," 3,251 "," 5,094 "," 9,779 "," 1,105 "," 4,244 "," 3,579 "," 10,245 "," 1,087 ", 317 ," 7,875 "," 3,688 "," 9,271 ",0809,,,,
56, RCX The Queen Elizabeth Hospital King's Lynn NHS Trust , 753 ," 8,964 "," 1,756 "," 1,105 ", 245 , 950 ," 2,883 ", 268 ," 3,479 "," 2,948 "," 8,086 "," 1,134 "," 5,082 "," 4,486 "," 5,976 ", 679 , 193 ," 6,778 "," 3,434 "," 4,390 ",0809,,,,
57, RDD Basildon and Thurrock University Hospitals NHS Foundation Trust , 493 ," 4,800 ", 958 ," 1,036 ", 243 ," 1,071 ", 62 , 394 ," 8,027 "," 4,055 "," 8,035 "," 1,077 "," 6,191 "," 4,916 "," 8,434 ", 829 , 255 ," 9,284 "," 3,621 "," 8,528 ",0809,,,,
58, RDE Colchester Hospital University NHS Foundation Trust , 727 ," 8,043 "," 1,236 ", 764 , 220 ," 1,318 "," 2,471 ", 517 ," 4,841 "," 3,742 "," 9,869 "," 1,523 "," 5,100 "," 4,653 "," 7,987 ", 491 , 274 ," 8,512 "," 3,818 "," 5,394 ",0809,,,,
59, RGM Papworth Hospital NHS Foundation Trust , 36 , 579 , 72 , 826 , 44 ," 4,551 ", -   , -   ," 10,312 "," 2,906 ", * , * , 66 , * , * , -   , 198 ," 1,216 ", 285 , 172 ,0809,,,,
60, RGN Peterborough and Stamford Hospitals NHS Foundation Trust ," 1,002 "," 6,851 "," 1,410 ", 732 , 166 ," 1,247 "," 2,534 ", 520 ," 4,989 "," 4,403 "," 9,982 "," 1,733 "," 6,596 "," 4,733 "," 8,352 ", 712 , 343 ," 7,907 "," 5,359 "," 6,903 ",0809,,,,
61, RGP James Paget University Hospitals NHS Foundation Trust , 794 ," 6,586 ", 901 , 673 , 303 , 922 ," 3,200 ", 325 ," 2,998 "," 2,731 "," 6,649 "," 1,276 "," 3,328 "," 3,910 "," 3,857 ", 356 , 205 ," 5,102 "," 3,001 "," 4,125 ",0809,,,,
62, RGQ Ipswich Hospital NHS Trust , 849 ," 12,123 "," 1,290 "," 1,430 ", 266 ," 1,889 "," 2,528 ", 485 ," 5,769 "," 3,665 "," 8,983 "," 1,119 "," 5,559 "," 4,568 "," 7,715 "," 1,983 ", 353 ," 6,916 "," 3,814 "," 5,178 ",0809,,,,
63, RGR West Suffolk Hospitals NHS Trust , 742 ," 6,496 ", 928 , 552 , 155 , 936 ," 3,261 ", 415 ," 3,042 "," 3,323 "," 4,518 "," 1,593 "," 4,473 "," 3,651 "," 6,723 ", 883 , 284 ," 4,974 "," 3,407 "," 3,503 ",0809,,,,
64, RGT Cambridge University Hospitals NHS Foundation Trust ," 1,535 "," 24,221 "," 2,189 "," 1,935 ", 426 ," 3,621 "," 4,136 "," 1,048 "," 6,252 "," 5,157 "," 14,707 "," 2,468 "," 7,853 "," 5,652 "," 9,212 "," 1,292 "," 1,937 "," 9,384 "," 8,674 "," 7,835 ",0809,,,,
65, RM1 Norfolk and Norwich University Hospitals NHS Foundation Trust ," 1,294 "," 24,164 "," 1,958 "," 1,921 ", 432 ," 2,519 "," 7,379 ", 866 ," 9,229 "," 6,489 "," 14,410 "," 3,712 "," 11,420 "," 9,630 "," 12,486 "," 1,066 "," 1,003 "," 10,799 "," 8,600 "," 11,697 ",0809,,,,
66, RMY Norfolk and Waveney Mental Health NHS Foundation Trust , * , -   , -   , -   ," 1,193 ", 90 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 311 , -   , 21 ,0809,,,,
67, RQ8 Mid Essex Hospital Services NHS Trust , 548 ," 13,412 "," 1,363 ", 631 , 409 ," 1,938 "," 2,970 ", 545 ," 5,168 "," 3,467 "," 7,133 "," 2,857 "," 7,439 "," 4,772 "," 10,359 "," 1,329 "," 1,393 "," 9,445 "," 9,316 "," 9,750 ",0809,,,,
68, RQQ-X Hinchingbrooke Health Care NHS Trust , 308 ," 5,591 ", 555 , 627 , 165 , 592 ," 2,815 ", 193 ," 2,082 "," 1,533 "," 4,388 ", 705 ," 2,895 "," 1,755 ", * , * , 132 ," 2,892 "," 1,888 "," 3,115 ",0809,,,,
69, RQW The Princess Alexandra Hospital NHS Trust , 425 ," 7,234 "," 1,054 ", 810 , 233 ," 1,062 "," 2,432 ", 398 ," 3,739 "," 3,259 "," 8,017 "," 1,232 "," 5,667 "," 5,069 "," 5,026 ", 890 , 336 ," 7,034 "," 3,616 "," 4,753 ",0809,,,,
70, RRD North Essex Partnership NHS Foundation Trust , -   , -   , -   , -   ," 1,246 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 780 , -   , * ,0809,,,,
71, RT1 Cambridgeshire and Peterborough NHS Foundation Trust , -   , -   , * , * ," 1,149 ", 56 , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , 317 , * , 199 ,0809,,,,
72, RT6 Suffolk Mental Health Partnership NHS Trust , -   , -   , -   , -   ," 1,360 ", 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 42 , 74 , -   , 33 ,0809,,,,
73, RV7 Bedfordshire and Luton Mental Health and Social Care NHS Trust , -   , -   , -   , -   ," 1,336 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 229 , -   , * ,0809,,,,
74, RWG West Hertfordshire Hospitals NHS Trust , 616 ," 5,605 "," 1,517 "," 1,023 ", 347 ," 1,078 "," 2,523 ", 477 ," 5,251 "," 4,045 "," 10,210 "," 1,310 "," 5,972 "," 5,266 "," 10,013 ", 780 , 246 ," 8,272 "," 3,992 "," 8,193 ",0809,,,,
75, RWH East and North Hertfordshire NHS Trust , 691 ," 9,601 ", 541 ," 1,173 ", 199 ," 1,099 "," 3,443 ", 383 ," 5,050 "," 4,345 "," 10,279 "," 2,474 "," 7,556 "," 7,087 "," 6,732 ", 929 , 288 ," 13,208 "," 4,390 "," 12,398 ",0809,,,,
76, RWN South Essex Partnership University NHS Foundation Trust , -   , -   , -   , * ," 1,426 ", 86 , -   , -   , -   , * , -   , -   , -   , * , -   , -   , -   , 348 , 9 , 115 ,0809,,,,
77, RWR Hertfordshire Partnership NHS Foundation Trust , -   , -   , -   , -   , 623 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,199 ", -   , -   ,0809,,,,
78,,,,,,,,,,,,,,,,,,,,,,0809,,,,
79, Q36 London Strategic Health Authority ," 27,272 "," 193,971 "," 42,209 "," 33,668 "," 30,492 "," 50,061 "," 77,963 "," 10,721 "," 140,838 "," 107,017 "," 246,711 "," 42,826 "," 132,956 "," 145,715 "," 257,890 "," 30,713 "," 23,336 "," 235,360 "," 124,438 "," 216,520 ",0809,,,,
80, 5A4 Havering PCT , 12 , * , * , 7 , * , * , * , -   , 22 , 55 , 8 , 23 , 33 , 53 , -   , -   , -   , 309 , 54 , 905 ,0809,,,,
81, 5A5 Kingston PCT , * , 12 , * , * , * , 11 , -   , * , 50 , 21 , 9 , * , 35 , 29 , -   , -   , -   , 182 , 63 , 56 ,0809,,,,
82, 5AT Hillingdon PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , * ,0809,,,,
83, 5C1 Enfield PCT , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
84, 5C4 Tower Hamlets PCT , * , 25 , 8 , * , 18 , 18 , -   , -   , 172 , 45 , 13 , 42 , 89 , 82 , 557 , -   , -   , 452 , 87 , 254 ,0809,,,,
85, 5C5 Newham PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , -   ,0809,,,,
86, 5C9 Haringey Teaching PCT , -   , -   , -   , -   , 117 , * , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , 170 ,0809,,,,
87, 5K5 Brent Teaching PCT , * , * , -   , * , * , -   , -   , -   , 9 , * , * , * , * , * , * , -   , -   , 45 , * , * ,0809,,,,
88, 5K7 Camden PCT , * , 6 , -   , * , 13 , 20 , -   , -   , 121 , 19 , 9 , 24 , 24 , 12 , -   , -   , -   , 82 , 112 , * ,0809,,,,
89, 5LA Kensington and Chelsea PCT , -   , 155 , -   , -   , * , 8 , -   , -   , 13 , 9 , -   , -   , * , * , -   , -   , -   , 103 , 8 , 17 ,0809,,,,
90, 5LG Wandsworth PCT , * , 12 , 10 , 11 , * , 22 , -   , -   , 66 , 29 , 27 , 13 , 35 , 42 , -   , -   , -   , 177 , 101 , 10 ,0809,,,,
91, 5M6 Richmond and Twickenham PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 306 , -   , -   ,0809,,,,
92, 5M7 Sutton and Merton PCT , 18 , * , * , -   , * , -   , * , -   , * , -   , 438 , -   , -   , -   , -   , -   , -   , 51 , -   , 8 ,0809,,,,
93, NT314 Spire Roding Hospital , * , -   , -   , * , -   , * , -   , 117 , * , 261 , 79 , 20 , 295 , 135 , -   , -   , -   ," 1,032 ", -   , 35 ,0809,,,,
94, NT411 BMI - The Clementine Churchill Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 7 , 8 , -   , -   , -   , * , -   , -   ,0809,,,,
95, NT506 North East London NHS Treatment Centre , -   , 15 , -   , * , -   , 389 ," 2,526 ", -   , 171 , 126 ," 1,470 ", 224 ," 2,510 ", 165 , -   , -   , * , 249 , 42 , 51 ,0809,,,,
96, RAL Royal Free Hampstead NHS Trust ," 1,223 "," 6,537 "," 1,928 "," 1,471 ", 332 ," 1,813 "," 3,730 "," 1,487 "," 5,328 "," 5,188 "," 6,966 "," 3,298 "," 4,158 "," 4,570 "," 5,062 ", 335 , 738 ," 11,006 "," 6,932 "," 6,438 ",0809,,,,
97, RAN Royal National Orthopaedic Hospital NHS Trust , 12 ," 1,035 ", 12 , 6 , -   , 628 , * , -   , * , -   , * , 71 ," 6,678 ", 108 , -   , * , 430 , 69 ," 1,508 ", 205 ,0809,,,,
98, RAP North Middlesex University Hospital NHS Trust , 773 ," 6,828 "," 2,013 ", 998 , 448 , 676 ," 2,045 ", 33 ," 2,600 "," 1,930 "," 4,742 ", 857 ," 2,703 "," 2,814 "," 5,013 ", 616 , 128 ," 4,491 "," 2,419 "," 4,569 ",0809,,,,
99, RAS The Hillingdon Hospital NHS Trust , 602 ," 2,610 ", 910 , 747 , 577 ," 1,130 "," 1,558 ", 56 ," 2,971 "," 2,333 "," 6,627 ", 964 ," 5,369 "," 3,491 "," 9,554 "," 1,002 ", 302 ," 7,558 "," 3,389 "," 6,321 ",0809,,,,
100, RAT North East London NHS Foundation Trust , -   , -   , -   , -   ," 2,224 ", 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 79 ,0809,,,,
101, RAX Kingston Hospital NHS Trust , 661 ," 4,161 ", 752 , 623 , 306 , 798 ," 3,609 ", 263 ," 3,409 "," 3,337 "," 6,615 "," 1,182 "," 3,523 "," 3,769 "," 13,092 "," 1,344 ", 204 ," 4,785 "," 2,901 "," 8,521 ",0809,,,,
102, RC3 Ealing Hospital NHS Trust ," 1,098 "," 3,525 ", 823 , 791 , 517 , 554 , 55 , 146 ," 3,356 "," 2,906 "," 6,099 "," 1,259 "," 1,991 "," 4,205 "," 5,235 ", 997 , 229 ," 4,869 "," 3,015 "," 3,752 ",0809,,,,
103," RF4 Barking, Havering and Redbridge University Hospitals NHS Trust "," 1,168 "," 7,220 "," 1,459 "," 2,019 ", 920 ," 1,816 "," 3,355 ", 679 ," 7,480 "," 7,593 "," 15,165 "," 2,746 "," 7,023 "," 9,601 "," 13,127 "," 3,435 ", 828 ," 20,805 "," 8,311 "," 10,236 ",0809,,,,
104, RFW West Middlesex University Hospital NHS Trust , 754 ," 1,310 ", 558 , 476 , 636 , 816 , 69 , 395 ," 1,539 "," 3,081 "," 5,152 "," 1,026 "," 2,693 "," 2,420 "," 5,767 ", 674 , 134 ," 6,270 "," 3,482 "," 3,853 ",0809,,,,
105, RG2 Queen Elizabeth Hospital NHS Trust , 721 ," 7,107 ", 897 , 774 , 164 , 501 , * , 34 ," 2,551 "," 2,229 "," 5,748 "," 1,580 "," 2,502 "," 4,468 "," 8,122 ", 560 , * ," 4,517 "," 1,967 "," 7,141 ",0809,,,,
106, RG3-X Bromley Hospitals NHS Trust , 445 ," 7,199 ", 862 ," 1,306 ", 275 ," 1,184 "," 2,635 ", 531 ," 4,466 "," 3,689 "," 9,155 "," 1,902 "," 6,604 "," 6,022 "," 6,835 ", 823 , 262 ," 9,025 "," 3,617 "," 7,568 ",0809,,,,
107, RGC Whipps Cross University Hospital NHS Trust ," 1,146 "," 5,539 "," 1,562 ", 998 , 734 , 863 ," 4,776 ", 739 ," 4,337 "," 4,693 "," 9,461 "," 1,500 "," 4,897 "," 5,704 "," 7,425 ", 939 , 269 ," 9,083 "," 4,499 "," 7,581 ",0809,,,,
108, RGZ Queen Mary's Sidcup NHS Trust , 503 ," 3,621 ", 830 , 426 , 134 , 666 ," 3,740 ", * ," 2,279 "," 1,671 "," 5,412 ", 692 ," 2,703 "," 3,170 "," 7,368 ", 851 , * ," 3,052 "," 2,093 "," 4,026 ",0809,,,,
109, RJ1 Guy's and St Thomas' NHS Foundation Trust ," 1,174 "," 8,370 "," 1,648 "," 1,427 "," 1,166 "," 3,845 "," 3,581 ", 879 ," 10,267 "," 5,460 "," 15,675 "," 1,896 "," 7,330 "," 10,303 "," 9,740 ", 524 ," 2,596 "," 10,810 "," 7,501 "," 14,812 ",0809,,,,
110, RJ2 The Lewisham Hospital NHS Trust , 723 ," 4,324 "," 1,400 ", 808 , 426 , 791 , 71 , 548 ," 2,826 "," 4,245 "," 5,848 "," 1,686 "," 3,254 "," 4,122 "," 8,451 ", 861 , 696 ," 5,354 "," 3,698 "," 5,135 ",0809,,,,
