INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,RBK,WALSALL HEALTHCARE NHS TRUST,1557,1093,464,70.1991,29.8009
I00733,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2030,1422,608,70.0493,29.9507
I00733,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2009,1405,604,69.9353,30.0647
I00733,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1382,948,434,68.5962,31.4038
I00733,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1221,850,371,69.6151,30.3849
I00733,RC1,BEDFORD HOSPITAL NHS TRUST,1091,764,327,70.0275,29.9725
I00733,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1548,1100,448,71.0594,28.9406
I00733,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2950,1990,960,67.4576,32.5424
I00733,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,888,631,257,71.0586,28.9414
I00733,RCF,AIREDALE NHS FOUNDATION TRUST,996,641,355,64.3574,35.6426
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1417,998,419,70.4305,29.5695
I00733,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1873,1336,537,71.3294,28.6706
I00733,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1517,1141,376,75.2142,24.7858
I00733,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1077,796,281,73.909,26.091
I00733,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1994,1465,529,73.4704,26.5296
I00733,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2055,1446,609,70.365,29.635
I00733,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3022,2186,836,72.3362,27.6638
I00733,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,1936,1528,408,78.9256,21.0744
I00733,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1125,881,244,78.3111,21.6889
I00733,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2036,1367,669,67.1415,32.8585
I00733,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1937,1351,586,69.747,30.253
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2889,2132,757,73.7972,26.2028
I00733,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1368,918,450,67.1053,32.8947
I00733,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1404,983,421,70.0142,29.9858
I00733,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1647,1131,516,68.6703,31.3297
I00733,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,843,641,202,76.038,23.962
I00733,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1728,1208,520,69.9074,30.0926
I00733,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1425,1000,425,70.1754,29.8246
I00733,RGQ,IPSWICH HOSPITAL NHS TRUST,1738,1128,610,64.9022,35.0978
I00733,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1292,893,399,69.1176,30.8824
I00733,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2014,1309,705,64.995,35.005
I00733,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1850,1284,566,69.4054,30.5946
I00733,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2781,2184,597,78.5329,21.4671
I00733,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3298,2507,791,76.0158,23.9842
I00733,RHU,PORTSMOUTH HOSPITALS NHS TRUST,2809,1919,890,68.3161,31.6839
I00733,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1958,1428,530,72.9316,27.0684
I00733,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1368,990,378,72.3684,27.6316
I00733,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2215,1705,510,76.9752,23.0248
I00733,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1223,953,270,77.9231,22.0769
I00733,RJ7,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,1919,1485,434,77.3841,22.6159
I00733,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1076,740,336,68.7732,31.2268
I00733,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,3990,2816,1174,70.5764,29.4236
I00733,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1247,918,329,73.6167,26.3833
I00733,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2158,1523,635,70.5746,29.4254
I00733,RJN,EAST CHESHIRE NHS TRUST,835,593,242,71.018,28.982
I00733,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1396,1026,370,73.4957,26.5043
I00733,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2886,2185,701,75.7103,24.2897
I00733,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1764,1302,462,73.8095,26.1905
I00733,RK9,PLYMOUTH HOSPITALS NHS TRUST,2181,1485,696,68.088,31.912
I00733,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2723,1981,742,72.7506,27.2494
I00733,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,396,323,73,81.5657,18.4343
I00733,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2146,1614,532,75.2097,24.7903
I00733,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,1999,1474,525,73.7369,26.2631
I00733,RLQ,WYE VALLEY NHS TRUST,1030,732,298,71.068,28.932
I00733,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,881,612,269,69.4665,30.5335
I00733,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3074,2149,925,69.9089,30.0911
I00733,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1817,1407,410,77.4353,22.5647
I00733,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,1632,1216,416,74.5098,25.4902
I00733,RMC,BOLTON NHS FOUNDATION TRUST,1684,1279,405,75.9501,24.0499
I00733,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,1364,948,416,69.5015,30.4985
I00733,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1618,1183,435,73.115,26.885
I00733,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1841,1379,462,74.9049,25.0951
I00733,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1467,998,469,68.03,31.97
I00733,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2139,1609,530,75.2221,24.7779
I00733,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1661,1101,560,66.2854,33.7146
I00733,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1409,976,433,69.269,30.731
I00733,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1685,1205,480,71.5134,28.4866
I00733,RNZ,SALISBURY NHS FOUNDATION TRUST,1032,767,265,74.3217,25.6783
I00733,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,2668,1867,801,69.9775,30.0225
I00733,RPA,MEDWAY NHS FOUNDATION TRUST,1727,1301,426,75.3329,24.6671
I00733,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,1832,1335,497,72.8712,27.1288
I00733,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1705,1224,481,71.7889,28.2111
I00733,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,515,344,171,66.7961,33.2039
I00733,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,678,442,236,65.1917,34.8083
I00733,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1464,1020,444,69.6721,30.3279
I00733,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,510,385,125,75.4902,24.5098
I00733,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,4316,3160,1156,73.2159,26.7841
I00733,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1407,1047,360,74.4136,25.5864
I00733,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,3810,2653,1157,69.6325,30.3675
I00733,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1582,1056,526,66.7509,33.2491
I00733,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,2434,1780,654,73.1306,26.8694
I00733,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1201,894,307,74.438,25.562
I00733,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2512,1873,639,74.5621,25.4379
I00733,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2922,1960,962,67.0773,32.9227
I00733,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2929,2264,665,77.296,22.704
I00733,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,3054,2319,735,75.9332,24.0668
I00733,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3144,2356,788,74.9364,25.0636
I00733,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1510,1009,501,66.8212,33.1788
I00733,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1652,1185,467,71.7312,28.2688
I00733,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2634,1969,665,74.7532,25.2468
I00733,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1876,1274,602,67.9104,32.0896
I00733,RVJ,NORTH BRISTOL NHS TRUST,1929,1465,464,75.9461,24.0539
I00733,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1921,1430,491,74.4404,25.5596
I00733,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3896,2522,1374,64.7331,35.2669
I00733,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1827,1380,447,75.5337,24.4663
I00733,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,1289,884,405,68.5803,31.4197
I00733,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1650,1342,308,81.3333,18.6667
I00733,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,3871,2549,1322,65.8486,34.1514
I00733,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,3289,2278,1011,69.2612,30.7388
I00733,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,3362,2380,982,70.7912,29.2088
I00733,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4307,2806,1501,65.1498,34.8502
I00733,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2082,1398,684,67.147,32.853
I00733,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1862,1342,520,72.073,27.927
I00733,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2273,1596,677,70.2156,29.7844
I00733,RWJ,STOCKPORT NHS FOUNDATION TRUST,1590,1220,370,76.7296,23.2704
I00733,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2656,1779,877,66.9804,33.0196
I00733,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,1468,1022,446,69.6185,30.3815
I00733,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2128,1471,657,69.1259,30.8741
I00733,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3892,3258,634,83.7102,16.2898
I00733,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2444,1715,729,70.1718,29.8282
I00733,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,2863,2023,840,70.6601,29.3399
I00733,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,2214,1556,658,70.28,29.72
I00733,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,2046,1462,584,71.4565,28.5435
I00733,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2347,1683,664,71.7086,28.2914
I00733,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2243,1703,540,75.9251,24.0749
I00733,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2904,1987,917,68.4229,31.5771
I00733,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1586,1227,359,77.3644,22.6356
I00733,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2553,1806,747,70.7403,29.2597
I00733,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,2309,1407,902,60.9355,39.0645
I00733,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2091,1526,565,72.9794,27.0206
I00733,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2846,1924,922,67.6037,32.3963
