INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00742,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,60639,611,8171,13364,11556,20577,6360,1,13.5,22,19.1,33.9,10.5
I00742,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,61086,1380,7758,15389,13055,19047,4457,2.3,12.7,25.2,21.4,31.2,7.3
I00742,RWJ,STOCKPORT NHS FOUNDATION TRUST,59060,10429,11636,11278,10004,11910,3803,17.7,19.7,19.1,16.9,20.2,6.4
I00742,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,73535,9340,10259,16940,18035,12326,6635,12.7,14,23,24.5,16.8,9
I00742,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,49043,15619,7787,5253,8687,7838,3859,31.8,15.9,10.7,17.7,16,7.9
I00742,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,74701,19801,17855,10663,12858,7572,5952,26.5,23.9,14.3,17.2,10.1,8
I00742,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,127644,34103,25137,20641,19603,21919,6241,26.7,19.7,16.2,15.4,17.2,4.9
I00742,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,57786,10706,15502,12582,10454,4416,4126,18.5,26.8,21.8,18.1,7.6,7.1
I00742,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,101834,32384,27108,16261,14040,5173,6868,31.8,26.6,16,13.8,5.1,6.7
I00742,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,69168,9324,14332,14323,11913,12790,6486,13.5,20.7,20.7,17.2,18.5,9.4
I00742,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,72426,43317,12679,7337,1961,765,6367,59.8,17.5,10.1,2.7,1.1,8.8
I00742,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,55180,18016,10625,9074,8299,5775,3391,32.6,19.3,16.4,15,10.5,6.1
I00742,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,73477,18129,11999,12496,13641,12036,5176,24.7,16.3,17,18.6,16.4,7
I00742,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,83657,24297,23607,12534,9082,8553,5584,29,28.2,15,10.9,10.2,6.7
I00742,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,45866,262,6875,6581,7276,19326,5546,0.6,15,14.3,15.9,42.1,12.1
I00742,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,80134,35564,15598,7440,10536,4205,6791,44.4,19.5,9.3,13.1,5.2,8.5
I00742,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,64414,7736,12904,15404,10826,6747,10797,12,20,23.9,16.8,10.5,16.8
I00742,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,101238,25554,29313,17416,11125,5026,12804,25.2,29,17.2,11,5,12.6
I00742,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,68653,4628,11187,21245,15387,10488,5718,6.7,16.3,30.9,22.4,15.3,8.3
