INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,PRE_EXCLUSION_SPELLS,COVID19_SPELLS,POST_EXCLUSION_SPELLS,EXCLUSION_RATE
I02039,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",46250,70,46180,0.2
I02039,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",46135,205,45930,0.4
I02039,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",58695,40,58655,0.1
I02039,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",82480,90,82390,0.1
I02039,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",74255,60,74195,0.1
I02039,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",29300,*,29295,*
I02039,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",59095,20,59075,0.0
I02039,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",84205,60,84145,0.1
I02039,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",139965,190,139775,0.1
I02039,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",119645,120,119520,0.1
I02039,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",126740,175,126570,0.1
I02039,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",50365,25,50340,0.0
I02039,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",83725,130,83595,0.2
I02039,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",68070,125,67945,0.2
I02039,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",69180,45,69135,0.1
I02039,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",63020,45,62975,0.1
I02039,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",112340,445,111895,0.4
I02039,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",49840,110,49730,0.2
I02039,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",63385,85,63300,0.1
I02039,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",49720,85,49630,0.2
I02039,RNZ,"SALISBURY NHS FOUNDATION TRUST",38375,15,38355,0.0
I02039,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",69185,195,68990,0.3
I02039,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",115950,110,115840,0.1
I02039,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",60105,65,60040,0.1
I02039,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",73390,65,73325,0.1
I02039,RH5,"SOMERSET NHS FOUNDATION TRUST",61160,25,61140,0.0
I02039,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",84030,115,83915,0.1
I02039,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",79515,65,79450,0.1
I02039,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",35745,50,35695,0.1
I02039,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",39230,30,39205,0.1
I02039,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",86070,265,85805,0.3
I02039,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",78185,55,78130,0.1
I02039,RWJ,"STOCKPORT NHS FOUNDATION TRUST",54675,60,54615,0.1
I02039,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",53945,110,53835,0.2
I02039,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",36440,50,36395,0.1
I02039,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",62820,140,62685,0.2
I02039,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",40980,115,40865,0.3
I02039,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",115670,85,115585,0.1
I02039,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",56400,65,56335,0.1
I02039,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",49640,25,49615,0.1
I02039,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",34450,20,34435,0.1
I02039,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",51905,30,51875,0.1
I02039,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",70485,220,70265,0.3
I02039,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",45915,35,45880,0.1
I02039,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",82270,45,82225,0.1
I02039,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",118145,155,117990,0.1
I02039,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",81560,0,81560,0.0
I02039,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",263915,555,263360,0.2
I02039,RA7,"UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST",98760,90,98670,0.1
I02039,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",97440,145,97295,0.1
I02039,RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",135945,165,135780,0.1
I02039,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",157980,195,157790,0.1
I02039,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",51110,80,51030,0.2
I02039,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",144915,80,144835,0.1
I02039,RK9,"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",74730,35,74695,0.0
I02039,RBK,"WALSALL HEALTHCARE NHS TRUST",51695,105,51590,0.2
I02039,RWW,"WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",49665,30,49635,0.1
I02039,RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",65260,130,65130,0.2
I02039,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",36520,15,36505,0.0
I02039,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",80375,45,80330,0.1
I02039,RKE,"WHITTINGTON HEALTH NHS TRUST",24055,115,23940,0.5
I02039,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",64210,70,64145,0.1
I02039,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",75630,115,75520,0.2
I02039,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",45425,40,45385,0.1
I02039,RLQ,"WYE VALLEY NHS TRUST",32900,20,32880,0.1
I02039,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",30570,*,30565,*
I02039,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",92995,50,92945,0.1
