INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1243,931,312,74.9,25.1
I00733,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2107,1493,614,70.9,29.1
I00733,RJN,EAST CHESHIRE NHS TRUST,908,656,252,72.2,27.8
I00733,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1348,981,367,72.8,27.2
I00733,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2190,1723,467,78.7,21.3
I00733,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1247,901,346,72.3,27.7
I00733,RK9,PLYMOUTH HOSPITALS NHS TRUST,2201,1505,696,68.4,31.6
I00733,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2667,1967,700,73.8,26.2
I00733,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,202,*,*,*,*
I00733,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2072,1576,496,76.1,23.9
I00733,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,2000,1483,517,74.2,25.9
I00733,RLQ,WYE VALLEY NHS TRUST,1036,777,259,75,25
I00733,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,954,697,257,73.1,26.9
I00733,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3046,2120,926,69.6,30.4
I00733,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1765,1359,406,77,23
I00733,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,1564,1149,415,73.5,26.5
I00733,RMC,BOLTON NHS FOUNDATION TRUST,1633,1233,400,75.5,24.5
I00733,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,1394,1022,372,73.3,26.7
I00733,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1609,1217,392,75.6,24.4
I00733,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1862,1381,481,74.2,25.8
I00733,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1449,1006,443,69.4,30.6
I00733,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2171,1624,547,74.8,25.2
I00733,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1626,1102,524,67.8,32.2
I00733,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1437,985,452,68.5,31.5
I00733,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1594,1173,421,73.6,26.4
I00733,RNZ,SALISBURY NHS FOUNDATION TRUST,1028,813,215,79.1,20.9
I00733,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,2651,1847,804,69.7,30.3
I00733,RPA,MEDWAY NHS FOUNDATION TRUST,1687,1269,418,75.2,24.8
I00733,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,1854,1375,479,74.2,25.8
I00733,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1713,1227,486,71.6,28.4
I00733,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,534,380,154,71.2,28.8
I00733,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,708,495,213,69.9,30.1
I00733,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1373,965,408,70.3,29.7
I00733,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,506,389,117,76.9,23.1
I00733,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,4271,3176,1095,74.4,25.6
I00733,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1385,1051,334,75.9,24.1
I00733,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,3842,2692,1150,70.1,29.9
I00733,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1589,1096,493,69,31
I00733,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,2431,1835,596,75.5,24.5
I00733,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1223,906,317,74.1,25.9
I00733,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2549,1889,660,74.1,25.9
I00733,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2867,1933,934,67.4,32.6
I00733,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2886,2254,632,78.1,21.9
I00733,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,3012,2280,732,75.7,24.3
I00733,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3213,2407,806,74.9,25.1
I00733,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1536,1055,481,68.7,31.3
I00733,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1681,1224,457,72.8,27.2
I00733,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2599,1961,638,75.5,24.5
I00733,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1922,1328,594,69.1,30.9
I00733,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,1723,1311,412,76.1,23.9
I00733,RVJ,NORTH BRISTOL NHS TRUST,2004,1559,445,77.8,22.2
I00733,RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,1805,1346,459,74.6,25.4
I00733,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1916,1398,518,73,27
I00733,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3917,2525,1392,64.5,35.5
I00733,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1837,1352,485,73.6,26.4
I00733,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,1337,941,396,70.4,29.6
I00733,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1802,1444,358,80.1,19.9
I00733,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,3903,2603,1300,66.7,33.3
I00733,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,3281,2308,973,70.3,29.7
I00733,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,3364,2411,953,71.7,28.3
I00733,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4357,2886,1471,66.2,33.8
I00733,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2088,1415,673,67.8,32.2
I00733,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1814,1300,514,71.7,28.3
I00733,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2221,1571,650,70.7,29.3
I00733,RWJ,STOCKPORT NHS FOUNDATION TRUST,1589,1239,350,78,22
I00733,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2695,1848,847,68.6,31.4
I00733,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,1500,1063,437,70.9,29.1
I00733,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2218,1515,703,68.3,31.7
I00733,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3775,3144,631,83.3,16.7
I00733,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2574,1830,744,71.1,28.9
I00733,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,2855,2042,813,71.5,28.5
I00733,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,2259,1629,630,72.1,27.9
I00733,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,2080,1546,534,74.3,25.7
I00733,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2328,1682,646,72.3,27.7
I00733,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2225,1662,563,74.7,25.3
I00733,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2883,2004,879,69.5,30.5
I00733,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1576,1236,340,78.4,21.6
I00733,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2536,1822,714,71.8,28.2
I00733,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,2450,1549,901,63.2,36.8
I00733,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2117,1532,585,72.4,27.6
I00733,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2756,1907,849,69.2,30.8
