INDICATOR_CODE,DIAGNOSIS_GROUP_NUMBER,DIAGNOSIS_GROUP_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED,SHMI_VALUE,SHMI_BANDING,PO_LL,PO_UL,OD_LL,OD_UL
I00699,1,"Tuberculosis",RJ6,"CROYDON HEALTH SERVICES NHS TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RN7,"DARTFORD AND GRAVESHAM NHS TRUST",25,0,*,,,,,,
I00699,1,"Tuberculosis",RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RJN,"EAST CHESHIRE NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",20,0,*,,,,,,
I00699,1,"Tuberculosis",RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",30,*,*,,,,,,
I00699,1,"Tuberculosis",RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",15,0,*,,,,,,
I00699,1,"Tuberculosis",RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",20,*,*,,,,,,
I00699,1,"Tuberculosis",RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",35,0,*,,,,,,
I00699,1,"Tuberculosis",RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",20,*,*,,,,,,
I00699,1,"Tuberculosis",RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",60,*,*,,,,,,
I00699,1,"Tuberculosis",RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",35,*,*,,,,,,
I00699,1,"Tuberculosis",RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",30,*,*,,,,,,
I00699,1,"Tuberculosis",RJ2,"LEWISHAM AND GREENWICH NHS TRUST",50,*,*,,,,,,
I00699,1,"Tuberculosis",REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",30,*,*,,,,,,
I00699,1,"Tuberculosis",R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",75,*,*,,,,,,
I00699,1,"Tuberculosis",RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",25,0,*,,,,,,
I00699,1,"Tuberculosis",RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",45,*,*,,,,,,
I00699,1,"Tuberculosis",RPA,"MEDWAY NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RVJ,"NORTH BRISTOL NHS TRUST",15,0,*,,,,,,
I00699,1,"Tuberculosis",RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",25,0,*,,,,,,
I00699,1,"Tuberculosis",RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",15,0,*,,,,,,
I00699,1,"Tuberculosis",RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",25,0,*,,,,,,
I00699,1,"Tuberculosis",RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",15,*,*,,,,,,
I00699,1,"Tuberculosis",RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",40,0,*,,,,,,
I00699,1,"Tuberculosis",RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RHU,"PORTSMOUTH HOSPITALS NHS TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",30,0,*,,,,,,
I00699,1,"Tuberculosis",RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RNZ,"SALISBURY NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",30,*,*,,,,,,
I00699,1,"Tuberculosis",RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",25,*,*,,,,,,
I00699,1,"Tuberculosis",RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",55,*,*,,,,,,
I00699,1,"Tuberculosis",RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",15,0,*,,,,,,
I00699,1,"Tuberculosis",RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",20,0,*,,,,,,
I00699,1,"Tuberculosis",RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",25,*,*,,,,,,
I00699,1,"Tuberculosis",RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",25,0,*,,,,,,
I00699,1,"Tuberculosis",RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",30,*,*,,,,,,
I00699,1,"Tuberculosis",RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",75,0,*,,,,,,
I00699,1,"Tuberculosis",RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",15,0,*,,,,,,
I00699,1,"Tuberculosis",RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",40,*,*,,,,,,
I00699,1,"Tuberculosis",RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",15,0,*,,,,,,
I00699,1,"Tuberculosis",RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",65,*,*,,,,,,
I00699,1,"Tuberculosis",RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",25,*,*,,,,,,
I00699,1,"Tuberculosis",RK9,"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RBK,"WALSALL HEALTHCARE NHS TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RWW,"WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",15,0,*,,,,,,
I00699,1,"Tuberculosis",RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RA3,"WESTON AREA HEALTH NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RKE,"WHITTINGTON HEALTH NHS TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RLQ,"WYE VALLEY NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",*,*,*,,,,,,
I00699,2,"Septicaemia (except in labour), Shock",RCF,"AIREDALE NHS FOUNDATION TRUST",720,130,150,0.8500,2,0.7670,1.2783,0.8186,1.2216
I00699,2,"Septicaemia (except in labour), Shock",RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",445,80,85,0.9108,2,0.7007,1.3783,0.7846,1.2745
I00699,2,"Septicaemia (except in labour), Shock",RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1495,315,295,1.0660,2,0.8296,1.1935,0.8470,1.1807
I00699,2,"Septicaemia (except in labour), Shock",RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",630,155,120,1.2803,1,0.7425,1.3139,0.8065,1.2400
I00699,2,"Septicaemia (except in labour), Shock",R1H,"BARTS HEALTH NHS TRUST",2750,455,450,1.0137,2,0.8608,1.1543,0.8591,1.1640
I00699,2,"Septicaemia (except in labour), Shock",RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1520,310,295,1.0486,2,0.8293,1.1938,0.8469,1.1808
I00699,2,"Septicaemia (except in labour), Shock",RC1,"BEDFORD HOSPITAL NHS TRUST",685,145,125,1.1588,2,0.7447,1.3106,0.8076,1.2383
I00699,2,"Septicaemia (except in labour), Shock",RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1770,315,345,0.9177,2,0.8415,1.1783,0.8518,1.1740
I00699,2,"Septicaemia (except in labour), Shock",RMC,"BOLTON NHS FOUNDATION TRUST",955,160,185,0.8635,2,0.7883,1.2485,0.8288,1.2066
I00699,2,"Septicaemia (except in labour), Shock",RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",670,90,100,0.8913,2,0.7190,1.3495,0.7943,1.2589
I00699,2,"Septicaemia (except in labour), Shock",RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",970,175,185,0.9663,2,0.7871,1.2501,0.8282,1.2074
I00699,2,"Septicaemia (except in labour), Shock",RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1005,115,155,0.7308,3,0.7707,1.2730,0.8204,1.2189
I00699,2,"Septicaemia (except in labour), Shock",RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",615,115,110,1.0769,2,0.7295,1.3334,0.7998,1.2503
I00699,2,"Septicaemia (except in labour), Shock",RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1300,200,265,0.7532,3,0.8215,1.2040,0.8436,1.1854
I00699,2,"Septicaemia (except in labour), Shock",RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",960,195,185,1.0660,2,0.7870,1.2502,0.8282,1.2075
I00699,2,"Septicaemia (except in labour), Shock",RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",960,160,185,0.8486,2,0.7894,1.2470,0.8293,1.2059
I00699,2,"Septicaemia (except in labour), Shock",RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",780,150,145,1.0110,2,0.7639,1.2827,0.8171,1.2238
I00699,2,"Septicaemia (except in labour), Shock",RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1220,260,230,1.1401,2,0.8078,1.2220,0.8376,1.1938
I00699,2,"Septicaemia (except in labour), Shock",RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1600,265,290,0.9147,2,0.8276,1.1960,0.8462,1.1818
I00699,2,"Septicaemia (except in labour), Shock",RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1160,185,175,1.0514,2,0.7831,1.2556,0.8264,1.2101
I00699,2,"Septicaemia (except in labour), Shock",RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",1095,230,210,1.0844,2,0.8012,1.2309,0.8347,1.1981
I00699,2,"Septicaemia (except in labour), Shock",RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",245,50,45,1.1519,2,0.6023,1.5508,0.7293,1.3712
I00699,2,"Septicaemia (except in labour), Shock",RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",460,85,75,1.0963,2,0.6838,1.4058,0.7754,1.2896
I00699,2,"Septicaemia (except in labour), Shock",RJN,"EAST CHESHIRE NHS TRUST",255,65,50,1.2991,2,0.6193,1.5186,0.7392,1.3528
I00699,2,"Septicaemia (except in labour), Shock",RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",1835,505,380,1.3196,1,0.8493,1.1684,0.8548,1.1698
I00699,2,"Septicaemia (except in labour), Shock",RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",1655,320,320,1.0032,2,0.8359,1.1854,0.8496,1.1771
I00699,2,"Septicaemia (except in labour), Shock",RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",2095,400,415,0.9685,2,0.8550,1.1614,0.8570,1.1669
I00699,2,"Septicaemia (except in labour), Shock",RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2550,520,530,0.9766,2,0.8712,1.1416,0.8628,1.1590
I00699,2,"Septicaemia (except in labour), Shock",RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",895,170,180,0.9379,2,0.7867,1.2507,0.8280,1.2077
I00699,2,"Septicaemia (except in labour), Shock",RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",1805,335,330,1.0207,2,0.8381,1.1826,0.8504,1.1759
I00699,2,"Septicaemia (except in labour), Shock",RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",380,80,70,1.1412,2,0.6729,1.4239,0.7695,1.2996
I00699,2,"Septicaemia (except in labour), Shock",RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",475,105,100,1.0946,2,0.7163,1.3537,0.7929,1.2612
I00699,2,"Septicaemia (except in labour), Shock",RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",1360,290,240,1.1882,2,0.8132,1.2148,0.8400,1.1904
I00699,2,"Septicaemia (except in labour), Shock",RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1120,230,210,1.0970,2,0.7993,1.2335,0.8338,1.1993
I00699,2,"Septicaemia (except in labour), Shock",RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",675,80,90,0.8952,2,0.7030,1.3747,0.7859,1.2725
I00699,2,"Septicaemia (except in labour), Shock",RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",555,95,110,0.8742,2,0.7296,1.3334,0.7998,1.2503
I00699,2,"Septicaemia (except in labour), Shock",RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",345,55,70,0.8319,2,0.6678,1.4325,0.7667,1.3044
I00699,2,"Septicaemia (except in labour), Shock",RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",430,55,60,0.9689,2,0.6449,1.4721,0.7538,1.3265
I00699,2,"Septicaemia (except in labour), Shock",RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",1085,265,215,1.2387,1,0.8027,1.2289,0.8354,1.1971
I00699,2,"Septicaemia (except in labour), Shock",RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",1985,295,340,0.8619,2,0.8410,1.1789,0.8516,1.1743
I00699,2,"Septicaemia (except in labour), Shock",R1F,"ISLE OF WIGHT NHS TRUST",575,105,110,0.9162,2,0.7337,1.3271,0.8020,1.2470
I00699,2,"Septicaemia (except in labour), Shock",RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",905,235,190,1.2562,1,0.7896,1.2466,0.8294,1.2057
I00699,2,"Septicaemia (except in labour), Shock",RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",695,95,130,0.7337,3,0.7514,1.3007,0.8110,1.2331
I00699,2,"Septicaemia (except in labour), Shock",RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",1880,315,325,0.9627,2,0.8378,1.1829,0.8503,1.1760
I00699,2,"Septicaemia (except in labour), Shock",RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",450,90,95,0.9351,2,0.7114,1.3614,0.7903,1.2653
I00699,2,"Septicaemia (except in labour), Shock",RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2465,480,495,0.9709,2,0.8666,1.1471,0.8612,1.1612
I00699,2,"Septicaemia (except in labour), Shock",RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",1620,270,255,1.0617,2,0.8180,1.2085,0.8421,1.1875
I00699,2,"Septicaemia (except in labour), Shock",RJ2,"LEWISHAM AND GREENWICH NHS TRUST",1475,275,250,1.1015,2,0.8164,1.2106,0.8414,1.1885
I00699,2,"Septicaemia (except in labour), Shock",REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2340,495,420,1.1762,1,0.8558,1.1603,0.8573,1.1665
I00699,2,"Septicaemia (except in labour), Shock",R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",1345,205,255,0.8174,3,0.8170,1.2098,0.8417,1.1881
I00699,2,"Septicaemia (except in labour), Shock",RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",680,110,110,0.9836,2,0.7331,1.3281,0.8016,1.2475
I00699,2,"Septicaemia (except in labour), Shock",RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",830,160,160,0.9787,2,0.7743,1.2679,0.8222,1.2163
I00699,2,"Septicaemia (except in labour), Shock",R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",1980,350,330,1.0618,2,0.8384,1.1822,0.8506,1.1757
I00699,2,"Septicaemia (except in labour), Shock",RPA,"MEDWAY NHS FOUNDATION TRUST",1205,235,230,1.0361,2,0.8077,1.2222,0.8376,1.1939
I00699,2,"Septicaemia (except in labour), Shock",RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",755,145,140,1.0200,2,0.7592,1.2895,0.8148,1.2273
I00699,2,"Septicaemia (except in labour), Shock",RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",1010,225,220,1.0298,2,0.8035,1.2278,0.8357,1.1966
I00699,2,"Septicaemia (except in labour), Shock",RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",1255,250,225,1.0959,2,0.8075,1.2225,0.8375,1.1940
I00699,2,"Septicaemia (except in labour), Shock",RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",805,165,140,1.1550,2,0.7606,1.2875,0.8155,1.2262
I00699,2,"Septicaemia (except in labour), Shock",RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1205,270,245,1.0936,2,0.8145,1.2131,0.8406,1.1897
I00699,2,"Septicaemia (except in labour), Shock",RVJ,"NORTH BRISTOL NHS TRUST",1255,175,240,0.7287,3,0.8119,1.2166,0.8394,1.1913
I00699,2,"Septicaemia (except in labour), Shock",RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",980,170,190,0.8975,2,0.7915,1.2440,0.8303,1.2044
I00699,2,"Septicaemia (except in labour), Shock",RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",840,160,135,1.2017,2,0.7548,1.2958,0.8126,1.2305
