INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,64660,2009,1950.8134,1.0298,0.9315,1.072,0.8984,1.1131,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,46100,1382,1379.528,1.0018,0.9189,1.086,0.895,1.1173,2
I00699,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,28901,1221,1310.7528,0.9315,0.9168,1.0883,0.8944,1.1181,2
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,28274,1091,1003.653,1.087,0.9053,1.1014,0.8909,1.1225,2
I00699,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,64009,1548,1515.4087,1.0215,0.9225,1.082,0.896,1.1161,2
I00699,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,77445,2950,2866.2213,1.0292,0.9433,1.0591,0.901,1.1098,2
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,24799,888,885.1618,1.0032,0.8993,1.1083,0.8889,1.1249,2
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,34131,996,1099.1727,0.9061,0.9094,1.0968,0.8922,1.1209,2
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",40571,1417,1504.2893,0.942,0.9222,1.0823,0.8959,1.1162,2
I00699,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,46538,1873,1935.5439,0.9677,0.9312,1.0723,0.8983,1.1132,2
I00699,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,48323,1517,1505.592,1.0076,0.9222,1.0822,0.8959,1.1161,2
I00699,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,40682,1077,1131.6968,0.9517,0.9107,1.0953,0.8926,1.1204,2
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,53681,1994,1930.7971,1.0327,0.9311,1.0723,0.8983,1.1133,2
I00699,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,55511,2055,1970.3131,1.043,0.9318,1.0716,0.8984,1.113,2
I00699,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,111804,3022,3245.7902,0.9311,0.9466,1.0554,0.9017,1.109,2
I00699,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,43526,1936,1919.5468,1.0086,0.9309,1.0726,0.8982,1.1133,2
I00699,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,22656,1125,951.0227,1.1829,0.9028,1.1043,0.8901,1.1235,1
I00699,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,66217,2036,1942.3869,1.0482,0.9313,1.0721,0.8983,1.1132,2
I00699,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,41753,1937,1724.0749,1.1235,0.9272,1.0767,0.8973,1.1145,1
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",78275,2889,3024.9088,0.9551,0.9448,1.0575,0.9013,1.1095,2
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,42524,1368,1324.8689,1.0326,0.9172,1.0878,0.8945,1.1179,2
I00699,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,39574,1404,1333.0925,1.0532,0.9175,1.0876,0.8946,1.1178,2
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,47903,1647,1667.7681,0.9875,0.926,1.078,0.897,1.1149,2
I00699,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,36554,843,925.212,0.9111,0.9015,1.1058,0.8896,1.124,2
I00699,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,52250,1728,1734.7014,0.9961,0.9274,1.0764,0.8973,1.1144,2
I00699,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30181,1425,1279.3803,1.1138,0.9158,1.0894,0.8941,1.1184,2
I00699,RGQ,IPSWICH HOSPITAL NHS TRUST,49722,1738,1698.1037,1.0235,0.9267,1.0773,0.8971,1.1147,2
I00699,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,34281,1292,1410.552,0.916,0.9197,1.085,0.8952,1.117,2
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,73098,2014,2304.8313,0.8738,0.9369,1.0661,0.8996,1.1116,3
I00699,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,63438,1850,2005.6576,0.9224,0.9324,1.0709,0.8986,1.1129,2
I00699,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,92039,2781,2710.2369,1.0261,0.9417,1.0608,0.9007,1.1103,2
I00699,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,109894,3298,3641.9577,0.9056,0.9496,1.0523,0.9023,1.1083,2
I00699,RHU,PORTSMOUTH HOSPITALS NHS TRUST,86114,2809,2612.4604,1.0752,0.9406,1.0619,0.9005,1.1105,2
I00699,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,64195,1958,1888.0242,1.0371,0.9304,1.0732,0.8981,1.1135,2
I00699,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,84256,1368,1654.4309,0.8269,0.9257,1.0783,0.8969,1.115,3
I00699,RJ2,LEWISHAM AND GREENWICH NHS TRUST,78886,2215,2070.639,1.0697,0.9335,1.0698,0.8988,1.1126,2
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,45648,1223,1249.6287,0.9787,0.9149,1.0905,0.8938,1.1188,2
I00699,RJ7,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,79203,1919,2243.5383,0.8553,0.936,1.067,0.8994,1.1118,3
I00699,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,32222,1076,1051.6298,1.0232,0.9074,1.099,0.8916,1.1216,2
I00699,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,130111,3990,3816.1102,1.0456,0.9507,1.051,0.9025,1.1081,2
I00699,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,41928,1247,1295.633,0.9625,0.9163,1.0889,0.8943,1.1182,2
I00699,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,57945,2158,1956.0695,1.1032,0.9316,1.0719,0.8984,1.1131,2
I00699,RJN,EAST CHESHIRE NHS TRUST,22188,835,888.3575,0.9399,0.8995,1.1081,0.889,1.1249,2
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,46079,1396,1254.2872,1.113,0.915,1.0904,0.8939,1.1187,2
I00699,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,114505,2886,3149.3438,0.9164,0.9458,1.0563,0.9016,1.1092,2
I00699,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,50545,1764,1694.7401,1.0409,0.9266,1.0774,0.8971,1.1147,2
I00699,RK9,PLYMOUTH HOSPITALS NHS TRUST,69481,2181,2257.866,0.966,0.9362,1.0668,0.8995,1.1118,2
I00699,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,90984,2723,2662.2264,1.0228,0.9412,1.0614,0.9006,1.1104,2
I00699,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,35018,396,663.7149,0.5966,0.8843,1.1259,0.8836,1.1317,3
I00699,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,63928,2146,2181.561,0.9837,0.9351,1.0679,0.8992,1.1121,2
I00699,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,58925,1999,1800.9293,1.11,0.9288,1.075,0.8977,1.114,2
I00699,RLQ,WYE VALLEY NHS TRUST,28417,1030,911.4122,1.1301,0.9008,1.1066,0.8894,1.1243,1
I00699,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,23076,881,878.3486,1.003,0.899,1.1087,0.8888,1.1251,2
I00699,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,89748,3074,3143.8301,0.9778,0.9458,1.0563,0.9015,1.1092,2
I00699,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,62599,1817,1819.4365,0.9987,0.9291,1.0746,0.8978,1.1139,2
I00699,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,47350,1632,1651.458,0.9882,0.9257,1.0784,0.8969,1.115,2
I00699,RMC,BOLTON NHS FOUNDATION TRUST,64752,1684,1570.7519,1.0721,0.9238,1.0805,0.8964,1.1156,2
I00699,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,33285,1364,1155.746,1.1802,0.9116,1.0943,0.8929,1.12,1
I00699,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,59894,1618,1700.6878,0.9514,0.9267,1.0772,0.8971,1.1146,2
I00699,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,59857,1841,1816.6453,1.0134,0.9291,1.0746,0.8977,1.1139,2
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,58634,1467,1419.2127,1.0337,0.92,1.0848,0.8953,1.1169,2
I00699,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,68689,2139,2075.3572,1.0307,0.9335,1.0697,0.8988,1.1125,2
I00699,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,48481,1661,1718.4268,0.9666,0.9271,1.0768,0.8972,1.1145,2
I00699,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,46470,1409,1436.3675,0.9809,0.9204,1.0843,0.8954,1.1168,2
I00699,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,62416,1685,1705.738,0.9878,0.9268,1.0771,0.8972,1.1146,2
I00699,RNZ,SALISBURY NHS FOUNDATION TRUST,34480,1032,996.2241,1.0359,0.9049,1.1018,0.8908,1.1226,2
I00699,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,73281,2668,2365.9618,1.1277,0.9377,1.0652,0.8998,1.1113,1
I00699,RPA,MEDWAY NHS FOUNDATION TRUST,51356,1727,1441.2896,1.1982,0.9206,1.0841,0.8955,1.1167,1
I00699,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,50377,1832,1738.1844,1.054,0.9275,1.0764,0.8973,1.1144,2
I00699,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,54837,1705,1667.211,1.0227,0.926,1.078,0.897,1.1149,2
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,42483,515,635.1387,0.8108,0.8819,1.1288,0.8827,1.1329,3
I00699,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,21588,678,697.0871,0.9726,0.887,1.1227,0.8846,1.1304,2
I00699,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,49897,1464,1381.0962,1.06,0.9189,1.086,0.895,1.1173,2
I00699,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,41010,510,594.3847,0.858,0.878,1.1334,0.8812,1.1348,3
I00699,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,161047,4316,4121.2244,1.0473,0.9526,1.0491,0.9028,1.1077,2
I00699,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,35285,1407,1400.4227,1.0047,0.9195,1.0854,0.8952,1.1171,2
I00699,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,123299,3810,3661.4523,1.0406,0.9497,1.0521,0.9023,1.1083,2
I00699,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",42128,1582,1459.1598,1.0842,0.9211,1.0836,0.8956,1.1166,2
I00699,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,62074,2434,2403.4161,1.0127,0.9381,1.0647,0.8999,1.1112,2
I00699,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,78079,1201,1511.4446,0.7946,0.9224,1.0821,0.896,1.1161,3
I00699,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,106621,2512,2628.8537,0.9555,0.9408,1.0617,0.9005,1.1105,2
I00699,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,83170,2922,2679.8302,1.0904,0.9414,1.0611,0.9006,1.1103,2
I00699,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,64427,2929,2761.5297,1.0606,0.9422,1.0602,0.9008,1.1101,2
I00699,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,85638,3054,2855.2879,1.0696,0.9432,1.0592,0.901,1.1099,2
I00699,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,111762,3144,3157.8081,0.9956,0.9459,1.0562,0.9016,1.1092,2
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,43553,1510,1692.0153,0.8924,0.9266,1.0774,0.8971,1.1147,3
I00699,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,48855,1652,1774.9919,0.9307,0.9283,1.0755,0.8975,1.1142,2
I00699,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,92203,2634,2569.6128,1.0251,0.9401,1.0625,0.9004,1.1107,2
I00699,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,52270,1876,1797.9946,1.0434,0.9287,1.075,0.8977,1.114,2
I00699,RVJ,NORTH BRISTOL NHS TRUST,72706,1929,2020.0262,0.9549,0.9327,1.0707,0.8986,1.1128,2
I00699,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,59906,1921,1954.2182,0.983,0.9316,1.0719,0.8984,1.1131,2
I00699,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,106024,3896,3781.9636,1.0302,0.9505,1.0513,0.9024,1.1081,2
I00699,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,45872,1827,1536.4442,1.1891,0.923,1.0814,0.8962,1.1159,1
I00699,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,35388,1289,1157.4124,1.1137,0.9116,1.0942,0.8929,1.12,2
I00699,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,104119,1650,1670.764,0.9876,0.9261,1.0779,0.897,1.1149,2
I00699,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,128511,3871,3704.356,1.045,0.95,1.0518,0.9023,1.1082,2
I00699,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,87778,3289,3092.6433,1.0635,0.9454,1.0568,0.9015,1.1093,2
I00699,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,82802,3362,3123.2026,1.0765,0.9456,1.0565,0.9015,1.1093,2
I00699,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,142043,4307,4194.3244,1.0269,0.953,1.0486,0.9029,1.1076,2
I00699,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,63367,2082,2012.6818,1.0344,0.9325,1.0708,0.8986,1.1128,2
I00699,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,65101,1862,2056.2035,0.9056,0.9332,1.07,0.8988,1.1126,2
I00699,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,65862,2273,2029.1214,1.1202,0.9328,1.0705,0.8987,1.1128,1
I00699,RWJ,STOCKPORT NHS FOUNDATION TRUST,60138,1590,1759.794,0.9035,0.928,1.0759,0.8975,1.1143,2
I00699,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,73984,2656,2458.7275,1.0802,0.9388,1.0639,0.9001,1.111,2
I00699,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,48807,1468,1320.0619,1.1121,0.9171,1.088,0.8945,1.1179,2
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,73651,2128,1949.8659,1.0914,0.9315,1.072,0.8983,1.1132,2
I00699,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,129741,3892,4071.4364,0.9559,0.9523,1.0494,0.9028,1.1077,2
I00699,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,58730,2444,2270.0596,1.0766,0.9364,1.0666,0.8995,1.1117,2
I00699,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,115750,2863,3269.2901,0.8757,0.9468,1.0552,0.9017,1.109,3
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,69512,2214,2349.5585,0.9423,0.9375,1.0654,0.8998,1.1114,2
I00699,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,71745,2046,2128.2291,0.9614,0.9344,1.0688,0.899,1.1123,2
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,56825,2347,1979.3564,1.1857,0.932,1.0714,0.8985,1.113,1
I00699,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,76470,2243,2091.3116,1.0725,0.9338,1.0694,0.8989,1.1125,2
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,84298,2904,2815.7256,1.0314,0.9428,1.0596,0.9009,1.11,2
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,50923,1586,1493.8866,1.0617,0.922,1.0826,0.8959,1.1162,2
I00699,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,80640,2553,2336.8121,1.0925,0.9373,1.0656,0.8997,1.1114,2
I00699,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,66556,2309,2274.3045,1.0153,0.9365,1.0665,0.8995,1.1117,2
I00699,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,106066,2091,2770.6332,0.7547,0.9423,1.0601,0.9008,1.1101,3
I00699,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,69902,2846,2802.8414,1.0154,0.9426,1.0598,0.9009,1.11,2
