INDICATOR_CODE,DIAGNOSIS_GROUP_NUMBER,DIAGNOSIS_GROUP_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,Tuberculosis,RJN,EAST CHESHIRE NHS TRUST,*,0,0.0082
I00699,1,Tuberculosis,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,15,0,0.2027
I00699,1,Tuberculosis,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,18,*,0.5351
I00699,1,Tuberculosis,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,6,0,0.1862
I00699,1,Tuberculosis,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,*,0,0.2895
I00699,1,Tuberculosis,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,*,0,0.3031
I00699,1,Tuberculosis,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,23,*,1.6424
I00699,1,Tuberculosis,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,*,0,0.2145
I00699,1,Tuberculosis,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,16,0,0.3864
I00699,1,Tuberculosis,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,11,0,0.3905
I00699,1,Tuberculosis,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,33,*,1.2589
I00699,1,Tuberculosis,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,6,*,0.2492
I00699,1,Tuberculosis,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,*,0,0.0203
I00699,1,Tuberculosis,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,21,0,1.3017
I00699,1,Tuberculosis,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,8,0,0.2668
I00699,1,Tuberculosis,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,54,*,2.6192
I00699,1,Tuberculosis,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7,0,0.1706
I00699,1,Tuberculosis,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,*,0,0.0406
I00699,1,Tuberculosis,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,33,*,1.0863
I00699,1,Tuberculosis,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,*,0,0.0477
I00699,1,Tuberculosis,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,11,0,0.4826
I00699,1,Tuberculosis,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,27,0,0.7038
I00699,1,Tuberculosis,RJ2,LEWISHAM AND GREENWICH NHS TRUST,45,*,1.6506
I00699,1,Tuberculosis,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,99,*,4.1736
I00699,1,Tuberculosis,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,18,0,0.6489
I00699,1,Tuberculosis,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,6,0,0.2454
I00699,1,Tuberculosis,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,42,*,0.6522
I00699,1,Tuberculosis,RPA,MEDWAY NHS FOUNDATION TRUST,11,0,0.731
I00699,1,Tuberculosis,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.0019
I00699,1,Tuberculosis,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,*,0,0.3106
I00699,1,Tuberculosis,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,11,*,0.9758
I00699,1,Tuberculosis,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,12,*,0.6241
I00699,1,Tuberculosis,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,0.245
I00699,1,Tuberculosis,RVJ,NORTH BRISTOL NHS TRUST,14,*,0.5339
I00699,1,Tuberculosis,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,*,0,0.0365
I00699,1,Tuberculosis,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,17,0,0.5745
I00699,1,Tuberculosis,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,*,0,0.0019
I00699,1,Tuberculosis,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,11,0,0.5155
I00699,1,Tuberculosis,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,13,*,0.704
I00699,1,Tuberculosis,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,7,*,0.5207
I00699,1,Tuberculosis,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,*,0,0.1518
I00699,1,Tuberculosis,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,31,*,1.4865
I00699,1,Tuberculosis,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,24,0,0.5284
I00699,1,Tuberculosis,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,45,*,1.4849
I00699,1,Tuberculosis,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,*,*,0.5831
I00699,1,Tuberculosis,RHU,PORTSMOUTH HOSPITALS NHS TRUST,*,*,0.9243
I00699,1,Tuberculosis,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,6,0,0.2774
I00699,1,Tuberculosis,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,8,0,0.425
I00699,1,Tuberculosis,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,*,*,0.4272
I00699,1,Tuberculosis,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,36,*,2.0021
I00699,1,Tuberculosis,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,19,*,0.3749
I00699,1,Tuberculosis,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,*,0,0.2126
I00699,1,Tuberculosis,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,10,*,0.3848
I00699,1,Tuberculosis,RNZ,SALISBURY NHS FOUNDATION TRUST,*,*,0.1925
I00699,1,Tuberculosis,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,43,*,1.0335
I00699,1,Tuberculosis,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,38,*,1.7393
I00699,1,Tuberculosis,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,*,0,0.0722
I00699,1,Tuberculosis,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,6,0,0.302
I00699,1,Tuberculosis,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,*,0,0.1684
I00699,1,Tuberculosis,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,*,0,0.1549
I00699,1,Tuberculosis,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,6,0,0.7055
I00699,1,Tuberculosis,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7,0,0.2789
I00699,1,Tuberculosis,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,*,0,0.2795
I00699,1,Tuberculosis,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,55,0,1.2009
I00699,1,Tuberculosis,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,*,0,0.0108
I00699,1,Tuberculosis,RWJ,STOCKPORT NHS FOUNDATION TRUST,7,0,0.1444
I00699,1,Tuberculosis,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,8,*,0.5501
I00699,1,Tuberculosis,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,9,0,0.4879
I00699,1,Tuberculosis,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,*,0,0.0043
I00699,1,Tuberculosis,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,7,0,0.4807
I00699,1,Tuberculosis,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,19,*,0.9883
I00699,1,Tuberculosis,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,19,0,0.6004
I00699,1,Tuberculosis,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8,*,0.8356
I00699,1,Tuberculosis,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,0,0.0217
I00699,1,Tuberculosis,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,*,0,0.0435
I00699,1,Tuberculosis,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,*,0,0.1872
I00699,1,Tuberculosis,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,19,*,0.6763
I00699,1,Tuberculosis,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,*,0,0.1767
I00699,1,Tuberculosis,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,*,*,0.0619
I00699,1,Tuberculosis,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,32,0,0.3897
I00699,1,Tuberculosis,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,23,0,0.9242
I00699,1,Tuberculosis,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,72,*,2.6198
I00699,1,Tuberculosis,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,18,*,0.6529
I00699,1,Tuberculosis,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,46,*,1.3382
I00699,1,Tuberculosis,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,16,*,1.3585
I00699,1,Tuberculosis,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,66,*,1.7261
I00699,1,Tuberculosis,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,*,0,0.2184
I00699,1,Tuberculosis,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,16,0,1.1751
I00699,1,Tuberculosis,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,6,*,0.4631
I00699,1,Tuberculosis,RBK,WALSALL HEALTHCARE NHS TRUST,13,0,0.2152
I00699,1,Tuberculosis,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,*,0,0.0207
I00699,1,Tuberculosis,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,14,*,1.3474
I00699,1,Tuberculosis,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,8,0,0.4318
I00699,1,Tuberculosis,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,*,*,0.5019
I00699,1,Tuberculosis,RA3,WESTON AREA HEALTH NHS TRUST,7,*,0.253
I00699,1,Tuberculosis,RKE,WHITTINGTON HEALTH NHS TRUST,6,0,0.0796
I00699,1,Tuberculosis,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,0.1268
I00699,1,Tuberculosis,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,7,*,0.1726
I00699,1,Tuberculosis,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",*,0,0.0886
I00699,1,Tuberculosis,RLQ,WYE VALLEY NHS TRUST,*,0,0.0122
I00699,1,Tuberculosis,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,*,0,0.0908
I00699,1,Tuberculosis,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,0.0255
I00699,2,"Septicaemia (except in labour), Shock",REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1507,292,287.5569
I00699,2,"Septicaemia (except in labour), Shock",RCF,AIREDALE NHS FOUNDATION TRUST,701,143,155.2786
I00699,2,"Septicaemia (except in labour), Shock",RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,786,173,167.7072
I00699,2,"Septicaemia (except in labour), Shock",RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2165,453,430.4561
I00699,2,"Septicaemia (except in labour), Shock",RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,824,186,170.5162
I00699,2,"Septicaemia (except in labour), Shock",R1H,BARTS HEALTH NHS TRUST,3254,520,600.9769
I00699,2,"Septicaemia (except in labour), Shock",RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1969,392,389.5584
I00699,2,"Septicaemia (except in labour), Shock",RC1,BEDFORD HOSPITAL NHS TRUST,975,228,209.4154
I00699,2,"Septicaemia (except in labour), Shock",RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1637,282,323.9565
I00699,2,"Septicaemia (except in labour), Shock",RMC,BOLTON NHS FOUNDATION TRUST,1310,273,260.9461
I00699,2,"Septicaemia (except in labour), Shock",RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1561,218,255.4226
I00699,2,"Septicaemia (except in labour), Shock",RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,1282,225,251.1775
I00699,2,"Septicaemia (except in labour), Shock",RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1196,204,209.5579
I00699,2,"Septicaemia (except in labour), Shock",RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,1808,368,359.0904
I00699,2,"Septicaemia (except in labour), Shock",RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1830,280,369.6182
I00699,2,"Septicaemia (except in labour), Shock",RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1206,218,234.9933
I00699,2,"Septicaemia (except in labour), Shock",RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1106,242,238.7762
I00699,2,"Septicaemia (except in labour), Shock",RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,1075,226,210.5147
I00699,2,"Septicaemia (except in labour), Shock",RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,941,167,181.9012
I00699,2,"Septicaemia (except in labour), Shock",RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1634,402,338.4271
I00699,2,"Septicaemia (except in labour), Shock",RJ6,CROYDON HEALTH SERVICES NHS TRUST,1438,298,270.0504
I00699,2,"Septicaemia (except in labour), Shock",RN7,DARTFORD AND GRAVESHAM NHS TRUST,1137,176,183.7882
I00699,2,"Septicaemia (except in labour), Shock",RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,1375,249,271.5262
I00699,2,"Septicaemia (except in labour), Shock",RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,395,88,78.9306
I00699,2,"Septicaemia (except in labour), Shock",RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1281,298,256.8559
I00699,2,"Septicaemia (except in labour), Shock",RJN,EAST CHESHIRE NHS TRUST,517,119,105.8635
I00699,2,"Septicaemia (except in labour), Shock",RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3215,861,746.6283
I00699,2,"Septicaemia (except in labour), Shock",RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2263,559,449.8244
I00699,2,"Septicaemia (except in labour), Shock",RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,2551,580,548.6385
I00699,2,"Septicaemia (except in labour), Shock",RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2381,514,517.2174
I00699,2,"Septicaemia (except in labour), Shock",RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1320,254,283.1915
I00699,2,"Septicaemia (except in labour), Shock",RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,2423,461,459.4257
I00699,2,"Septicaemia (except in labour), Shock",RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1038,222,213.5763
I00699,2,"Septicaemia (except in labour), Shock",RLT,GEORGE ELIOT HOSPITAL NHS TRUST,536,109,112.6062
I00699,2,"Septicaemia (except in labour), Shock",RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1457,299,291.0985
I00699,2,"Septicaemia (except in labour), Shock",RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1829,375,347.0859
I00699,2,"Septicaemia (except in labour), Shock",RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,760,114,119.5727
I00699,2,"Septicaemia (except in labour), Shock",RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1316,280,274.2923
I00699,2,"Septicaemia (except in labour), Shock",RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,480,90,94.16
I00699,2,"Septicaemia (except in labour), Shock",RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,584,54,83.9449
I00699,2,"Septicaemia (except in labour), Shock",RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1191,257,231.882
I00699,2,"Septicaemia (except in labour), Shock",RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1726,269,308.8636
I00699,2,"Septicaemia (except in labour), Shock",R1F,ISLE OF WIGHT NHS TRUST,725,144,151.8295
I00699,2,"Septicaemia (except in labour), Shock",RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,685,154,140.356
I00699,2,"Septicaemia (except in labour), Shock",RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,684,103,132.3173
I00699,2,"Septicaemia (except in labour), Shock",RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2001,384,374.0143
I00699,2,"Septicaemia (except in labour), Shock",RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,534,146,115.326
I00699,2,"Septicaemia (except in labour), Shock",RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2369,483,485.2011
I00699,2,"Septicaemia (except in labour), Shock",RR8,LEEDS TEACHING HOSPITALS NHS TRUST,1822,318,301.7117
I00699,2,"Septicaemia (except in labour), Shock",RJ2,LEWISHAM AND GREENWICH NHS TRUST,1781,340,344.1696
I00699,2,"Septicaemia (except in labour), Shock",R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1763,307,364.2983
I00699,2,"Septicaemia (except in labour), Shock",RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1235,242,228.7553
I00699,2,"Septicaemia (except in labour), Shock",RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,1304,212,243.4225
I00699,2,"Septicaemia (except in labour), Shock",R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2120,347,372.5032
I00699,2,"Septicaemia (except in labour), Shock",RPA,MEDWAY NHS FOUNDATION TRUST,1378,282,286.3602
I00699,2,"Septicaemia (except in labour), Shock",RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1130,240,215.2812
I00699,2,"Septicaemia (except in labour), Shock",RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1673,405,383.9112
I00699,2,"Septicaemia (except in labour), Shock",RXF,MID YORKSHIRE HOSPITALS NHS TRUST,1774,406,355.7707
I00699,2,"Septicaemia (except in labour), Shock",RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1041,187,201.0798
I00699,2,"Septicaemia (except in labour), Shock",RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2136,533,474.035
I00699,2,"Septicaemia (except in labour), Shock",RVJ,NORTH BRISTOL NHS TRUST,1487,250,296.1912
I00699,2,"Septicaemia (except in labour), Shock",RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1067,234,219.8938
I00699,2,"Septicaemia (except in labour), Shock",RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,802,127,141.884
I00699,2,"Septicaemia (except in labour), Shock",RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1610,367,325.4651
I00699,2,"Septicaemia (except in labour), Shock",RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,2040,392,418.036
I00699,2,"Septicaemia (except in labour), Shock",RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1381,338,264.2346
I00699,2,"Septicaemia (except in labour), Shock",RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,461,91,93.5673
I00699,2,"Septicaemia (except in labour), Shock",RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,1265,331,285.9246
I00699,2,"Septicaemia (except in labour), Shock",RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,1544,332,329.1499
I00699,2,"Septicaemia (except in labour), Shock",RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3032,623,587.4774
I00699,2,"Septicaemia (except in labour), Shock",RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1785,318,335.379
I00699,2,"Septicaemia (except in labour), Shock",RW6,PENNINE ACUTE HOSPITALS NHS TRUST,2819,555,523.7707
I00699,2,"Septicaemia (except in labour), Shock",RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,688,114,147.7852
I00699,2,"Septicaemia (except in labour), Shock",RHU,PORTSMOUTH HOSPITALS NHS TRUST,2034,424,436.9395
I00699,2,"Septicaemia (except in labour), Shock",RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1209,225,233.692
I00699,2,"Septicaemia (except in labour), Shock",REF,ROYAL CORNWALL HOSPITALS NHS TRUST,1523,283,326.1253
I00699,2,"Septicaemia (except in labour), Shock",RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1019,216,201.453
I00699,2,"Septicaemia (except in labour), Shock",RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1838,354,375.72
I00699,2,"Septicaemia (except in labour), Shock",RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,1652,379,311.5578
I00699,2,"Septicaemia (except in labour), Shock",RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,826,158,168.5759
I00699,2,"Septicaemia (except in labour), Shock",RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1187,204,237.6708
I00699,2,"Septicaemia (except in labour), Shock",RM3,SALFORD ROYAL NHS FOUNDATION TRUST,1400,278,283.49
I00699,2,"Septicaemia (except in labour), Shock",RNZ,SALISBURY NHS FOUNDATION TRUST,461,88,87.2026
I00699,2,"Septicaemia (except in labour), Shock",RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,688,152,126.6502
I00699,2,"Septicaemia (except in labour), Shock",RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1736,364,356.6967
I00699,2,"Septicaemia (except in labour), Shock",RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1629,310,363.3657
I00699,2,"Septicaemia (except in labour), Shock",RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,1927,357,380.5199
I00699,2,"Septicaemia (except in labour), Shock",RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1422,275,260.395
I00699,2,"Septicaemia (except in labour), Shock",RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,582,146,124.0174
I00699,2,"Septicaemia (except in labour), Shock",RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1015,171,201.3189
I00699,2,"Septicaemia (except in labour), Shock",RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,787,174,155.0309
I00699,2,"Septicaemia (except in labour), Shock",RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,965,181,197.9806
I00699,2,"Septicaemia (except in labour), Shock",RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1196,239,236.7242
