,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2010-11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2010-11. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFS, RFS Chesterfield Royal Hospital NHS Foundation Trust ," 1,142 "," 6,316 "," 1,648 "," 1,130 ", 374 ," 1,286 "," 2,144 ", 385 ," 4,231 "," 4,501 "," 8,342 "," 1,553 "," 6,023 "," 5,340 "," 6,725 ", 672 , 227 ," 8,625 "," 4,726 "," 6,538 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHA, RHA Nottinghamshire Healthcare NHS Trust , * , -   , -   , * ," 2,290 ", 205 , -   , -   , * , -   , -   , -   , -   , * , -   , -   , * , 178 , -   , 454 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK5, RK5 Sherwood Forest Hospitals NHS Foundation Trust ," 1,167 "," 6,023 ", 886 , 808 , 307 ," 1,748 "," 2,508 ", 522 ," 5,191 "," 4,805 "," 8,735 "," 2,296 "," 6,848 "," 6,573 "," 8,786 ", 553 , 164 ," 10,332 "," 4,408 "," 7,459 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNQ, RNQ Kettering General Hospital NHS Foundation Trust , 973 ," 6,846 "," 1,332 "," 1,556 ", 374 ," 1,018 "," 3,084 ", 459 ," 5,084 "," 4,594 "," 9,473 "," 1,143 "," 4,958 "," 4,582 "," 7,037 ", 849 , 295 ," 9,166 "," 4,497 "," 6,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNS, RNS Northampton General Hospital NHS Trust ," 1,472 "," 12,949 "," 1,457 "," 1,939 ", 305 ," 1,439 "," 4,204 ", 643 ," 4,261 "," 4,675 "," 11,724 "," 1,652 "," 5,863 "," 6,133 "," 10,372 "," 1,445 ", 453 ," 8,150 "," 5,675 "," 9,255 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP1, RP1 Northamptonshire Healthcare NHS Foundation Trust , -   , -   , -   , -   , 932 , 60 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,154 ", -   , 29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP7, RP7 Lincolnshire Partnership NHS Foundation Trust , -   , -   , -   , * ," 1,153 ", 141 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 60 , * , 112 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT5, RT5 Leicestershire Partnership NHS Trust , -   , -   , -   , -   ," 2,470 ", 7 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 792 , * , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTG, RTG Derby Hospitals NHS Foundation Trust ," 1,278 "," 21,168 "," 2,250 "," 4,577 ", 603 ," 2,832 "," 8,528 "," 1,207 "," 5,921 "," 5,679 "," 14,702 "," 3,726 "," 12,101 "," 7,229 "," 16,452 "," 1,872 ", 703 ," 16,962 "," 10,198 "," 11,948 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWD, RWD United Lincolnshire Hospitals NHS Trust ," 1,933 "," 22,672 "," 3,179 "," 1,758 ", 405 ," 2,679 "," 7,340 ", 682 ," 9,146 "," 7,935 "," 18,289 "," 2,449 "," 11,564 "," 9,961 "," 16,338 "," 1,776 ", 438 ," 21,939 "," 10,609 "," 13,071 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWE, RWE University Hospitals of Leicester NHS Trust ," 3,791 "," 27,217 "," 4,276 "," 3,185 "," 1,204 "," 7,144 "," 5,590 "," 1,625 "," 15,293 "," 13,054 "," 22,195 "," 3,207 "," 11,519 "," 13,053 "," 26,254 "," 2,493 "," 2,015 "," 26,333 "," 15,360 "," 27,795 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX1, RX1 Nottingham University Hospitals NHS Trust ," 2,379 "," 29,542 "," 4,270 "," 2,707 ", 895 ," 7,252 "," 7,083 "," 1,330 "," 11,849 "," 9,524 "," 14,760 "," 2,730 "," 13,363 "," 9,507 "," 20,880 "," 2,655 "," 1,998 "," 26,019 "," 13,288 "," 18,308 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXM, RXM Derbyshire Healthcare NHS Foundation Trust , -   , -   , -   , -   ," 1,388 ", 86 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , * , 47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q35, Q35 EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY ," 16,409 "," 185,398 "," 23,518 "," 20,076 "," 15,804 "," 30,916 "," 61,323 "," 8,587 "," 95,001 "," 75,723 "," 169,031 "," 30,704 "," 112,878 "," 86,845 "," 128,500 "," 19,723 "," 8,761 "," 153,242 "," 90,314 "," 122,285 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PQ, 5PQ Norfolk PCT , 16 , 325 , 34 , 31 , 75 , 91 , * , * , 402 , 145 , 99 , 35 , 168 , 103 , -   , -   , 16 , 197 , 563 , 553 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PT, 5PT Suffolk PCT , * , 14 , -   , 7 , * , 7 , -   , -   , 40 , 18 , 12 , 15 , 20 , 12 , -   , -   , -   , 232 , 91 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PV, 5PV West Essex PCT , * , 26 , 21 , 14 , * , 18 , -   , -   , 51 , 34 , 8 , * , 15 , 23 , -   , -   , -   ," 1,066 ", 40 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PX, 5PX Mid Essex PCT , * , 41 , 64 , 15 , 6 , 66 , -   , -   , 105 , 49 , 24 , 55 , 56 , 79 , -   , -   , * , 121 , 125 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PY, 5PY South West Essex PCT , 9 , 39 , 7 , 18 , 11 , 39 , * , * , 88 , 74 , 45 , 50 , 75 , 96 , -   , -   , -   , 154 , 225 , 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT204," NT204 Nuffield Health, Brentwood Hospital ", -   , * , -   , -   , -   , 21 , 88 , -   , -   , -   , 21 , * , 116 , 31 , -   , -   , -   , 6 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT209," NT209 Nuffield Health, Cambridge Hospital ", -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , 29 , -   , -   , -   , -   , -   , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT222," NT222 Nuffield Health, Ipswich Hospital ", -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 29 , * , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT313, NT313 Spire Wellesley Hospital , * , 72 , 15 , * , -   , 65 , 137 , * , 32 , 30 , 450 , 35 , 693 , 105 , -   , -   , * , 102 , 23 , 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT315, NT315 Spire Bushey Hospital , -   , 14 , -   , -   , -   , -   , -   , * , 9 , -   , 80 , 14 , 424 , 92 , -   , -   , * , 9 , 10 , 29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT316, NT316 Spire Harpenden Hospital , -   , 22 , * , * , -   , * , 157 , * , * , 36 , 90 , 10 , 309 , 83 , -   , -   , -   , 13 , 6 , 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT317, NT317 Spire Cambridge Lea Hospital , -   , 8 , * , * , -   , -   , -   , -   , * , -   , 62 , 7 , 402 , -   , -   , -   , * , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT318, NT318 Spire Norwich Hospital , -   , -   , -   , -   , -   , -   , -   , 6 , -   , 20 , * , * ," 1,011 ", -   , -   , -   , * , * , 14 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT319, NT319 Spire Hartswood Hospital , * , 31 , -   , * , -   , 33 , 115 , 42 , * , 168 , 118 , 45 , 387 , 146 , -   , -   , * , 28 , * , 62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT423, NT423 BMI - The Manor Hospital , -   , 18 , -   , -   , -   , * , -   , -   , -   , -   , 51 , 14 , 52 , 35 , -   , -   , * , 16 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT432, NT432 BMI - The Sandringham Hospital , -   , * , -   , -   , -   , * , 18 , -   , -   , -   , 54 , -   , 554 , * , -   , -   , -   , -   , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT446, NT446 BMI St Edmunds Hospital , -   , -   , -   , -   , -   , -   , 100 , -   , -   , * , * , -   , 108 , * , -   , -   , -   , * , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPC1, NTPC1 Care Uk Head office , -   , 66 , 13 , * , -   , 190 , 305 , 13 , 76 , 31 ," 1,060 ", 54 ," 1,378 ", 163 , -   , -   , * , 57 , 40 , 97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC06, NVC06 Fitzwilliam Hospital , 14 , 51 , 13 , * , -   , 59 , 99 , 24 , 103 , 112 , 643 , 48 ," 2,057 ", 232 , * , -   , * , 130 , 18 , 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC13, NVC13 Oaks Hospital , * , 97 , 15 , 7 , -   , 48 , 250 , * , 88 , 98 , 612 , 36 , 750 , 362 , * , -   , 6 , 153 , 8 , 34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC15, NVC15 Pinehill Hospital , * , 33 , * , * , -   , 71 , 331 , 19 , 31 , 62 , 553 , 23 , 613 , 145 , -   , -   , * , 69 , 10 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC18, NVC18 Springfield Hospital , 6 , 90 , * , 10 , * , * , 161 , 11 , 46 , 82 , 749 , 20 , 747 , 556 , -   , -   , 7 , 132 , 20 , 98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC19, NVC19 Rivers Hospital , 9 , 178 , 16 , 6 , -   , 24 , 450 , 20 , 189 , 158 ," 1,210 ", 60 , 616 , 919 , -   , -   , 8 , 224 , 24 , 96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJ, RAJ Southend University Hospital NHS Foundation Trust , 583 ," 15,224 "," 1,403 "," 1,017 ", 381 ," 1,316 "," 5,245 ", 368 ," 4,764 "," 3,834 "," 9,081 "," 1,635 "," 7,716 "," 5,814 "," 7,695 ", 695 , 212 ," 10,885 "," 5,350 "," 6,601 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC1, RC1 Bedford Hospital NHS Trust , 530 ," 3,370 ", 601 , 536 , 175 , 784 ," 3,031 ", 262 ," 3,713 "," 2,713 "," 7,697 "," 1,343 "," 2,567 "," 3,350 "," 5,122 ", 685 , 478 ," 4,078 "," 2,896 "," 4,212 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC9, RC9 Luton and Dunstable Hospital NHS Foundation Trust ," 1,542 "," 6,851 "," 1,219 "," 1,208 ", 254 ," 1,131 "," 2,743 ", 640 ," 3,100 "," 5,420 "," 10,239 "," 1,144 "," 4,255 "," 3,936 "," 10,513 "," 1,190 ", 459 ," 9,100 "," 4,200 "," 9,336 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCX," RCX The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust ", 946 ," 9,238 "," 2,334 "," 1,144 ", 247 , 943 ," 3,676 ", 293 ," 3,403 "," 3,620 "," 8,965 "," 1,560 "," 4,483 "," 4,897 "," 6,130 ", 957 , 167 ," 7,136 "," 3,589 "," 5,217 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDD, RDD Basildon and Thurrock University Hospitals NHS Foundation Trust , 607 ," 6,552 "," 1,233 "," 1,022 ", 248 ," 1,267 ", 80 , 379 ," 8,399 "," 4,299 "," 8,837 "," 1,022 "," 6,098 "," 4,945 "," 8,236 "," 1,124 ", 227 ," 7,427 "," 3,732 "," 8,344 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
