Q49,E39000006," CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR AREA TEAM "," 16,911 "," 97,779 "," 12,688 "," 11,535 "," 5,543 "," 17,241 "," 41,063 "," 4,174 "," 45,254 "," 44,175 "," 93,081 "," 15,241 "," 63,280 "," 47,547 "," 33,471 "," 7,191 "," 5,545 "," 62,884 "," 42,747 ", - ," 45,895 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q55,E39000012, DERBYSHIRE AND NOTTINGHAMSHIRE AREA TEAM ," 13,057 "," 76,776 "," 11,175 "," 9,045 "," 6,687 "," 13,003 "," 18,305 "," 2,950 "," 29,658 "," 30,342 "," 59,569 "," 12,462 "," 54,178 "," 30,463 "," 54,029 "," 5,431 "," 3,041 "," 60,023 "," 36,483 ", - ," 44,731 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q66,E39000021," DEVON, CORNWALL AND ISLES OF SCILLY AREA TEAM "," 10,607 "," 86,409 "," 10,700 "," 7,695 "," 4,497 "," 11,468 "," 24,719 "," 2,815 "," 34,619 "," 27,577 "," 62,142 "," 9,838 "," 40,484 "," 28,900 "," 34,732 "," 7,194 "," 1,888 "," 53,563 "," 38,267 ", - ," 28,764 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q45,E39000002," DURHAM, DARLINGTON AND TEES AREA TEAM "," 10,915 "," 48,827 "," 8,034 "," 5,560 "," 3,318 "," 7,975 "," 16,118 "," 2,093 "," 23,161 "," 25,165 "," 46,650 "," 9,531 "," 31,134 "," 19,548 "," 25,089 "," 3,798 "," 1,273 "," 39,888 "," 24,140 ", - ," 25,538 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q56,E39000013, EAST ANGLIA AREA TEAM ," 16,717 "," 120,093 "," 15,102 "," 11,575 "," 8,262 "," 20,031 "," 43,837 "," 4,492 "," 54,208 "," 49,308 "," 87,328 "," 16,202 "," 56,206 "," 42,259 "," 52,339 "," 11,063 "," 4,769 "," 72,696 "," 46,886 ", - ," 51,308 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57,E39000014, ESSEX AREA TEAM ," 9,237 "," 65,275 "," 8,815 "," 5,752 "," 4,024 "," 8,952 "," 16,787 "," 2,288 "," 29,374 "," 26,602 "," 49,825 "," 9,973 "," 38,485 "," 28,372 "," 39,892 "," 7,008 "," 1,642 "," 49,148 "," 29,013 ", - ," 34,358 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q46,E39000003, GREATER MANCHESTER AREA TEAM ," 23,537 "," 79,214 "," 19,839 "," 19,856 "," 14,649 "," 21,427 "," 46,433 "," 5,122 "," 56,668 "," 62,823 "," 117,326 "," 16,443 "," 78,355 "," 54,503 "," 77,821 "," 16,964 "," 7,036 "," 91,331 "," 59,945 ", 1 ," 60,651 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58,E39000015, HERTFORDSHIRE AND THE SOUTH MIDLANDS AREA TEAM ," 15,215 "," 57,195 "," 11,137 "," 9,276 "," 6,313 "," 9,854 "," 25,261 "," 3,433 "," 35,565 "," 40,346 "," 80,379 "," 10,943 "," 45,061 "," 37,603 "," 58,491 "," 11,211 "," 2,889 "," 83,819 "," 37,714 ", - ," 47,352 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q67,E39000022, KENT AND MEDWAY AREA TEAM ," 10,157 "," 34,128 "," 6,192 "," 6,025 "," 5,013 "," 7,854 "," 23,400 "," 2,560 "," 26,793 "," 28,862 "," 58,348 "," 8,989 "," 43,425 "," 30,653 "," 31,382 "," 6,701 "," 1,363 "," 59,666 "," 30,052 ", - ," 32,770 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q47,E39000004, LANCASHIRE AREA TEAM ," 12,776 "," 45,910 "," 7,624 "," 6,006 "," 5,763 "," 11,438 "," 19,183 "," 2,620 "," 31,975 "," 32,518 "," 60,982 "," 12,258 "," 58,649 "," 28,434 "," 37,473 "," 6,070 "," 1,943 "," 46,798 "," 32,253 ", - ," 34,170 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q59,E39000016, LEICESTERSHIRE AND LINCOLNSHIRE AREA TEAM ," 8,420 "," 60,570 "," 7,174 "," 5,507 "," 4,422 "," 10,265 "," 16,431 "," 2,094 "," 25,795 "," 23,319 "," 45,455 "," 6,646 "," 30,920 "," 23,452 "," 34,386 "," 3,816 "," 2,306 "," 43,592 "," 22,441 ", - ," 29,891 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q71,E39000018, LONDON AREA TEAM ," 51,879 "," 232,583 "," 58,107 "," 41,869 "," 37,526 "," 72,748 "," 88,304 "," 11,011 "," 144,967 "," 131,235 "," 293,250 "," 46,895 "," 165,769 "," 148,524 "," 230,141 "," 49,427 "," 28,579 "," 245,019 "," 136,217 ", 3 ," 190,628 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q48,E39000005, MERSEYSIDE AREA TEAM ," 8,257 "," 42,670 "," 9,021 "," 8,213 "," 7,068 "," 10,828 "," 19,509 "," 1,955 "," 30,811 "," 25,095 "," 57,229 "," 10,643 "," 38,796 "," 26,808 "," 30,537 "," 4,629 "," 5,553 "," 48,903 "," 33,493 ", - ," 27,799 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q50,E39000007, NORTH YORKSHIRE AND HUMBER AREA TEAM ," 10,095 "," 71,844 "," 10,078 "," 8,405 "," 4,934 "," 10,040 "," 22,425 "," 2,585 "," 31,928 "," 29,456 "," 71,291 "," 8,678 "," 47,816 "," 28,758 "," 31,748 "," 7,700 "," 2,062 "," 48,372 "," 28,594 ", - ," 30,946 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q60,E39000017, SHROPSHIRE AND STAFFORDSHIRE AREA TEAM ," 10,190 "," 61,038 "," 8,103 "," 6,342 "," 3,998 "," 12,105 "," 13,506 "," 2,571 "," 27,299 "," 29,178 "," 52,883 "," 8,176 "," 46,224 "," 23,725 "," 32,339 "," 6,164 "," 1,687 "," 44,405 "," 27,912 ", - ," 27,871 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q51,E39000008, SOUTH YORKSHIRE AND BASSETLAW AREA TEAM ," 10,901 "," 64,966 "," 11,292 "," 7,636 "," 4,140 "," 12,730 "," 30,658 "," 2,730 "," 32,851 "," 32,058 "," 70,385 "," 10,537 "," 42,494 "," 27,458 "," 40,026 "," 8,337 "," 3,918 "," 57,939 "," 30,392 ", - ," 28,605 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q68,E39000023, SURREY AND SUSSEX AREA TEAM ," 15,553 "," 83,036 "," 14,162 "," 9,916 "," 8,945 "," 17,108 "," 36,010 "," 3,947 "," 49,490 "," 42,501 "," 104,955 "," 16,350 "," 80,745 "," 47,008 "," 45,534 "," 10,587 "," 2,944 "," 86,992 "," 55,075 ", - ," 47,907 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q69,E39000024, THAMES VALLEY AREA TEAM ," 12,490 "," 61,945 "," 8,967 "," 7,345 "," 2,623 "," 12,433 "," 18,942 "," 2,510 "," 28,865 "," 27,203 "," 57,823 "," 10,751 "," 42,099 "," 28,949 "," 40,474 "," 8,306 "," 3,701 "," 55,586 "," 36,366 ", - ," 39,548 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q70,E39000025, WESSEX AREA TEAM ," 14,626 "," 71,266 "," 12,092 "," 9,169 "," 8,308 "," 16,904 "," 40,871 "," 3,579 "," 45,367 "," 39,602 "," 88,560 "," 13,027 "," 58,204 "," 41,874 "," 39,471 "," 9,158 "," 3,887 "," 74,032 "," 47,441 ", 2 ," 48,219 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q52,E39000009, WEST YORKSHIRE AREA TEAM ," 14,672 "," 70,938 "," 11,653 "," 11,773 "," 7,490 "," 13,017 "," 32,228 "," 3,760 "," 41,255 "," 42,731 "," 79,631 "," 14,336 "," 58,973 "," 41,390 "," 63,588 "," 8,786 "," 4,630 "," 74,807 "," 49,303 ", - ," 56,320 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTQ,,2Gether NHS Foundation Trust, - , - , - , - ," 1,028 ", 6 , - , - , - , * , - , - , - , - , - , - , - , 34 , - , * , 29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTV,,5 Boroughs Partnership NHS Foundation Trust, - , - , - , - ," 2,230 ", 179 , - , - , - , - , - , - , - , - , - , - , - , 79 , - , - , 193 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM,,Aintree University Hospital NHS Foundation Trust," 1,366 "," 9,169 "," 2,514 "," 1,429 ", 797 ," 1,731 "," 3,659 ", 389 ," 5,444 "," 6,166 "," 15,680 "," 2,277 "," 6,094 "," 4,744 ", 40 , - , 139 ," 10,231 "," 6,362 ", - ," 4,318 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCF,,Airedale NHS Foundation Trust," 1,701 "," 9,142 "," 1,283 "," 1,135 ", 238 , 778 ," 1,490 ", 208 ," 3,617 "," 3,423 "," 7,573 ", 874 ," 2,699 "," 4,794 "," 7,139 ", 537 , 107 ," 5,597 "," 2,939 ", - ," 6,044 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS,,Alder Hey Children's NHS Foundation Trust," 1,082 "," 4,465 ", 713 ," 1,274 ", 108 ," 1,247 ", 572 , 545 , 286 ," 2,646 "," 4,207 ", 842 ," 2,513 "," 1,850 ", - , 650 ," 4,085 "," 3,306 "," 3,352 ", - ," 2,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTK,,Ashford And St Peter's Hospitals NHS Foundation Trust," 1,754 "," 6,159 "," 1,409 "," 1,324 ", 294 ," 1,369 "," 3,806 ", 326 ," 6,078 "," 4,342 "," 11,313 "," 1,334 "," 7,250 "," 4,822 "," 6,144 "," 1,679 ", 249 ," 6,523 "," 3,838 ", - ," 4,882 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC01,,Ashtead Hospital, 30 , 110 , 29 , * , - , 120 , 208 , * , 208 , 57 , 884 , 30 ," 2,033 ", 158 , - , - , * , 209 , 22 , - , 59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYW04,,Aspen - Claremont Hospital, * , 22 , - , * , - , 74 , 99 , * , 82 , 30 , 350 , 19 ," 2,248 ", 139 , * , - , 6 , 6 , 30 , - , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
