"Table E: Finished admission episodes by primary diagnosis chapter for England, Area Team and individual provider (2013-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Area Team/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,Factors influencing health status and contact with health services (Z00-Z99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q45," DURHAM, DARLINGTON AND TEES AREA TEAM "," 11,545 "," 50,705 "," 7,840 "," 5,599 "," 3,491 "," 7,961 "," 15,424 "," 2,311 "," 23,790 "," 23,483 "," 48,641 "," 9,599 "," 32,651 "," 21,994 "," 26,951 "," 3,940 "," 1,577 "," 45,303 "," 26,182 ", -   ," 26,502 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q56, EAST ANGLIA AREA TEAM ," 15,433 "," 118,853 "," 14,259 "," 11,218 "," 6,993 "," 19,152 "," 41,242 "," 4,614 "," 52,563 "," 45,225 "," 83,115 "," 14,351 "," 55,112 "," 41,385 "," 51,774 "," 9,516 "," 4,903 "," 71,491 "," 46,515 ", -   ," 49,530 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57, ESSEX AREA TEAM ," 7,578 "," 63,954 "," 8,315 "," 5,397 "," 4,287 "," 8,288 "," 14,377 "," 2,314 "," 28,760 "," 23,500 "," 48,152 "," 9,488 "," 38,584 "," 28,585 "," 38,025 "," 5,477 ", * ," 48,546 "," 29,650 ", * ," 37,167 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q46, GREATER MANCHESTER AREA TEAM ," 22,391 "," 78,057 "," 19,475 "," 19,618 "," 14,196 "," 19,769 "," 36,884 "," 5,130 "," 55,263 "," 56,763 "," 113,092 "," 15,867 "," 74,242 "," 52,800 "," 77,780 "," 14,760 "," 6,566 "," 92,588 "," 60,351 ", -   ," 66,883 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58, HERTFORDSHIRE AND THE SOUTH MIDLANDS AREA TEAM ," 14,648 "," 53,650 "," 10,613 "," 8,635 "," 4,641 "," 9,170 "," 25,035 "," 3,535 "," 34,233 "," 36,286 "," 75,748 "," 10,329 "," 42,016 "," 36,692 "," 58,007 "," 10,263 "," 2,976 "," 77,721 "," 36,005 ", -   ," 50,857 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q67, KENT AND MEDWAY AREA TEAM ," 9,346 "," 35,077 "," 5,763 "," 5,450 "," 5,341 "," 7,576 "," 20,325 "," 2,717 "," 26,793 "," 26,153 "," 54,872 "," 8,910 "," 42,075 "," 31,086 "," 30,878 "," 6,456 ", * ," 58,608 "," 30,028 ", * ," 31,189 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q47, LANCASHIRE AREA TEAM ," 11,202 "," 46,244 "," 7,870 "," 5,946 "," 6,160 "," 10,733 "," 19,229 "," 2,726 "," 31,276 "," 29,474 "," 56,249 "," 10,621 "," 53,030 "," 28,949 "," 36,096 "," 5,539 "," 2,063 "," 51,118 "," 31,976 ", -   ," 33,165 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q59, LEICESTERSHIRE AND LINCOLNSHIRE AREA TEAM ," 7,434 "," 56,453 "," 6,339 "," 5,355 "," 4,385 "," 10,039 "," 15,589 "," 1,974 "," 25,560 "," 20,318 "," 43,683 "," 6,324 "," 29,651 "," 23,714 "," 35,771 "," 3,451 "," 2,203 "," 43,700 "," 23,078 ", -   ," 34,241 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q71, LONDON AREA TEAM ," 49,831 "," 226,645 "," 54,459 "," 39,723 "," 37,257 "," 68,694 "," 84,811 "," 10,489 "," 143,815 "," 120,236 "," 283,795 "," 44,611 "," 156,442 "," 152,928 "," 239,298 "," 46,836 "," 28,614 "," 237,789 "," 135,618 ", -   ," 200,293 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q48, MERSEYSIDE AREA TEAM ," 7,529 "," 39,603 "," 7,873 "," 7,929 "," 6,906 "," 9,973 "," 18,781 "," 1,882 "," 29,397 "," 22,517 "," 53,807 "," 10,073 "," 40,033 "," 26,234 "," 28,473 "," 5,428 "," 5,719 "," 50,062 "," 30,027 ", -   ," 28,873 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q50, NORTH YORKSHIRE AND HUMBER AREA TEAM ," 9,343 "," 65,992 "," 9,390 "," 8,420 "," 4,690 "," 9,147 "," 20,877 "," 2,550 "," 30,646 "," 25,089 "," 64,302 "," 7,727 "," 42,547 "," 27,317 "," 31,370 "," 8,427 "," 1,730 "," 43,546 "," 28,375 ", -   ," 29,671 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q60, SHROPSHIRE AND STAFFORDSHIRE AREA TEAM ," 9,677 "," 59,327 "," 7,593 "," 6,436 "," 4,507 "," 11,971 "," 12,380 "," 2,455 "," 26,814 "," 27,455 "," 49,893 "," 8,106 "," 43,691 "," 23,852 "," 35,489 "," 6,558 "," 1,625 "," 45,476 "," 28,370 ", -   ," 28,248 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q51, SOUTH YORKSHIRE AND BASSETLAW AREA TEAM ," 10,826 "," 63,978 "," 10,334 "," 7,750 "," 4,556 "," 11,925 "," 25,872 "," 2,736 "," 31,314 "," 30,681 "," 68,267 "," 10,283 "," 40,029 "," 27,105 "," 41,100 "," 7,986 "," 3,792 "," 57,847 "," 30,968 ", -   ," 29,227 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q68, SURREY AND SUSSEX AREA TEAM ," 14,534 "," 77,612 "," 13,561 "," 9,288 "," 9,283 "," 16,429 "," 31,775 "," 4,395 "," 49,624 "," 38,949 "," 100,153 "," 15,520 "," 77,631 "," 45,947 "," 48,308 "," 10,354 "," 3,252 "," 83,695 "," 55,820 ", -   ," 48,507 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q69, THAMES VALLEY AREA TEAM ," 11,345 "," 62,489 "," 8,189 "," 6,592 "," 3,111 "," 11,320 "," 17,482 "," 2,599 "," 28,886 "," 23,042 "," 53,726 "," 9,555 "," 39,583 "," 27,475 "," 39,079 "," 8,311 "," 3,663 "," 49,751 "," 33,447 ", -   ," 38,559 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q70, WESSEX AREA TEAM ," 14,399 "," 68,582 "," 11,058 "," 9,359 "," 7,690 "," 15,813 "," 37,314 "," 3,585 "," 44,128 "," 36,995 "," 83,252 "," 12,529 "," 55,496 "," 41,708 "," 40,108 "," 9,130 ", * ," 78,881 "," 47,320 ", * ," 47,794 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q52, WEST YORKSHIRE AREA TEAM ," 15,408 "," 69,975 "," 10,925 "," 12,324 "," 7,264 "," 11,539 "," 28,148 "," 3,992 "," 39,779 "," 39,775 "," 79,554 "," 14,830 "," 53,617 "," 41,395 "," 63,137 "," 10,092 ", * ," 78,449 "," 49,686 ", * ," 52,519 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTQ, 2Gether NHS Foundation Trust , -   , -   , -   , * ," 1,195 ", 13 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 8 , * , -   , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTV, 5 Boroughs Partnership NHS Foundation Trust , -   , -   , -   , -   ," 1,982 ", 124 , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * , 99 , * , -   , 301 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
