"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2015-16)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2015-16.",,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)"
RRP," Barnet, Enfield and Haringey Mental Health NHS Trust ", * , * , * , * ,"2,061",55, -   , -   ,8,12, * , * ,7,13, -   , -   , -   ,100,21, -   ,177
RFF, Barnsley Hospital NHS Foundation Trust ,"1,805","6,466","1,698","1,523",415,899,108,372,"4,495","5,836","9,763","2,098","3,847","3,424","6,014","1,087",120,"9,071","4,327", -   ,"4,136"
R1H, Barts Health NHS Trust ,"6,285","12,535","4,797","3,171","1,400","5,858","4,767","1,096","21,293","14,294","31,127","4,029","15,908","14,101","24,925","5,840","1,814","24,791","17,479", -   ,"17,184"
RDD, Basildon and Thurrock University Hospitals NHS Foundation Trust ,"2,490","8,985","1,952","1,209",267,"1,454",74,369,"9,814","4,992","10,613","1,080","5,345","4,370","10,317","1,950",162,"7,379","3,684", -   ,"8,889"
RC1, Bedford Hospital NHS Trust ,"1,378","4,483",859,707,342,878,"2,925",252,"4,424","3,980","9,319","1,526","2,538","3,495","4,709","1,283",458,"5,046","3,453", -   ,"3,753"
NWF01, Benenden Hospital , * ,36, -   , -   , * ,49,746,25,15,54,86,13,"1,452",159, -   , -   , * , * ,17, -   , * 
RWX, Berkshire Healthcare NHS Foundation Trust ,8,8, -   ,8,572,48, * , * ,59,48,12,16,41,48, -   , -   , * ,"1,670",150, -   ,515
NWX11, BICS-Community , * ,18, -   , * , -   ,142, -   , -   , * , * ,26,9,"1,384",6, -   , -   , * ,15,19, -   ,9
RXT, Birmingham and Solihull Mental Health NHS Foundation Trust , -   , -   , -   , * ,"2,319",86, -   , -   , * , * , -   , -   , * , -   , -   , -   , * ,34, -   , -   ,88
RQ3, Birmingham Children's Hospital NHS Foundation Trust ,"2,058","4,826","2,134","1,350",338,"1,745",542,983,527,"4,324","3,693","1,047","1,206","1,311", -   ,688,"5,055","4,297","4,000", -   ,"1,126"
RYW, Birmingham Community Healthcare NHS Foundation Trust ,35,88, * ,23,48,87, * , * ,191,169,"2,549",49,133,119, -   , -   ,11,"1,227",412, -   ,101
RXKTC, Birmingham Treatment Centre ,23,"6,571",46,100,7,345, * ,241,155,854,"1,054",187,"2,255","1,219", -   , * ,120,321,502, -   ,206
RLU, Birmingham Women's NHS Foundation Trust , * ,494,9,32, -   , * , -   , -   , -   , -   ,10,13, -   ,"1,748","11,375","3,731",369,"1,001",82, -   ,"4,587"
TAJ, Black Country Partnership NHS Foundation Trust , * , -   , -   , -   ,"1,097",37, -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   ,391, -   , -   ,205
RXL, Blackpool Teaching Hospitals NHS Foundation Trust ,"2,470","19,173","1,803","1,389",817,"1,423","5,322",550,"11,043","6,472","12,203","4,356","6,293","5,755","5,733","1,046",306,"10,813","6,142", -   ,"7,013"
NVC31, Blakelands Hospital ,53,252,24, * , * ,113,789, -   ,58, -   ,"1,137",66,477, * , -   , -   , * ,301,14, -   ,113
NT402, BMI - Bath Clinic ,18,37,7, * , -   ,65,422, * ,87,27,403,11,"1,306",221, * , -   ,16,86,23, -   ,26
NT405, BMI - Bishops Wood , * ,51, * , * , * ,44,761,13,152,72,246,40,638,210, -   , -   , * ,66,8, -   ,8
NT409, BMI - Chelsfield Park Hospital , * ,23, -   , * , -   , * ,29, -   , * , -   ,62,25,187,184, -   , -   , -   ,20, * , -   , * 
NT414, BMI - Fawkham Manor Hospital , * ,28, * , -   , * ,39,361,6,53,24,268,50,728,183, -   , -   , * ,86,8, -   ,13
NT417, BMI - Goring Hall Hospital , * ,49, * ,9, * ,47,345, * , * , * ,356,7,"1,782",431, -   , -   ,9,100,42, -   ,36
NT416, BMI - Hendon Hospital , * ,67, -   , -   , * ,26,72, -   ,16, -   ,85,8,374,244, -   , -   , * ,30,9, -   ,8
NT433, BMI - Sarum Road Hospital , -   ,12, -   , -   , -   ,77, -   , * , -   ,29,39, * ,857,65, -   , -   , * ,13,7, -   , * 
NT436, BMI - Shirley Oaks Hospital ,8,50, * , * , * ,80,686,9,118,72,417,19,678,286, -   , -   ,10,141,13, -   ,102
NT401, BMI - The Alexandra Hospital ,7,60, * , * , -   ,203, -   , -   ,70, * ,"1,093",64,"2,599",129, -   , -   , * ,83,36, -   ,21
NT403, BMI - The Beardwood Hospital ,23,43,8, * , * ,166, -   ,30,295,165,636,34,"4,450",274, -   , -   ,7,252,14, -   ,39
NT404, BMI - The Beaumont Hospital ,26,51, * ,14, * ,122, -   ,66,190,185,649,21,"2,524",538, -   , -   ,15,227,20, -   ,236
NT406, BMI - The Blackheath Hospital ,16,64,7, * , * ,28,144,9,107,45,418,46,470,249, -   , -   ,7,139,14, -   ,149
NT408, BMI - The Chaucer Hospital ,30,58,9,12, * ,45,670,20,86,41,521,31,447,287, * , -   ,6,181,7, -   ,33
NT410, BMI - The Chiltern Hospital ,6,7, * , * , -   , * , -   ,6,22,22,235, * ,464,236, -   , -   , * ,53,6, -   ,14
NT411, BMI - The Clementine Churchill Hospital ,6,66, * , * , * ,59,129,39,78,123,383,50,"1,644",433, -   , -   , * ,70,24, -   ,28
NT412, BMI - The Droitwich Spa Hospital , * ,69, * , -   , * ,169,266,16,109,47,429,18,"1,175",356, -   , -   , * ,174,14, -   ,25
NT413, BMI - The Esperance Hospital ,48,23,38, * , -   ,62,12,8,54,21,393,17,670,66, -   , -   , -   ,121, * , -   ,19
NT418, BMI - The Hampshire Clinic , * ,47, * , * , -   ,58,202, * ,90,60,"1,068",58,"1,496",276, -   , -   ,8,122,26, -   ,28
NT419, BMI - The Harbour Hospital ,12, * , -   , -   , -   ,106,521, -   ,68, * ,386,8,82, * , -   , -   , -   ,39, * , -   ,9
NT420, BMI - The Highfield Hospital ,14,76, * ,26, * ,122,436,24,105,183,535,62,"1,815",812, -   , -   ,6,152,30, -   ,190
NT421, BMI - The Kings Oak Hospital , * ,147, -   , * , -   ,137,36, * ,8,8,47,28,"1,133",291, -   , -   ,11,36,6, -   ,31
NT422, BMI - The London Independent Hospital ,22,80,9, * , * ,140,117,16,217,59,865,112,"2,021",452, -   , -   ,9,190,26, -   ,46
NT423, BMI - The Manor Hospital , -   ,10, * , -   , -   ,26, * , -   , * , -   ,107,7,587,102, -   , -   , * ,17, * , -   ,7
NT424, BMI - The Meriden Hospital , * ,47, * , * , * ,234, -   ,10,67,39,388,41,"2,181",232, -   , -   ,9,48,36, -   ,24
NT427, BMI - The Park Hospital , * ,66, * , -   , -   ,30,96, -   ,97, * ,243,59,788,392, -   , -   ,8,80,28, -   ,30
NT428, BMI - The Princess Margaret Hospital , * ,22, * , * , -   ,10, -   , -   ,28, -   ,190, * ,341,162, -   , -   , * ,53,6, -   ,18
NT429, BMI - The Priory Hospital , * ,30, * , * , -   ,25,108, -   ,19, -   ,100,8,424,270, * , -   ,10,30,13, -   ,6
NT430, BMI - The Ridgeway Hospital ,16,49, * , * , -   ,34,997,17,228,59,453,13,710,432, -   , -   , * ,177,20, -   ,48
NT431, BMI - The Runnymede Hospital , * ,15, * , * , -   ,11, -   , -   ,52, -   ,340,16,363,33, -   , -   , * ,54,8, -   ,14
NT432, BMI - The Sandringham Hospital ,10, * , * , -   , -   , -   ,374, -   ,16, -   ,218,11,504,167, -   , -   , * ,39,8, -   , * 
NT434, BMI - The Saxon Clinic ,6,44, * , * , -   ,70, -   , -   ,16, -   ,227,40,569,125, -   , -   ,7,51,7, -   ,13
NT435, BMI - The Shelburne Hospital , -   ,6, -   , -   , -   ,24, -   , -   , * , * ,51,7,301,18, -   , -   , * , * , * , -   , * 
NT437, BMI - The Sloane Hospital , * , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   ,207, * , -   , -   , * , -   , * , -   , -   
NT438, BMI - The Somerfield Hospital , * ,37, * , * , -   ,9,356, * ,19,27,373,34,522,189, -   , -   , * ,53,13, -   ,6
NT439, BMI - The South Cheshire Private Hospital ,15,37,6, -   , -   ,54, -   ,6,147,39,437,16,572,235, -   , -   , -   ,63,8, -   ,14
NT443, BMI - The Winterbourne Hospital , -   , * , -   , * , -   ,7,506, -   , -   , -   ,260,7,793, -   , -   , -   , * , * ,10, -   , * 
NT440, BMI - Thornbury Hospital , * ,48, * , * , -   ,58, -   , -   ,124, -   ,199,10,792,260, -   , -   , * ,33,24, -   ,10
NT441, BMI - Three Shires Hospital ,26,111,11, -   , * ,122, * , -   ,100, * ,613,59,"1,276",441, -   , -   ,6,168,29, -   ,29
NT497, BMI - Gisburne Park Hospital , * ,40, * , -   , -   ,122,557,19,17,131,150,23,"1,797",262, -   , -   ,9,89,23, -   ,12
NTX19, BMI - The Huddesfield Hospital (One Health) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   , -   , -   
NT455, BMI - Mount Alvernia Hospital , * ,7, * , * , -   ,7, -   , * , * ,23,143,16,137,11, -   , -   , * ,17, * , -   , * 
NT490, BMI - Southend Private Hospital , -   ,23, -   , -   , -   ,9,954, -   ,17, * ,17,44,56, -   , -   , -   , -   , -   ,6, -   , * 
NT446, BMI - St Edmunds Hospital , * ,10, * , * , -   ,47,260, -   ,8, -   ,185,7,394,150, -   , -   , * ,49,9, -   ,42
NT451, BMI - The Cavell Hospital ,15,143,6, * , -   ,20,99, * ,24,26,355,67,477,512, -   , -   ,10,68,13, -   ,39
NT447, BMI - The Duchy Hospital , * , * , * , -   , -   ,23, -   , * ,7,35,99, * ,634,30, -   , -   , -   ,14, * , -   , * 
NT445, BMI - The Edgbaston Hospital ,13,42,13, * , * ,125, -   , -   ,68,45,396,29,747,470, -   , -   ,6,109,15, -   ,17
NT448, BMI - The Huddersfield Hospital , * , * , * , -   , -   ,95, -   ,7,93,72,353,14,"1,074",151, -   , -   , * ,38,6, -   ,8
NT449, BMI - The Lancaster Hospital , * ,25, * , -   , -   ,62,72,7,14,14,79,29,"1,143",127, -   , -   , -   ,35,17, -   ,15
NT450, BMI - The Lincoln Hospital , -   ,7, -   , -   , -   , * ,247, * , * ,47,136, * ,552,122, -   , -   , * ,19,14, -   , * 
NT457, BMI - Woodlands Hospital ,8,62, * , * , * ,209,610, * ,183,37,341,48,"2,574",431, -   , -   ,14,81,53, -   ,23
NLL11, Bodmin Community Hospital ,7,43, -   ,9,37,11, * , * ,218,61,19,49,25,50, -   , -   , -   ,27,140, -   , -   
NVC24, Bodmin NHS Treatment Centre ,26,432,14, * , -   ,83,"1,392", * ,117,39,"1,169",220,183,54,12, -   , * ,107, * , -   ,79
RMC, Bolton NHS Foundation Trust ,"3,020","5,091","1,350",838,844,"1,322","6,764",505,"4,747","7,192","10,842","1,734","3,280","3,994","14,884","2,031",248,"8,803","5,047", -   ,"8,160"
NVC27, Boston West Hospital ,81,9,15, -   ,11,22,666, * ,213, -   ,773,13,"1,193",305, -   , -   , * ,155,8, -   ,22
TAD, Bradford District Care NHS Foundation Trust , -   , -   , -   , -   ,534, * , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   ,507, -   , -   , * 
RAE, Bradford Teaching Hospitals NHS Foundation Trust ,"2,703","11,581","2,883","1,750",709,"1,867","3,119",955,"6,210","8,293","15,304","2,824","7,366","6,788","14,754","1,616",388,"14,091","8,901", -   ,"9,184"
RXH, Brighton and Sussex University Hospitals NHS Trust ,"2,822","9,837","2,530","2,211",971,"4,355","4,644",848,"9,573","7,111","14,393","2,271","10,304","7,052","7,418","1,751",895,"13,319","10,096", -   ,"7,590"
RXQ, Buckinghamshire Healthcare NHS Trust ,"3,841","12,630","1,698","1,505",340,"2,116","4,884",494,"5,340","4,856","10,192","3,032","6,937","5,041","10,434","2,026",271,"10,435","7,879", -   ,"9,678"
RJF, Burton Hospitals NHS Foundation Trust ,"1,540","8,201","1,730",927,345,"1,154","2,972",536,"3,369","5,221","8,564","1,540","4,830","3,969","5,791","1,341",186,"8,062","3,585", -   ,"5,520"
RWY, Calderdale and Huddersfield NHS Foundation Trust ,"2,905","14,865","2,050","2,343",605,"1,883","8,081",810,"6,447","8,667","14,487","2,432","8,474","6,328","11,059","1,742",330,"11,982","5,829", -   ,"10,800"
NLL17, Cambourne Redruth Community Hospital ,6,26, * ,16,7,15, * , -   ,309,35,20,42,20,18, -   , -   , -   ,16,96, -   , -   
RGT, Cambridge University Hospitals NHS Foundation Trust ,"2,156","30,177","3,870","1,870","1,345","5,035","3,975","1,038","7,122","6,623","16,438","1,455","9,216","7,659","8,881","3,308","1,831","11,355","10,417", -   ,"6,110"
RT1, Cambridgeshire and Peterborough NHS Foundation Trust , * ,17, * , * ,800,14, -   , * ,20,15,8,7,7,13, -   , -   , -   ,"1,880",68, -   ,19
RYV, Cambridgeshire Community Services NHS Trust ,543,13,41,69,16,86,19,24,17,884,182,94,111,84, * ,754,46,"1,129",269, * ,190
RV3, Central and North West London NHS Foundation Trust , * ,6, * ,12,"3,039",14, -   , -   ,84,20,7,7,23,10, -   , -   , -   ,927,85, -   ,23
RW3-X, Central Manchester University Hospitals NHS Foundation Trust ,"3,713","16,928","5,074","6,518","1,131","2,671","11,323","1,280","9,253","9,752","23,495","2,453","9,415","12,927","17,998","5,609","4,231","14,877","11,211", -   ,"15,557"
RQM, Chelsea and Westminster Hospital NHS Foundation Trust ,"4,386","4,979","2,008","1,945",796,"1,542","1,078",566,"4,113","7,092","17,920","3,041","8,805","7,283","16,313","4,160","1,410","16,735","11,570", -   ,"10,245"
RXA, Cheshire and Wirral Partnership NHS Foundation Trust , -   , -   , -   , -   ,"1,889", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,330
RFS, Chesterfield Royal Hospital NHS Foundation Trust ,"1,987","7,221","1,882","1,554",702,998,"2,314",371,"4,571","5,965","9,139","1,679","6,078","4,036","8,226",531,151,"8,167","4,697", -   ,"5,615"
NV313, Circle - Nottingham NHS Treatment Centre ,459,"5,251",959,653, * ,799,256,15,"1,166",11,"7,558","2,633","5,570","1,763",655, * ,102,"2,445",198, -   ,"1,296"
NV302, Circle Bath Hospital , * ,102,10, * , * ,150,564,27,149,131,446,34,"2,522",389, -   , -   ,9,64,39, -   ,65
NV323, Circle Reading Hospital ,27,52,12,6, * ,96,399, * ,129,210,593,25,"2,452",333, * , -   ,7,104,38, -   ,57
NTPH4, Cirencester NHS Treatment Centre , * ,56, -   , -   , -   ,59, -   ,7,64,22,550,74,195,60, -   , -   , -   , * ,46, -   ,7
RLN, City Hospitals Sunderland NHS Foundation Trust ,"2,845","14,034","2,457","3,342",785,"2,400","26,104","1,254","7,017","8,732","14,269","2,132","8,021","8,751","5,234",926,595,"7,972","6,357", -   ,"5,811"
NQ108, Clacton Hospital ,13,12, * ,19,6,8, -   , * ,95,114,21,66,54,119, -   , -   , -   ,175,96, -   , -   
NVC28, Clifton Park Hospital , -   ,7, -   , -   , -   ,166, -   , -   , -   , -   , -   ,18,"2,663", -   , -   , -   , * , * ,121, -   , * 
NVC29, Cobalt Hospital ,91,250,20, * , * ,122, -   , * ,343, -   ,"2,509",137,358, * , -   , -   , * ,227, * , -   ,109
NVM01, Cobham Day Surgery Hospital , * ,85, -   , * , -   , * , * , -   , -   , -   ,464, * ,26,261, -   , -   , * ,6,37, -   ,39
RDE, Colchester Hospital University NHS Foundation Trust ,"2,528","16,788","2,615","1,203",669,"1,601","3,478",670,"5,720","7,388","12,528","2,067","5,666","6,504","5,935","2,099",244,"10,175","6,567", -   ,"4,888"
RJ8, Cornwall Partnership NHS Foundation Trust , -   , -   , -   , -   ,440,25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,61, * , -   , -   
RJR, Countess of Chester Hospital NHS Foundation Trust ,"2,005","6,749","1,944","1,297",381,952,"3,144",551,"4,725","5,281","10,826","1,529","4,199","4,722","10,321","1,393",205,"9,466","5,180", -   ,"6,302"
RXP, County Durham and Darlington NHS Foundation Trust ,"4,430","16,622","2,252","2,143",596,"1,908","9,471",867,"8,542","10,997","19,218","4,311","10,095","6,480","10,197","2,389",382,"14,705","9,810", -   ,"9,190"
RYG, Coventry and Warwickshire Partnership NHS Trust , -   , -   , -   , * ,"1,143",7, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,94, * , -   ,73
RJ6, Croydon Health Services NHS Trust ,"2,299","3,859","1,393","1,194",755,885,103,408,"4,207","5,069","11,085","1,329","4,241","5,383","6,166","1,742",206,"9,606","4,420", -   ,"4,058"
RNN, Cumbria Partnership NHS Foundation Trust ,53,356,156,78,938,160,8, * ,514,315,187,89,170,251, -   , -   , * ,500,459, -   ,167
RN7-X, Dartford and Gravesham NHS Trust ,"2,293","10,633","1,508","1,133",313,"1,033",97,78,"4,200","4,370","11,896","1,658","5,659","5,865","7,514","1,323",150,"9,894","4,099", -   ,"7,257"
RTG, Derby Teaching Hospitals NHS Foundation Trust ,"3,305","21,238","2,621","3,157","1,130","3,282","3,731",813,"7,938","7,370","17,853","2,555","13,539","6,848","17,059","1,449",604,"14,561","9,450", -   ,"11,877"
RY8, Derbyshire Community Health Services NHS Foundation Trust ,74,516,49,47,143,364,"1,107",45,423,417,575,502,"1,885",405, -   , -   , * ,964,977, * ,"1,524"
RXM, Derbyshire Healthcare NHS Foundation Trust , -   , -   , * , * ,"1,443",98, * , * , * , * , -   , -   , -   , -   , * , -   , -   , * , * , -   ,35
NTPH3, Devizes NHS Treatment Centre ,37,108,63, -   , * ,40,563, * ,244,70,"2,934",78,351,109, -   , -   , * ,268,110, -   ,95
RWV, Devon Partnership NHS Trust , -   , -   , -   , -   ,"1,112",49, -   , -   , * , -   , -   , -   , -   , -   , * , -   , -   ,687, -   , -   ,9
RP5, Doncaster and Bassetlaw Hospitals NHS Foundation Trust ,"3,076","9,026","2,458","2,075",822,"2,171","10,003",800,"7,072","8,645","17,727","2,009","13,255","7,111","8,371","2,312",277,"14,752","7,941", -   ,"6,580"
NNE02, Dorking General Hospital ,7,36,22, * , -   ,107,45, * ,52,8,267,7,"1,323",107, -   , -   , * ,88,17, -   ,41
RBD, Dorset County Hospital NHS Foundation Trust ,"1,302","3,199",982,563,214,880,"4,578",257,"3,668","3,280","6,392",875,"3,319","4,646","3,983",731,244,"7,057","4,021", -   ,"3,705"
RDY, Dorset Healthcare University NHS Foundation Trust ,46,270,45,45,"1,216",245, * , * ,411,250,"1,760",215,"1,386",436, -   , -   , -   ,"1,018","1,046", -   ,188
NVC04, Duchy Hospital ,19,280,42,8, * ,222, * , -   ,903,165,584,64,"2,208",166, -   , -   ,26,283,208, -   ,98
RYK, Dudley and Walsall Mental Health Partnership NHS Trust , -   , -   , -   , * ,"1,105",48, -   , -   , -   , * , -   , * , -   , * , -   , -   , * , * , -   , -   ,57
RWH, East and North Hertfordshire NHS Trust ,"2,064","9,526",995,998,384,"1,535","4,266",774,"5,653","6,530","11,338","1,621","6,070","6,317","7,458","1,036",278,"13,821","7,768", -   ,"8,363"
RJN, East Cheshire NHS Trust ,"1,198","2,781",628,309,340,461,"2,004",140,"1,912","2,966","6,887",540,"2,141","1,654","2,459",669,51,"3,309","2,524", -   ,"2,129"
RVV, East Kent Hospitals University NHS Foundation Trust ,"4,845","12,833","2,491","2,295","1,436","3,888","15,543","1,055","12,750","12,732","22,827","4,316","18,342","13,552","10,153","1,681",458,"22,875","11,358", -   ,"11,120"
RXR, East Lancashire Hospitals NHS Trust ,"5,012","7,086","2,644","1,988",946,"2,289","4,250",875,"9,173","11,666","20,528","3,042","10,016","7,405","10,360","2,644",612,"12,546","8,284", -   ,"8,173"
RWK, East London NHS Foundation Trust , -   , -   , -   , -   ,"5,289",101, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,272, -   , -   ,40
RXC, East Sussex Healthcare NHS Trust ,"2,542","18,186","2,672","2,120",602,"1,755","3,756",503,"7,122","5,971","12,495","2,011","4,368","5,188","4,441","1,215",190,"11,249","6,581", -   ,"4,413"
8HP32, Eastern Surgery Ltd , -   , -   , -   , -   , -   , -   ,587, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
NLL20, Edward Hain Community Hospital , * ,6, -   , * ,33, * , -   , -   ,18,23,9,8,16,8, -   , -   , -   ,9,56, -   , -   
NTPH2, Emersons Green NHS Treatment Centre ,49,153,108, -   , -   ,336,"2,501",43,502,432,"4,727",103,"2,188",518, -   , -   ,7,431,121, -   ,148
RVR-X, Epsom and St Helier University Hospitals NHS Trust ,"2,289","4,301","1,736","1,366",579,"1,279","3,511",440,"4,676","6,102","13,396","1,594","13,595","8,759","7,415","2,538",421,"11,330","6,874", -   ,"6,248"
