 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT322 Spire Leicester Hospital , -   , * , * , -   , -   , 23 , 185 , -   , 29 , * , 93 , 13 , 209 , 56 , -   , -   , -   , 753 , -   , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT502 Barlborough NHS Treatment Centre , -   , * , -   , * , -   , 166 , -   , -   , -   , -   , -   , 21 ," 3,516 ", -   , -   , * , * , 61 , 19 , 21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTA04 Nottingham NHS Treatment Centre(Nations Healthcare) , 29 ," 1,852 ", 253 , 7 , * , 471 , * , 13 , 436 , * ," 1,625 ", 461 ," 1,309 ", 413 , 495 , -   , 55 ," 2,532 ", 104 , 213 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC23 Woodland Hospital , -   , * , -   , -   , -   , -   , * , * , * , 29 , * , -   , 590 , 34 , -   , -   , * , 353 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC26 Gainsborough NHS Treatment Centre , -   , 7 , * , -   , -   , 47 , 212 , -   , * , -   , 53 , 9 , 145 , 30 , -   , -   , * , 74 , * , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC27 Boston NHS Treatment Centre , -   , 67 , * , -   , * , * , 626 , -   , 23 , -   , 260 , 21 , 14 , 60 , -   , -   , 7 , 76 , -   , 83 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC40 Nottingham Woodthorpe Hospital , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , 160 , -   , 814 , 36 , -   , -   , -   , 81 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RFS Chesterfield Royal Hospital NHS Foundation Trust ," 1,046 "," 5,778 "," 1,449 ", 948 , 399 ," 1,227 "," 3,204 ", 380 ," 3,956 "," 4,219 "," 7,766 "," 1,453 "," 5,439 "," 4,929 "," 6,104 ", 704 , 253 ," 8,191 "," 4,596 "," 5,629 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RHA Nottinghamshire Healthcare NHS Trust , * , -   , -   , -   ," 1,180 ", 58 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * ," 1,849 ", -   , 144 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RK5 Sherwood Forest Hospitals NHS Foundation Trust ," 1,061 "," 5,953 ", 896 , 839 , 393 ," 1,766 "," 3,191 ", 489 ," 5,233 "," 4,595 "," 7,927 "," 2,119 "," 6,629 "," 6,194 "," 9,144 ", * , * ," 9,506 "," 4,575 "," 7,310 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RNQ Kettering General Hospital NHS Foundation Trust , 847 ," 5,278 "," 1,001 "," 1,200 ", 394 ," 1,040 "," 2,594 ", 439 ," 4,323 "," 4,287 "," 9,208 "," 1,067 "," 4,913 "," 4,447 "," 6,637 ", 693 , 260 ," 9,610 "," 4,412 "," 8,430 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RNS Northampton General Hospital NHS Trust ," 1,120 "," 14,025 ", 761 ," 1,456 ", 267 ," 1,624 "," 4,291 ", 549 ," 4,038 "," 4,188 "," 9,442 "," 1,642 "," 6,786 "," 7,038 "," 10,015 "," 3,072 ", 579 ," 8,368 "," 5,548 "," 5,823 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RP1 Northamptonshire Healthcare NHS Trust , -   , -   , -   , -   , 514 , 40 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ," 1,034 ", -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RP7 Lincolnshire Partnership NHS Foundation Trust , * , -   , -   , -   ," 1,353 ", 172 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RT5 Leicestershire Partnership NHS Trust , -   , -   , -   , -   ," 2,370 ", 16 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 774 , -   , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RTG Derby Hospitals NHS Foundation Trust ," 1,159 "," 19,807 "," 2,289 "," 4,257 ", 681 ," 3,224 "," 7,237 ", 941 ," 6,372 "," 6,464 "," 14,501 "," 3,478 "," 14,350 "," 7,137 "," 14,764 "," 1,797 ", 715 ," 15,949 "," 9,131 "," 10,478 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWD United Lincolnshire Hospitals NHS Trust ," 1,646 "," 22,228 "," 2,809 "," 1,451 ", 353 ," 2,733 "," 5,748 ", 883 ," 9,970 "," 7,427 "," 16,636 "," 2,179 "," 9,994 "," 9,702 "," 12,619 "," 1,356 ", 510 ," 16,712 "," 9,195 "," 10,927 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWE University Hospitals of Leicester NHS Trust ," 2,960 "," 28,784 "," 3,953 "," 2,908 "," 1,281 "," 6,517 "," 6,399 "," 1,689 "," 15,635 "," 12,894 "," 21,425 "," 3,352 "," 11,903 "," 12,753 "," 26,134 "," 2,705 "," 2,168 "," 27,013 "," 15,058 "," 23,459 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RX1 Nottingham University Hospitals NHS Trust ," 2,043 "," 29,921 "," 4,372 "," 2,799 ", 731 ," 6,554 "," 7,674 "," 1,212 "," 11,853 "," 9,226 "," 15,504 "," 3,488 "," 12,928 "," 8,979 "," 20,706 "," 2,742 "," 2,007 "," 22,826 "," 11,774 "," 14,931 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RXM Derbyshire Mental Health Services NHS Trust , -   , * , -   , -   ," 1,568 ", 76 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 42 , * , 101 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q35 East of England Strategic Health Authority ," 13,156 "," 168,242 "," 21,871 "," 17,724 "," 13,071 "," 28,855 "," 54,404 "," 8,111 "," 93,329 "," 68,769 "," 153,021 "," 28,733 "," 106,267 "," 83,246 "," 128,477 "," 15,769 "," 8,635 "," 146,585 "," 80,367 "," 116,812 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5P3 East and North Hertfordshire PCT , 11 , 14 , * , 13 , * , 34 , * , -   , 156 , 42 , 16 , 15 , * , 34 , -   , -   , * , 244 , 137 , 495 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5P4 West Hertfordshire PCT , 6 , 22 , * , 9 , * , 13 , * , * , 51 , 38 , 19 , 8 , 33 , 29 , -   , -   , -   ," 2,880 ", 192 , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5PP Cambridgeshire PCT , 278 , 251 , 39 , 46 , 16 , 57 , 14 , 19 , 58 , 630 , 427 , 58 , 78 , 83 , -   , 456 , 34 , 831 , 293 , 256 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5PQ Norfolk PCT , 23 , 572 , 60 , 38 , 130 , 163 , * , * , 485 , 147 , 111 , 153 ," 1,145 ", 90 , -   , -   , 30 , 240 , 666 , 991 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5PV West Essex PCT , * , 42 , 22 , 15 , 10 , 33 , * , * , 105 , 76 , 45 , 21 , 29 , 55 , -   , -   , -   , 505 , 125 , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5PX Mid Essex PCT , -   , 27 , * , 6 , * , 11 , -   , -   , 70 , 16 , * , 14 , 34 , 25 , -   , -   , -   , 114 , 58 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5PY South West Essex PCT , 11 , 32 , * , 18 , 8 , 25 , -   , * , 83 , 97 , 40 , 43 , 65 , 89 , -   , -   , -   , 547 , 179 , 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" NT204 Nuffield Health, Brentwood Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" NT222 Nuffield Health, Ipswich Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT313 Spire Wellesley Hospital , -   , 25 , -   , 21 , * , 16 , 113 , 18 , 32 , 105 , 271 , 14 , 542 , 69 , -   , -   , * , 788 , -   , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT315 Spire Bushey Hospital , -   , 49 , -   , * , -   , 29 , -   , -   , 35 , * , 97 , 10 , 729 , 80 , -   , -   , * , 154 , -   , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT316 Spire Harpenden Hospital , -   , -   , -   , -   , -   , -   , 59 , * , -   , 34 , 34 , * , 33 , 60 , -   , -   , -   , 210 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT317 Spire Cambridge Lea Hospital , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , 35 , * , 119 , -   , -   , -   , -   , 42 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT318 Spire Norwich Hospital , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , -   , 685 , -   , -   , -   , * , 65 , 21 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
