"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2016-17)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2016-17.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
NYW20, Aspen - The Chelmsford (NYW20) , -   , -   , -   , -   , -   , -   , 7 , -   , -   , -   , -   , -   , 27 , -   , -   , -   , -   , -   , -   , -   , -   ,
NYW01, Aspen - The Holly (NYW01) , * , 82 , -   , * , -   , 102 , -   , 37 , * , 170 , 247 , 57 ," 1,113 ", 292 , -   , -   , 8 , 60 , 32 , -   , 14 ,
NYW17, Aspen Healthcare - Midland Eye (NYW17) , -   , -   , -   , -   , -   , -   , 916 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RVN, Avon and Wiltshire Mental Health Partnership NHS Trust (RVN) , -   , -   , -   , * ," 1,850 ", 12 , * , -   , * , * , * , * , -   , * , -   , -   , -   , 737 , * , -   , 16 ,
RF4," Barking, Havering and Redbridge University Hospitals NHS Trust (RF4) "," 3,889 "," 9,878 "," 2,155 "," 2,149 ", 320 ," 2,647 "," 3,320 "," 1,125 "," 7,660 "," 10,448 "," 19,182 "," 4,413 "," 9,399 "," 11,202 "," 10,843 "," 4,733 ", 562 ," 16,466 "," 6,780 ", -   ," 7,300 ",
NTP13, Barlborough NHS Treatment Centre (NTP13) , -   , -   , -   , -   , -   , 105 , -   , -   , -   , -   , -   , * ," 2,828 ", -   , -   , -   , * , -   , 74 , -   , * ,
RRP," Barnet, Enfield and Haringey Mental Health NHS Trust (RRP) ", * , * , -   , * ," 2,049 ", 40 , -   , -   , * , * , * , * , * , 11 , -   , -   , -   , 74 , 13 , -   , 199 ,
RFF, Barnsley Hospital NHS Foundation Trust (RFF) ," 1,542 "," 6,045 "," 1,834 "," 1,405 ", 390 , 931 , 329 , 338 ," 4,020 "," 5,528 "," 10,296 "," 2,382 "," 5,078 "," 3,729 "," 6,095 ", 774 , 91 ," 7,474 "," 4,193 ", -   ," 3,930 ",
R1H, Barts Health NHS Trust (R1H) ," 6,404 "," 11,648 "," 5,197 "," 3,123 "," 1,140 "," 6,501 "," 4,460 "," 1,117 "," 19,972 "," 15,325 "," 31,931 "," 4,250 "," 13,394 "," 15,213 "," 24,969 "," 5,148 "," 1,896 "," 26,776 "," 17,418 ", -   ," 17,655 ",
RDD, Basildon and Thurrock University Hospitals NHS Foundation Trust (RDD) ," 2,529 "," 8,443 "," 1,932 "," 1,451 ", 266 ," 1,517 ", 92 , 344 ," 9,412 "," 5,351 "," 11,018 "," 1,129 "," 5,046 "," 4,563 "," 9,954 "," 2,092 ", 137 ," 7,578 "," 3,776 ", -   ," 9,444 ",
RC1, Bedford Hospital NHS Trust (RC1) ," 1,569 "," 4,612 "," 1,042 ", 733 , 391 , 859 ," 2,787 ", 243 ," 3,940 "," 3,969 "," 9,825 "," 1,603 "," 2,902 "," 3,644 "," 4,516 "," 1,279 ", 417 ," 6,887 "," 3,591 ", -   ," 4,565 ",
NWF01, Benenden Hospital (NWF01) , -   , 44 , -   , * , * , 34 , 569 , 7 , * , 56 , 131 , 9 ," 1,654 ", 208 , -   , -   , * , 11 , 21 , -   , 10 ,
RWX, Berkshire Healthcare NHS Foundation Trust (RWX) , 10 , 6 , -   , * ," 1,068 ", 74 , * , -   , 58 , 87 , 17 , 18 , 71 , 63 , -   , -   , -   ," 1,096 ", 155 , -   , 460 ,
NWX11, BICS-Community (NWX11) , * , 16 , -   , * , -   , 197 , -   , -   , * , -   , 16 , 9 ," 1,792 ", * , -   , -   , * , 15 , 35 , -   , * ,
RXT, Birmingham and Solihull Mental Health NHS Foundation Trust (RXT) , -   , -   , -   , * ," 2,327 ", 94 , -   , -   , -   , -   , * , -   , -   , * , -   , -   , -   , 14 , -   , -   , 53 ,
RYW, Birmingham Community Healthcare NHS Foundation Trust (RYW) , 19 , 80 , * , 13 , 57 , 53 , * , * , 136 , 183 , 49 , 22 , 96 , 75 , -   , -   , -   , 975 , 342 , -   , 10 ,
RXKTC, Birmingham Treatment Centre (RXKTC) , 14 ," 6,591 ", 73 , 130 , * , 421 , * , 223 , 133 , 710 , 979 , 198 ," 2,704 "," 1,196 ", * , -   , 138 , 295 , 500 , -   , 312 ,
RQ3, Birmingham Women's and Children's NHS Foundation Trust (RQ3) ," 2,580 "," 5,186 "," 2,248 "," 1,355 ", 281 ," 1,412 ", 559 , 949 , 488 ," 4,239 "," 3,866 "," 1,024 "," 1,196 "," 2,955 "," 11,318 "," 4,506 "," 5,427 "," 4,679 "," 3,951 ", -   ," 5,706 ",
TAJ, Black Country Partnership NHS Foundation Trust (TAJ) , -   , -   , -   , -   , 105 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 9 ,
RXL, Blackpool Teaching Hospitals NHS Foundation Trust (RXL) ," 2,633 "," 19,856 "," 1,965 "," 1,588 ", 903 ," 1,347 "," 5,622 ", 580 ," 9,629 "," 7,303 "," 12,299 "," 3,181 "," 6,086 "," 5,527 "," 5,554 "," 1,261 ", 351 ," 11,653 "," 5,802 ", -   ," 6,793 ",
NVC31, Blakelands Hospital (NVC31) , 41 , 50 , 29 , * , * , 119 , 724 , -   , * , * ," 1,521 ", 73 , 599 , * , * , -   , * , 346 , 8 , -   , 112 ,
NHM03, Bluebird Lodge Community Hospital (NHM03) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 349 , -   , -   , -   ,
NT402, BMI - Bath Clinic (NT402) , 17 , 34 , 6 , * , -   , 43 , 322 , * , * , 41 , 566 , 21 ," 1,174 ", 222 , -   , -   , 14 , 97 , 22 , -   , 32 ,
NT405, BMI - Bishops Wood (NT405) , * , 49 , * , * , -   , 47 , 807 , 16 , * , 66 , 300 , 50 , 599 , 290 , -   , -   , * , 46 , 13 , -   , 12 ,
NT409, BMI - Chelsfield Park Hospital (NT409) , -   , 47 , -   , * , -   , 12 , 52 , -   , -   , 19 , 69 , 13 , 327 , 224 , -   , -   , * , 38 , 13 , -   , 14 ,
NT414, BMI - Fawkham Manor Hospital (NT414) , 7 , 36 , * , * , -   , 32 , 387 , * , * , 16 , 308 , 31 , 607 , 214 , -   , -   , * , 91 , * , -   , 26 ,
NT497, BMI - Gisburne Park Hospital (NT497) , * , 30 , -   , -   , -   , 113 ," 1,024 ", 30 , * , 142 , 172 , 18 ," 1,630 ", 352 , -   , -   , * , 71 , 12 , -   , 16 ,
NT417, BMI - Goring Hall Hospital (NT417) , * , 48 , 10 , * , -   , 113 , 895 , -   , * , * , 283 , 10 ," 2,069 ", 659 , * , -   , 12 , 118 , 68 , -   , 40 ,
NT416, BMI - Hendon Hospital (NT416) , * , 83 , -   , -   , -   , 26 , 122 , -   , * , -   , 142 , 15 , 363 , 242 , -   , -   , * , 50 , * , -   , 9 ,
NT455, BMI - Mount Alvernia Hospital (NT455) , * , 13 , * , * , * , 18 , -   , * , * , 38 , 212 , 13 , 254 , 121 , -   , -   , -   , 75 , * , -   , 9 ,
NT433, BMI - Sarum Road Hospital (NT433) , * , 14 , * , -   , * , 67 , -   , * , * , 21 , 96 , * , 710 , 119 , -   , -   , * , 27 , * , -   , 10 ,
NT436, BMI - Shirley Oaks Hospital (NT436) , 15 , 105 , 10 , * , -   , 107 , 760 , 17 , 24 , 84 , 533 , 16 , 724 , 687 , -   , -   , * , 176 , 32 , -   , 169 ,
NT490, BMI - Southend Private Hospital (NT490) , * , 63 , -   , -   , -   , 28 ," 1,034 ", -   , 10 , * , 14 , 56 , 53 , * , -   , -   , * , -   , * , -   , * ,
NT446, BMI - St Edmunds Hospital (NT446) , * , 14 , * , -   , -   , 47 , 232 , -   , * , -   , 346 , 12 , 449 , 191 , -   , -   , -   , 53 , * , -   , 48 ,
NT401, BMI - The Alexandra Hospital (NT401) , 19 , 58 , 6 , * , -   , 193 , 327 , -   , * , * , 988 , 75 ," 2,384 ", 134 , -   , -   , * , 147 , 30 , -   , 24 ,
NT403, BMI - The Beardwood Hospital (NT403) , 47 , 29 , 14 , * , -   , 218 , * , 35 , * , 115 , 957 , 26 ," 5,065 ", 330 , -   , -   , 10 , 236 , 19 , -   , 60 ,
NT404, BMI - The Beaumont Hospital (NT404) , 27 , 34 , 11 , * , -   , 136 , -   , 63 , * , 214 , 982 , 24 ," 2,368 ", 598 , -   , -   , 13 , 327 , 25 , -   , 327 ,
NT406, BMI - The Blackheath Hospital (NT406) , 13 , 81 , 6 , * , -   , 25 , 144 , 18 , -   , 48 , 461 , 33 , 469 , 276 , -   , -   , * , 161 , 13 , -   , 187 ,
NT451, BMI - The Cavell Hospital (NT451) , 20 , 139 , 7 , * , -   , 12 , 131 , 6 , * , 21 , 492 , 39 , 474 , 592 , -   , -   , 7 , 158 , 15 , -   , 62 ,
NT408, BMI - The Chaucer Hospital (NT408) , 25 , 60 , 10 , * , -   , 57 , 750 , 14 , -   , 36 , 596 , 40 , 527 , 277 , -   , -   , * , 259 , 12 , -   , 53 ,
NT410, BMI - The Chiltern Hospital (NT410) , -   , 8 , -   , * , -   , * , -   , 7 , -   , 20 , 233 , * , 350 , 172 , -   , -   , * , 60 , 12 , -   , 9 ,
NT411, BMI - The Clementine Churchill Hospital (NT411) , 14 , 77 , 9 , 6 , -   , 84 , 223 , 47 , * , 149 , 628 , 45 ," 1,786 ", 393 , -   , -   , * , 113 , 12 , -   , 28 ,
NT412, BMI - The Droitwich Spa Hospital (NT412) , 10 , 70 , 7 , * , * , 202 , 437 , 7 , 42 , 54 , 555 , 22 ," 1,334 ", 433 , -   , -   , * , 193 , 16 , -   , 38 ,
NT447, BMI - The Duchy Hospital (NT447) , * , 7 , * , -   , -   , 33 , -   , 8 , * , 48 , 213 , * , 722 , 47 , -   , -   , -   , 35 , 7 , -   , 13 ,
NT445, BMI - The Edgbaston Hospital (NT445) , 26 , 45 , 10 , -   , -   , 125 , -   , -   , * , 85 , 487 , 27 ," 1,032 ", 564 , -   , -   , * , 302 , 32 , -   , 21 ,
NT413, BMI - The Esperance Hospital (NT413) , 58 , 29 , 25 , * , -   , 39 , 28 , 14 , * , 40 , 469 , 22 , 724 , 133 , -   , -   , * , 203 , 13 , -   , 31 ,
NT418, BMI - The Hampshire Clinic (NT418) , 11 , 25 , 8 , * , -   , 127 , 243 , 6 , * , 19 , 568 , 29 ," 1,623 ", 308 , -   , -   , 7 , 106 , 27 , -   , 35 ,
NT419, BMI - The Harbour Hospital (NT419) , 10 , * , * , * , -   , 118 , 512 , -   , -   , * , 552 , 11 , 194 , * , -   , -   , * , 52 , * , -   , 7 ,
NT420, BMI - The Highfield Hospital (NT420) , 6 , 80 , 6 , 11 , -   , 106 , 390 , 27 , * , 216 , 551 , 44 ," 2,058 ", 781 , * , -   , 14 , 175 , 29 , -   , 204 ,
NT448, BMI - The Huddersfield Hospital (NT448) , 31 , 21 , * , -   , -   , 110 , -   , 10 , * , 266 , 602 , 22 ," 1,349 ", 235 , -   , -   , * , 146 , 16 , -   , 30 ,
NT421, BMI - The Kings Oak Hospital (NT421) , * , 129 , -   , -   , -   , 105 , 17 , * , * , 13 , 62 , 22 ," 1,129 ", 306 , -   , -   , 7 , 26 , 7 , -   , 49 ,
NT449, BMI - The Lancaster Hospital (NT449) , * , 15 , -   , -   , -   , 56 , 94 , * , -   , -   , 93 , 20 , 974 , 70 , -   , -   , -   , 33 , 12 , -   , 12 ,
NT450, BMI - The Lincoln Hospital (NT450) , -   , 7 , -   , -   , -   , 7 , 247 , -   , * , 14 , 140 , * , 744 , 111 , -   , -   , 6 , 6 , 15 , -   , * ,
NT422, BMI - The London Independent Hospital (NT422) , 16 , 116 , 11 , * , -   , 113 , 179 , 14 , 22 , 61 ," 1,217 ", 133 ," 2,380 ", 567 , -   , -   , 15 , 303 , 33 , * , 44 ,
NT423, BMI - The Manor Hospital (NT423) , 6 , 16 , 6 , * , -   , 44 , -   , -   , -   , -   , 56 , 8 , 613 , 99 , -   , -   , * , 44 , 12 , -   , * ,
NT424, BMI - The Meriden Hospital (NT424) , 11 , 50 , * , -   , -   , 153 , -   , -   , -   , 25 , 445 , 30 ," 1,742 ", 186 , -   , -   , * , 56 , 47 , -   , 14 ,
NT427, BMI - The Park Hospital (NT427) , 13 , 73 , 9 , * , -   , 12 , 125 , * , -   , * , 336 , 67 , 863 , 548 , * , -   , * , 171 , 30 , -   , 44 ,
NT428, BMI - The Princess Margaret Hospital (NT428) , * , 26 , 6 , -   , * , 9 , -   , -   , -   , -   , 199 , * , 261 , 178 , -   , -   , * , 102 , * , -   , 23 ,
NT429, BMI - The Priory Hospital (NT429) , * , 39 , * , -   , * , 46 , 143 , -   , -   , -   , 220 , 13 , 474 , 527 , -   , -   , 13 , 59 , 11 , -   , 21 ,
NT430, BMI - The Ridgeway Hospital (NT430) , 16 , 101 , 6 , * , -   , 34 , 952 , 28 , * , 90 , 773 , 18 , 851 , 639 , -   , -   , 9 , 194 , 17 , -   , 61 ,
NT431, BMI - The Runnymede Hospital (NT431) , 6 , 9 , * , -   , -   , 11 , -   , -   , * , -   , 271 , 8 , 302 , 34 , -   , -   , -   , 62 , 6 , -   , 12 ,
NT432, BMI - The Sandringham Hospital (NT432) , * , * , 6 , -   , -   , * , 415 , -   , * , -   , 278 , 8 , 414 , 175 , -   , -   , * , 53 , * , -   , 10 ,
NT434, BMI - The Saxon Clinic (NT434) , * , 25 , * , * , -   , 118 , -   , -   , -   , -   , 212 , 24 , 710 , 98 , -   , -   , * , 84 , * , -   , 7 ,
NT435, BMI - The Shelburne Hospital (NT435) , -   , * , -   , -   , -   , * , -   , -   , -   , -   , 58 , * , 241 , 7 , -   , -   , -   , * , * , -   , -   ,
NT437, BMI - The Sloane Hospital (NT437) , -   , * , -   , -   , -   , * , 21 , -   , -   , * , 28 , * , 201 , 16 , -   , -   , * , * , * , -   , * ,
NT438, BMI - The Somerfield Hospital (NT438) , * , 61 , * , -   , * , 9 , 393 , * , -   , 35 , 299 , 29 , 642 , 228 , -   , -   , * , 74 , 10 , -   , 14 ,
NT439, BMI - The South Cheshire Private Hospital (NT439) , 19 , 54 , 13 , -   , -   , 69 , -   , 12 , * , 47 , 727 , 24 , 652 , 264 , -   , -   , * , 177 , 9 , -   , 7 ,
NT443, BMI - The Winterbourne Hospital (NT443) , * , * , -   , * , -   , 43 , 385 , -   , -   , * , 301 , 8 ," 1,011 ", -   , -   , -   , * , * , 7 , -   , * ,
NT440, BMI - Thornbury Hospital (NT440) , * , 53 , * , * , -   , 36 , -   , -   , * , -   , 407 , 8 , 364 , 375 , -   , -   , * , 49 , 28 , -   , 24 ,
NT441, BMI - Three Shires Hospital (NT441) , 21 , 91 , 25 , * , -   , 164 , -   , -   , * , * , 995 , 43 ," 1,530 ", 335 , -   , -   , 7 , 215 , 53 , -   , 31 ,
NT457, BMI - Woodlands Hospital (NT457) , 14 , 78 , * , 7 , -   , 164 , 688 , * , 77 , 48 , 484 , 35 ," 2,615 ", 448 , -   , -   , 13 , 116 , 70 , -   , 36 ,
NVC24, Bodmin NHS Treatment Centre (NVC24) , 24 , 488 , 10 , -   , * , 87 ," 1,447 ", * , -   , 52 ," 1,259 ", 216 , 150 , 28 , * , -   , * , 82 , * , -   , 83 ,
RMC, Bolton NHS Foundation Trust (RMC) ," 3,341 "," 5,096 "," 1,455 "," 1,045 ", 789 ," 1,401 "," 7,706 ", 486 ," 4,105 "," 7,542 "," 11,993 "," 1,832 "," 3,050 "," 4,230 "," 14,838 "," 2,129 ", 268 ," 8,871 "," 4,801 ", -   ," 7,625 ",
NVC27, Boston West Hospital (NVC27) , 74 , 20 , 16 , -   , 14 , 18 , 724 , -   , 83 , -   , 871 , 8 ," 1,324 ", 270 , -   , -   , 6 , 190 , 12 , -   , 20 ,
TAD, Bradford District Care NHS Foundation Trust (TAD) , -   , -   , -   , * , 425 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 556 , -   , -   , * ,
RAE, Bradford Teaching Hospitals NHS Foundation Trust (RAE) ," 2,759 "," 11,771 "," 2,791 "," 1,816 ", 727 ," 2,388 "," 2,980 ", 983 ," 5,734 "," 8,617 "," 14,726 "," 2,782 "," 7,253 "," 7,132 "," 14,305 "," 1,592 ", 429 ," 13,646 "," 8,411 ", -   ," 9,017 ",
RXH, Brighton and Sussex University Hospitals NHS Trust (RXH) ," 2,934 "," 10,246 "," 2,393 "," 2,384 "," 1,046 "," 4,428 "," 5,439 ", * ," 9,061 "," 7,813 "," 16,262 "," 2,672 "," 10,034 "," 7,736 "," 7,350 "," 1,754 ", 839 ," 13,288 "," 10,687 ", * ," 8,315 ",
RXQ, Buckinghamshire Healthcare NHS Trust (RXQ) ," 3,459 "," 13,538 "," 1,645 "," 1,535 ", 315 ," 2,246 "," 5,674 ", 480 ," 4,875 "," 5,304 "," 9,644 "," 3,415 "," 6,501 "," 5,390 "," 10,748 "," 2,143 ", 321 ," 11,636 "," 6,514 ", -   ," 10,381 ",
RJF, Burton Hospitals NHS Foundation Trust (RJF) ," 1,597 "," 8,101 "," 1,709 "," 1,176 ", 363 ," 1,024 "," 3,150 ", 552 ," 3,180 "," 5,465 "," 9,587 "," 1,613 "," 5,076 "," 3,997 "," 6,638 "," 1,252 ", 177 ," 7,831 "," 3,714 ", -   ," 6,133 ",
RWY, Calderdale and Huddersfield NHS Foundation Trust (RWY) ," 3,134 "," 15,754 "," 2,269 "," 2,440 ", 612 ," 1,958 "," 9,105 ", 769 ," 6,360 "," 8,783 "," 16,085 "," 2,520 "," 9,213 "," 6,489 "," 7,521 "," 2,074 ", 445 ," 10,904 "," 5,853 ", -   ," 8,276 ",
RGT, Cambridge University Hospitals NHS Foundation Trust (RGT) ," 2,270 "," 30,477 "," 4,948 "," 2,015 "," 1,106 "," 5,251 "," 4,713 "," 1,041 "," 6,831 "," 7,023 "," 15,960 "," 1,570 "," 10,054 "," 7,371 "," 7,888 "," 3,441 "," 1,637 "," 12,020 "," 10,591 ", -   ," 6,023 ",
RT1, Cambridgeshire and Peterborough NHS Foundation Trust (RT1) , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,806 ", -   , -   , * ,
RYV, Cambridgeshire Community Services NHS Trust (RYV) , 540 , 6 , 28 , 57 , 16 , 72 , 22 , 27 , 24 , 905 , 151 , 77 , 86 , 73 , * , 385 , 31 , 988 , 224 , * , 102 ,
RV3, Central and North West London NHS Foundation Trust (RV3) , 6 , * , 6 , 23 ," 3,216 ", 6 , -   , -   , * , * , * , * , * , * , -   , -   , -   ," 1,096 ", -   , -   , 34 ,
RW3-X, Central Manchester University Hospitals NHS Foundation Trust (RW3-X) ," 3,722 "," 19,463 "," 5,832 "," 6,816 ", 913 ," 2,648 "," 11,358 "," 1,367 "," 8,848 "," 9,697 "," 27,023 "," 2,550 "," 9,867 "," 12,756 "," 19,033 "," 6,069 "," 4,538 "," 16,101 "," 11,159 ", -   ," 15,861 ",
RQM, Chelsea and Westminster Hospital NHS Foundation Trust (RQM) ," 4,543 "," 5,073 "," 2,210 "," 1,989 ", 791 ," 1,491 "," 1,095 ", 610 ," 3,760 "," 8,272 "," 18,794 "," 2,987 "," 8,932 "," 7,665 "," 11,989 "," 4,446 "," 1,443 "," 22,789 "," 11,740 ", -   ," 10,245 ",
RXA, Cheshire and Wirral Partnership NHS Foundation Trust (RXA) , -   , -   , -   , -   ," 1,946 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , 266 ,
RFS, Chesterfield Royal Hospital NHS Foundation Trust (RFS) ," 2,143 "," 7,612 "," 1,768 "," 1,785 ", 723 ," 1,052 "," 2,207 ", 285 ," 4,387 "," 6,455 "," 9,926 "," 1,665 "," 6,184 "," 4,368 "," 8,371 ", 584 , 169 ," 8,341 "," 4,705 ", -   ," 5,778 ",
NV313, Circle - Nottingham NHS Treatment Centre (NV313) , 415 ," 5,386 ", 612 , 875 , * ," 1,035 ", 315 , 9 , 441 , 12 ," 8,169 "," 2,740 "," 7,253 "," 1,725 ", 670 , -   , 75 ," 3,082 ", 154 , * ," 1,299 ",
