"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2012-13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2012-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTG, Derby Hospitals NHS Foundation Trust ," 2,879 "," 19,950 "," 2,344 "," 3,258 ", 657 ," 2,666 "," 8,128 ", 867 ," 6,468 "," 6,657 "," 13,158 "," 2,190 "," 12,964 "," 6,621 "," 15,801 "," 1,856 ", 593 ," 13,034 "," 9,127 "," 11,062 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY8, Derbyshire Community Health Services NHS Trust , 191 ," 1,252 ", 97 , 57 , 203 , 528 ," 3,135 ", 51 , 496 , 410 ," 3,154 ", 923 ," 2,752 "," 1,271 ", 184 , -   , 22 ," 1,604 ", 993 ," 2,372 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXM, Derbyshire Healthcare NHS Foundation Trust , -   , -   , -   , -   ," 1,263 ", 99 , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , * , -   , 28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNQ, Kettering General Hospital NHS Foundation Trust ," 1,486 "," 7,600 "," 1,339 "," 1,366 ", 378 , 854 ," 3,086 ", 419 ," 5,269 "," 4,941 "," 10,358 ", 975 ," 4,097 "," 4,659 "," 7,656 ", 930 , 271 ," 9,394 "," 4,068 "," 6,083 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT5, Leicestershire Partnership NHS Trust , 31 , 237 , 23 , 44 ," 2,902 ", 217 , 10 , * , 568 , 306 , 140 , 114 , 330 , 321 , * , -   , * ," 1,130 ", 912 , 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY5, Lincolnshire Community Health Services NHS Trust , 45 , 88 , 74 , 65 , 78 , 71 , * , * , 245 , 255 , 53 , 80 , 61 , 132 , -   , -   , -   , 386 , 142 , 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP7, Lincolnshire Partnership NHS Foundation Trust , -   , * , -   , * , 873 , 136 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * , 78 , -   , 109 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNS, Northampton General Hospital NHS Trust ," 2,347 "," 13,390 "," 1,961 "," 1,338 ", 390 ," 1,535 "," 2,760 ", 665 ," 4,946 "," 5,267 "," 11,027 "," 1,449 "," 5,225 "," 5,604 "," 11,992 "," 1,335 ", 473 ," 8,989 "," 5,598 "," 9,946 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP1, Northamptonshire Healthcare NHS Foundation Trust , -   , -   , -   , -   ," 1,574 ", 46 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 783 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTA04, Nottingham NHS Treatment Centre(Nations Healthcare) , 6 , 328 , 62 , 43 , -   , 60 , -   , * , 56 , * , 421 , 169 , 335 , 94 , 73 , -   , 9 , 304 , 17 , 110 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX1, Nottingham University Hospitals NHS Trust ," 4,629 "," 31,567 "," 3,733 "," 2,392 "," 1,105 "," 6,148 "," 5,528 "," 1,078 "," 11,696 "," 10,261 "," 13,262 "," 2,466 "," 10,496 "," 8,882 "," 20,257 "," 2,210 "," 1,726 "," 23,809 "," 13,379 "," 17,606 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC40, Nottingham Woodthorpe Hospital , 9 , 51 , * , 6 , -   , 18 , 189 , 11 , 21 , 40 , 327 , 12 ," 2,182 ", 330 , * , -   , * , 108 , 46 , 26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHA, Nottinghamshire Healthcare NHS Trust , 31 , 244 , * , 9 ," 2,388 ", 182 , -   , * , 54 , 50 , 31 , 19 , 97 , 32 , -   , -   , -   , 310 , 343 , 478 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT213," Nuffield Health, Derby Hospital ", 8 , 10 , * , 10 , -   , * , 36 , 28 , * , 95 , 92 , * , 734 , -   , -   , -   , * , 11 , 31 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT226," Nuffield Health, Leicester Hospital ", * , 22 , -   , -   , -   , 23 , 656 , 42 , -   , 118 , 261 , 6 , 324 , 136 , * , -   , * , 51 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK5, Sherwood Forest Hospitals NHS Foundation Trust ," 2,510 "," 6,619 "," 1,208 ", 871 , 347 ," 1,789 "," 2,186 ", 567 ," 4,609 "," 5,215 "," 9,631 "," 2,165 "," 6,552 "," 7,335 "," 8,759 ", 612 , 191 ," 10,432 "," 4,327 "," 7,133 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT322, Spire Leicester Hospital , -   , 51 , -   , -   , -   , 14 , 329 , -   , 26 , * , 189 , 77 , 360 , 106 , -   , -   , * , 24 , 9 , 167 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWD, United Lincolnshire Hospitals NHS Trust ," 3,723 "," 22,902 "," 2,819 "," 1,875 ", 488 ," 2,534 "," 5,638 ", 660 ," 9,905 "," 9,020 "," 17,617 "," 2,164 "," 10,962 "," 9,382 "," 12,946 "," 1,630 ", 430 ," 17,128 "," 10,457 "," 10,480 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWE, University Hospitals Of Leicester NHS Trust ," 4,051 "," 30,447 "," 3,612 "," 3,182 ", 692 ," 6,599 "," 5,288 "," 1,255 "," 15,606 "," 11,431 "," 21,955 "," 3,017 "," 11,761 "," 12,902 "," 26,400 "," 2,148 "," 2,044 "," 23,453 "," 10,622 "," 25,757 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC23, Woodland Hospital , 37 , 122 , 15 , * , -   , 44 , 505 , 18 , 125 , 61 , 981 , 56 ," 1,149 ", 704 , * , -   , * , 181 , 33 , 54 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q35, EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY ," 30,765 "," 196,390 "," 25,417 "," 20,015 "," 15,710 "," 31,253 "," 66,319 "," 8,699 "," 96,628 "," 85,731 "," 167,482 "," 27,797 "," 113,070 "," 87,752 "," 123,469 "," 20,302 "," 8,425 "," 160,933 "," 91,605 "," 115,885 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYW01, Aspen - Holly House Hospital , -   , 40 , -   , 12 , * , 16 , -   , 9 , * , 44 , 67 , 30 , 533 , 152 , -   , -   , * , 28 , 41 , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDD, Basildon and Thurrock University Hospitals NHS Foundation Trust ," 1,413 "," 6,689 "," 1,661 "," 1,142 ", 236 ," 1,286 ", 79 , 388 ," 8,552 "," 4,924 "," 8,592 "," 1,029 "," 5,688 "," 4,496 "," 9,314 ", 722 , 192 ," 8,169 "," 3,451 "," 9,458 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC1, Bedford Hospital NHS Trust , 907 ," 3,637 ", 764 , 513 , 160 , 756 ," 2,514 ", 285 ," 3,893 "," 2,873 "," 8,010 "," 1,412 "," 2,542 "," 3,042 "," 4,738 ", 920 , 542 ," 4,614 "," 2,848 "," 4,298 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
