"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2011-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2011-12. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTG, Derby Hospitals NHS Foundation Trust ," 1,382 "," 20,457 "," 2,191 "," 4,035 ", 662 ," 2,746 "," 6,459 ", 886 ," 5,991 "," 5,726 "," 13,819 "," 2,195 "," 13,157 "," 6,805 "," 15,627 "," 1,846 ", 596 ," 15,534 "," 9,418 "," 11,652 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY8, Derbyshire Community Health Services NHS Trust , 94 ," 1,271 ", 147 , 44 , 241 , 597 ," 3,194 ", 60 , 611 , 343 ," 3,478 ", 866 ," 2,805 "," 1,314 ", 189 , -   , 29 ," 1,563 ", 997 ," 2,439 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXM, Derbyshire Healthcare NHS Foundation Trust , -   , * , -   , * ," 1,400 ", 97 , -   , -   , * , -   , -   , -   , -   , -   , * , -   , * , * , -   , 29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNQ, Kettering General Hospital NHS Foundation Trust ," 1,041 "," 7,375 "," 1,470 "," 1,469 ", 406 , 907 ," 2,984 ", 403 ," 5,431 "," 4,352 "," 10,995 "," 1,057 "," 4,293 "," 4,964 "," 7,321 ", 873 , 266 ," 9,338 "," 4,347 "," 6,957 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT5, Leicestershire Partnership NHS Trust , 21 , 300 , 32 , 51 ," 2,613 ", 217 , * , * , 586 , 269 , 128 , 129 , 350 , 347 , -   , -   , -   ," 1,554 ", 729 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY5, Lincolnshire Community Health Services NHS Trust , 24 , 81 , 51 , 38 , 10 , 49 , * , 10 , 315 , 232 , 104 , 57 , 64 , 129 , * , -   , -   , 497 , 158 , 21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP7, Lincolnshire Partnership NHS Foundation Trust , -   , -   , -   , * ," 1,021 ", 113 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 51 , -   , 93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNS, Northampton General Hospital NHS Trust ," 1,731 "," 13,241 "," 1,716 "," 1,696 ", 432 ," 1,683 "," 3,340 ", 589 ," 5,151 "," 4,949 "," 10,818 "," 1,637 "," 5,659 "," 5,777 "," 11,592 "," 1,725 ", 532 ," 7,869 "," 5,996 "," 9,558 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP1, Northamptonshire Healthcare NHS Foundation Trust , * , -   , -   , -   ," 1,826 ", 39 , -   , -   , -   , -   , * , -   , -   , * , -   , -   , 13 , 511 , -   , 47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTA04, Nottingham NHS Treatment Centre(Nations Healthcare) , 58 ," 3,869 ", 956 , 718 , 9 ," 1,024 ", 8 , 18 , 803 , 27 ," 5,533 "," 1,894 "," 4,591 "," 1,471 ", 989 , -   , 99 ," 3,567 ", 212 ," 1,198 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5N8, Nottinghamshire County Teaching PCT , -   , 8 , -   , * , * , 18 , -   , * , 25 , 11 , 7 , -   , 23 , * , -   , -   , * , 56 , 75 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHA, Nottinghamshire Healthcare NHS Trust , 28 , 260 , * , 9 ," 2,353 ", 258 , -   , * , 64 , 40 , 44 , 9 , 72 , 31 , -   , -   , -   , 313 , 368 , 452 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX1, Nottingham University Hospitals NHS Trust ," 2,634 "," 31,178 "," 4,095 "," 2,659 ", 965 ," 6,985 "," 5,986 "," 1,205 "," 11,837 "," 9,322 "," 14,964 "," 2,512 "," 11,247 "," 8,892 "," 20,946 "," 2,639 "," 2,001 "," 25,533 "," 13,530 "," 19,503 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC40, Nottingham Woodthorpe Hospital , -   , 26 , -   , * , -   , 72 , * , -   , * , -   , 146 , 15 ," 1,848 ", 225 , * , -   , * , 104 , 41 , 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT213," Nuffield Health, Derby Hospital ", -   , 7 , * , -   , -   , * , 24 , 18 , -   , 58 , 81 , -   , 485 , -   , -   , -   , * , 7 , 11 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT226," Nuffield Health, Leicester Hospital ", * , 18 , -   , -   , -   , 17 , 256 , 24 , -   , 69 , 205 , 9 , 284 , 71 , -   , -   , 6 , 50 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK5, Sherwood Forest Hospitals NHS Foundation Trust ," 1,141 "," 6,268 ", 988 , 774 , 282 ," 1,838 "," 1,883 ", 509 ," 4,336 "," 4,537 "," 8,836 "," 2,202 "," 6,879 "," 6,748 "," 8,428 ", 590 , 195 ," 11,126 "," 4,531 "," 7,105 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT322, Spire Leicester Hospital , -   , 40 , -   , -   , * , 40 , 316 , -   , 22 , -   , 182 , 62 , 253 , 110 , -   , -   , -   , 13 , * , 93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWD, United Lincolnshire Hospitals NHS Trust ," 1,822 "," 23,198 "," 2,841 "," 1,812 ", 490 ," 2,484 "," 8,474 ", 658 ," 9,877 "," 8,182 "," 19,403 "," 2,334 "," 10,828 "," 9,981 "," 15,951 "," 1,562 ", 433 ," 17,501 "," 11,522 "," 13,365 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWE, University Hospitals of Leicester NHS Trust ," 2,799 "," 28,214 "," 4,118 "," 3,217 ", 638 ," 6,783 "," 5,503 "," 1,334 "," 15,629 "," 10,482 "," 22,675 "," 3,101 "," 11,973 "," 12,555 "," 27,101 "," 2,525 "," 2,151 "," 23,150 "," 10,799 "," 26,352 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC23, Woodland Hospital , 11 , 72 , 8 , * , -   , 34 , 296 , 8 , 92 , 40 , 718 , 48 , 838 , 526 , * , -   , 6 , 194 , 48 , 42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q35, EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY ," 16,571 "," 195,690 "," 25,018 "," 20,308 "," 14,906 "," 29,662 "," 60,324 "," 8,392 "," 96,096 "," 75,604 "," 172,338 "," 29,016 "," 110,872 "," 87,009 "," 124,567 "," 19,822 "," 8,843 "," 156,120 "," 93,641 "," 119,559 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYW01, Aspen - Holly House Hospital , -   , 8 , -   , * , -   , -   , -   , -   , * , 8 , 12 , -   , 336 , 60 , -   , -   , -   , 15 , * , 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDD, Basildon and Thurrock University Hospitals NHS Foundation Trust , 599 ," 6,435 "," 1,425 "," 1,069 ", 201 ," 1,161 ", 57 , 379 ," 8,432 "," 4,318 "," 9,049 "," 1,053 "," 5,903 "," 4,513 "," 9,097 ", 772 , 203 ," 7,803 "," 3,489 "," 9,088 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
