"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2019-20)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2019-20.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
RCF, Airedale NHS Foundation Trust - (RCF) ," 2,310 "," 12,570 "," 1,580 "," 1,420 ", 315 , 675 ," 1,130 ", 250 ," 3,330 "," 4,085 "," 9,610 ", 985 ," 2,555 "," 4,615 "," 5,615 ", 520 , 75 ," 6,695 "," 2,705 ", 40 ," 5,415 ",
RBS, Alder Hey Children's NHS Foundation Trust - (RBS) ," 2,145 "," 3,565 ", 940 ," 1,595 ", 175 ," 1,560 ", 570 , 445 , 365 ," 4,355 "," 4,880 ", 845 ," 2,415 "," 3,010 ", -   , 840 ," 4,310 "," 4,120 "," 3,930 ", * ," 2,205 ",
NX503, Anglia Community Eye Service - New Queen Street Surgery - (NX503) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   ,
NX501, Anglia Community Eye Service Ltd - (NX501) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,715 ", -   , -   , -   ,
NX504, Anglia Community Eye Services Fakenham - (NX504) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   ,
RTK, Ashford And St Peter's Hospitals NHS Foundation Trust - (RTK) ," 1,800 "," 5,420 "," 1,185 "," 1,350 ", 365 ," 1,230 "," 4,620 ", 230 ," 5,130 "," 5,070 "," 15,455 "," 1,940 "," 4,860 "," 5,495 "," 4,985 "," 2,075 ", 450 ," 7,840 "," 4,355 ", 105 ," 3,545 ",
NVC01, Ashtead Hospital - (NVC01) , 10 , 45 , 10 , 20 , -   , 35 , 440 , * , * , 35 , 565 , 35 , 485 , 50 , -   , -   , * , 150 , 10 , -   , 40 ,
NYW04, Aspen - Claremont Hospital - (NYW04) , 10 , 80 , 10 , * , * , 45 , 50 , * , * , 25 , 875 , 50 ," 1,635 ", 205 , -   , -   , * , 115 , 25 , -   , 50 ,
NYW03, Aspen - Highgate Hospital - (NYW03) , * , 60 , * , * , -   , 10 , -   , * , * , 50 , 190 , 40 , 295 , -   , -   , -   , * , 35 , * , -   , 10 ,
NYW02, Aspen - Parkside Hospital - (NYW02) , -   , * , -   , * , 160 , 10 , -   , * , -   , 65 , 70 , * , 150 , * , -   , -   , * , 10 , * , -   , -   ,
NYW01, Aspen - The Holly - (NYW01) , * , 75 , -   , 35 , -   , 85 , 15 , 35 , -   , 185 , 190 , 55 ," 1,615 ", 220 , -   , -   , * , 25 , 10 , -   , 10 ,
NXP37, Aspen Centre - (NXP37) , -   , -   , -   , -   , -   , 55 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NYW17, Aspen Healthcare - Midland Eye - (NYW17) , -   , -   , -   , -   , -   , -   ," 1,255 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RVN, Avon And Wiltshire Mental Health Partnership NHS Trust - (RVN) , -   , -   , -   , * ," 2,145 ", * , -   , -   , * , * , -   , * , * , * , * , -   , -   , 165 , * , -   , 40 ,
RF4," Barking, Havering And Redbridge University Hospitals NHS Trust - (RF4) "," 4,170 "," 10,365 "," 3,455 "," 2,545 ", 400 ," 2,790 "," 3,380 ", 875 ," 7,450 "," 10,165 "," 18,835 "," 4,185 "," 9,600 "," 9,555 "," 11,145 "," 5,540 ", 500 ," 15,085 "," 6,745 ", 340 ," 6,575 ",
NTP13, Barlborough NHS Treatment Centre - (NTP13) , -   , * , -   , -   , -   , 45 , -   , -   , -   , -   , -   , * ," 1,895 ", -   , -   , -   , * , -   , 70 , -   , * ,
RFF, Barnsley Hospital NHS Foundation Trust - (RFF) ," 1,755 "," 6,265 "," 2,280 "," 2,005 ", 765 ," 1,015 "," 2,505 ", 450 ," 4,430 "," 6,675 "," 11,725 "," 2,770 "," 4,475 "," 4,765 "," 6,375 "," 1,930 ", 140 ," 8,350 "," 5,310 ", 50 ," 6,245 ",
R1H, Barts Health NHS Trust - (R1H) ," 7,495 "," 12,630 "," 6,350 "," 4,045 "," 1,270 "," 7,230 "," 5,265 "," 1,175 "," 20,280 "," 17,600 "," 34,645 "," 4,970 "," 16,030 "," 14,405 "," 21,500 "," 4,875 "," 1,925 "," 35,695 "," 19,480 ", 470 ," 16,835 ",
RDD, Basildon And Thurrock University Hospitals NHS Foundation Trust - (RDD) ," 2,910 "," 9,735 "," 2,605 "," 2,065 ", 755 ," 1,845 ", 190 , 335 ," 11,470 "," 7,085 "," 12,915 "," 2,325 "," 6,960 "," 5,310 "," 10,470 "," 1,230 ", 165 ," 18,575 "," 6,410 ", 115 ," 10,570 ",
RC1, Bedford Hospital NHS Trust - (RC1) ," 1,935 "," 6,415 "," 1,570 ", 885 , 385 , 835 ," 2,520 ", 185 ," 3,950 "," 4,400 "," 11,870 "," 2,435 "," 3,380 "," 3,570 "," 4,045 "," 1,080 ", 325 ," 7,955 "," 3,740 ", 80 ," 3,930 ",
NWF01, Benenden Hospital - (NWF01) , -   , 10 , -   , -   , -   , 70 , 245 , 15 , * , 20 , 120 , 10 , 945 , 35 , -   , -   , * , * , 20 , -   , * ,
RWX, Berkshire Healthcare NHS Foundation Trust - (RWX) , 25 , 15 , 10 , 15 , 905 , 55 , -   , * , 45 , 95 , 25 , 15 , 80 , 45 , -   , -   , * ," 1,105 ", 220 , -   , 540 ,
NWX11, BICS-Community - (NWX11) , * , 15 , * , -   , -   , 200 , -   , -   , -   , -   , * , * ," 2,280 ", -   , -   , -   , * , 15 , 70 , -   , * ,
RYW, Birmingham Community Healthcare NHS Foundation Trust - (RYW) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,300 ", * , -   , -   ,
RXKTC, Birmingham Treatment Centre - (RXKTC) , 10 , 790 , 10 , 90 , * , 440 , 170 , 60 , 75 , 345 ," 1,120 ", 85 ," 3,180 "," 1,285 ", * , * , 30 , 305 , 535 , -   , 240 ,
RQ3, Birmingham Women's And Children's NHS Foundation Trust - (RQ3) ," 2,085 "," 5,950 "," 1,930 "," 1,325 ", 275 ," 1,580 ", 485 , 820 , 570 ," 4,015 "," 4,220 "," 1,005 "," 1,380 "," 2,915 "," 11,075 "," 3,265 "," 5,020 "," 4,740 "," 3,790 ", 10 ," 6,935 ",
RXL, Blackpool Teaching Hospitals NHS Foundation Trust - (RXL) ," 3,600 "," 23,355 "," 2,590 "," 1,720 ", 670 ," 1,230 "," 5,360 ", 520 ," 9,660 "," 8,370 "," 12,430 "," 2,725 "," 4,065 "," 4,945 "," 4,975 "," 1,175 ", 240 ," 10,710 "," 4,630 ", 45 ," 4,575 ",
NVC31, Blakelands Hospital - (NVC31) , 105 , 25 , 25 , * , -   , 70 ," 1,260 ", -   , * , -   ," 1,485 ", 50 , 465 , 160 , -   , -   , * , 460 , * , -   , 55 ,
NT402, BMI - Bath Clinic - (NT402) , * , 60 , * , * , -   , * , 505 , * , -   , 20 , 420 , 15 , 565 , 210 , -   , -   , * , 70 , 15 , -   , 45 ,
NT405, BMI - Bishops Wood - (NT405) , * , 30 , -   , * , -   , 55 , 490 , * , * , 50 , 205 , 40 , 515 , 145 , -   , -   , * , 15 , 15 , -   , 15 ,
NT409, BMI - Chelsfield Park Hospital - (NT409) , * , 50 , * , * , -   , 15 , 35 , -   , -   , 25 , 330 , 25 , 575 , 385 , -   , -   , * , 90 , 25 , -   , 65 ,
NT414, BMI - Fawkham Manor Hospital - (NT414) , -   , * , * , -   , -   , * , -   , -   , * , -   , 30 , * , 60 , 50 , -   , -   , -   , 10 , * , -   , * ,
NT417, BMI - Goring Hall Hospital - (NT417) , * , 15 , * , * , -   , 25 , 895 , -   , * , -   , 55 , * , 925 , 535 , -   , -   , 10 , 70 , 55 , -   , 45 ,
NT416, BMI - Hendon Hospital - (NT416) , * , 70 , * , -   , -   , 60 , 385 , -   , 10 , * , 290 , 30 , 260 , 95 , -   , -   , * , 35 , 10 , -   , 15 ,
NT433, BMI - Sarum Road Hospital - (NT433) , -   , * , -   , -   , -   , 130 , -   , -   , -   , -   , 20 , * , 810 , * , -   , -   , * , 50 , * , -   , -   ,
NT436, BMI - Shirley Oaks Hospital - (NT436) , 15 , 90 , 15 , * , * , 55 , 650 , * , * , * , 610 , 25 , 705 , 440 , * , -   , * , 225 , 25 , -   , 165 ,
NT401, BMI - The Alexandra Hospital - (NT401) , 25 , 160 , 15 , 100 , -   , 205 , -   , -   , * , * ," 1,265 ", 100 ," 3,050 ", 120 , -   , -   , * , 220 , 55 , -   , 45 ,
NT403, BMI - The Beardwood Hospital - (NT403) , 20 , 70 , 10 , * , -   , 265 , * , 25 , * , 105 ," 1,000 ", 30 ," 5,535 ", 295 , -   , -   , 10 , 265 , 20 , -   , 55 ,
NT404, BMI - The Beaumont Hospital - (NT404) , 25 , 110 , 25 , * , * , 140 , * , 45 , * , 195 ," 1,165 ", 40 ," 2,115 ", 580 , -   , -   , 10 , 290 , 30 , -   , 390 ,
NT406, BMI - The Blackheath Hospital - (NT406) , 30 , 90 , 10 , * , * , 60 , 295 , 10 , * , * , 670 , 30 , 590 , 390 , -   , -   , * , 205 , 15 , -   , 210 ,
NT408, BMI - The Chaucer Hospital - (NT408) , 35 , 60 , 20 , * , * , 25 , 850 , * , * , 40 , 575 , 30 , 550 , 235 , -   , -   , * , 185 , 10 , -   , 95 ,
NT410, BMI - The Chiltern Hospital - (NT410) , * , 10 , -   , -   , -   , * , -   , * , -   , -   , 30 , * , 620 , 165 , -   , -   , * , 25 , * , -   , 10 ,
NT411, BMI - The Clementine Churchill Hospital - (NT411) , 35 , 130 , 10 , * , -   , 80 , 245 , 30 , * , 95 , 890 , 60 ," 1,180 ", 700 , * , -   , * , 225 , 35 , -   , 70 ,
NT412, BMI - The Droitwich Spa Hospital - (NT412) , 15 , 85 , 10 , -   , -   , 85 , 650 , 15 , -   , 45 , 715 , 15 , 775 , 255 , -   , -   , * , 235 , 35 , -   , 85 ,
NT413, BMI - The Esperance Hospital - (NT413) , 15 , * , * , * , -   , * , 15 , * , -   , 15 , 95 , * , 65 , 60 , -   , -   , * , 55 , * , -   , 10 ,
NT418, BMI - The Hampshire Clinic - (NT418) , 10 , 90 , 10 , * , -   , 145 , 165 , * , * , 10 , 590 , 55 ," 1,270 ", 415 , -   , -   , 10 , 160 , 35 , -   , 65 ,
NT419, BMI - The Harbour Hospital - (NT419) , * , 10 , * , -   , -   , 150 , 190 , -   , -   , -   , 35 , * , 315 , -   , -   , -   , -   , 15 , * , -   , 10 ,
NT420, BMI - The Highfield Hospital - (NT420) , 30 , 95 , 20 , * , * , 90 , 135 , 30 , 10 , 135 , 680 , 45 ," 2,015 ", 915 , -   , -   , * , 195 , 40 , -   , 80 ,
NT421, BMI - The Kings Oak Hospital - (NT421) , * , 65 , -   , -   , -   , 105 , -   , * , * , 10 , 145 , 40 , 720 , 440 , * , -   , * , 55 , 15 , -   , 90 ,
NT422, BMI - The London Independent Hospital - (NT422) , 25 , 220 , 35 , * , * , 110 , 170 , 20 , 20 , 60 ," 2,600 ", 200 ," 3,475 "," 1,040 ", -   , -   , 20 , 475 , 40 , -   , 110 ,
NT423, BMI - The Manor Hospital - (NT423) , * , 30 , * , * , -   , 30 , -   , -   , * , -   , 205 , * , 395 , 225 , * , -   , * , 120 , 10 , -   , 40 ,
NT424, BMI - The Meriden Hospital - (NT424) , 15 , 55 , 10 , * , -   , 110 , -   , * , -   , 25 , 580 , 25 ," 1,440 ", 145 , -   , -   , * , 120 , 35 , -   , 25 ,
NT427, BMI - The Park Hospital - (NT427) , 10 , 105 , 10 , * , -   , 70 , 70 , -   , 10 , -   , 510 , 65 ," 1,980 ", 585 , -   , -   , * , 120 , 65 , -   , 50 ,
NT428, BMI - The Princess Margaret Hospital - (NT428) , 10 , 45 , * , * , -   , * , -   , -   , * , -   , 270 , * , 125 , 210 , * , -   , * , 90 , 10 , -   , 25 ,
NT429, BMI - The Priory Hospital - (NT429) , 10 , 15 , * , -   , -   , 20 , -   , -   , * , * , 190 , 10 , 490 , 200 , -   , -   , * , 55 , 15 , -   , 35 ,
NT430, BMI - The Ridgeway Hospital - (NT430) , 15 , 85 , 30 , * , * , * , 840 , -   , -   , 45 , 780 , 10 , 500 , 575 , -   , -   , * , 355 , 20 , -   , 100 ,
NT431, BMI - The Runnymede Hospital - (NT431) , * , 20 , * , -   , -   , * , -   , -   , -   , -   , 195 , 15 , 200 , -   , -   , -   , -   , 30 , -   , -   , 10 ,
NT432, BMI - The Sandringham Hospital - (NT432) , * , 10 , -   , -   , -   , * , 355 , -   , * , -   , 365 , 10 , 475 , 230 , -   , -   , * , 35 , 15 , -   , 30 ,
NT434, BMI - The Saxon Clinic - (NT434) , * , 25 , * , -   , -   , 90 , -   , -   , * , -   , 310 , 15 ," 1,080 ", -   , -   , -   , * , 165 , * , -   , 20 ,
NT435, BMI - The Shelburne Hospital - (NT435) , -   , * , -   , * , -   , * , -   , -   , -   , -   , 250 , * , 45 , 25 , -   , -   , -   , * , -   , -   , * ,
NT437, BMI - The Sloane Hospital - (NT437) , * , 35 , * , * , -   , 20 , 80 , -   , -   , 25 , 305 , 10 , 435 , 230 , -   , -   , * , 45 , 10 , -   , 20 ,
NT439, BMI - The South Cheshire Private Hospital - (NT439) , 20 , 80 , * , -   , -   , 20 , -   , 25 , * , 90 , 870 , 30 , 295 , 460 , -   , -   , * , 130 , 15 , -   , 45 ,
NT443, BMI - The Winterbourne Hospital - (NT443) , -   , * , -   , -   , -   , 75 , 170 , -   , -   , -   , 315 , 10 , 580 , -   , -   , -   , * , * , * , -   , * ,
NT440, BMI - Thornbury Hospital - (NT440) , * , 45 , 10 , * , * , 15 , -   , -   , -   , -   , 355 , 10 , 315 , 225 , * , -   , * , 40 , 15 , -   , 15 ,
NT441, BMI - Three Shires Hospital - (NT441) , 25 , 130 , 35 , * , * , 140 , * , -   , * , -   , 970 , 35 ," 1,855 ", 540 , -   , -   , 10 , 335 , 70 , -   , 85 ,
NT497, BMI Gisburne Park Hospital - (NT497) , * , 10 , -   , -   , -   , 85 , 925 , 20 , * , 175 , 165 , 15 ," 1,005 ", 90 , -   , -   , * , 40 , * , -   , 15 ,
NT455, BMI Mount Alvernia Hospital - (NT455) , 10 , 25 , * , -   , * , 35 , 30 , * , * , 10 , 160 , 15 , 360 , 145 , -   , -   , * , 90 , 10 , -   , 15 ,
NT490, BMI Southend Private Hospital - (NT490) , * , 145 , -   , * , -   , 155 ," 1,745 ", * , -   , -   , -   , 80 , 10 , * , -   , -   , -   , -   , * , -   , -   ,
NT446, BMI St Edmunds Hospital - (NT446) , -   , 20 , * , -   , -   , 25 , 175 , -   , * , -   , 280 , -   , 415 , 140 , -   , -   , -   , 50 , 10 , -   , 40 ,
NT451, BMI The Cavell Hospital - (NT451) , 25 , 205 , 10 , * , -   , 30 , -   , * , * , 35 , 630 , 25 , 615 , 740 , * , -   , 15 , 210 , 30 , -   , 70 ,
NT447, BMI The Duchy Hospital - (NT447) , * , 10 , -   , -   , -   , 15 , -   , -   , 20 , -   , 110 , * , 350 , 45 , -   , -   , -   , 40 , * , -   , 25 ,
NT445, BMI The Edgbaston Hospital - (NT445) , 35 , 70 , 10 , * , -   , 120 , -   , -   , * , 65 , 705 , 50 , 660 , 515 , -   , -   , * , 265 , 25 , -   , 70 ,
NT448, BMI The Huddersfield Hospital - (NT448) , 20 , 75 , 10 , * , * , 190 , -   , -   , * , 200 , 760 , 20 , 860 , 490 , -   , -   , * , 235 , 35 , -   , 95 ,
NT449, BMI The Lancaster Hospital - (NT449) , * , 35 , * , -   , -   , 80 , * , -   , * , 10 , 290 , 45 ," 1,300 ", 100 , -   , -   , * , 35 , 20 , -   , 15 ,
NT450, BMI The Lincoln Hospital - (NT450) , * , * , -   , -   , -   , 15 , 165 , -   , * , -   , * , * , 820 , 120 , -   , -   , 10 , 10 , 20 , -   , 10 ,
NT457, BMI Woodlands Hospital - (NT457) , 10 , 75 , * , * , -   , 160 ," 1,385 ", * , 100 , 50 , 565 , 25 ," 1,945 ", 570 , -   , -   , 15 , 250 , 105 , -   , 100 ,
RMC, Bolton NHS Foundation Trust - (RMC) ," 2,895 "," 5,405 "," 1,085 ", 880 , 720 ," 1,150 "," 2,730 ", 390 ," 3,360 "," 7,545 "," 12,800 "," 1,545 "," 2,855 "," 3,690 "," 15,710 "," 2,060 ", 230 ," 6,915 "," 4,790 ", 55 ," 7,135 ",
NVC27, Boston West Hospital - (NVC27) , 30 , 15 , 15 , * , 15 , * , 715 , -   , 20 , -   , 715 , 10 , 435 , 430 , -   , -   , * , 175 , 10 , -   , 35 ,
TAD, Bradford District Care NHS Foundation Trust - (TAD) , -   , -   , -   , * , 915 , 30 , -   , * , -   , -   , * , -   , -   , * , -   , -   , -   , 20 , -   , -   , -   ,
RAE, Bradford Teaching Hospitals NHS Foundation Trust - (RAE) ," 3,205 "," 12,165 "," 3,280 "," 2,200 "," 1,060 "," 1,935 "," 2,765 ", 850 ," 5,365 "," 9,535 "," 14,855 "," 3,085 "," 6,930 "," 7,515 "," 22,440 "," 2,605 ", 445 ," 19,220 "," 8,855 ", 40 ," 9,655 ",
RXH, Brighton And Sussex University Hospitals NHS Trust - (RXH) ," 3,430 "," 10,915 "," 2,860 "," 2,855 ", 930 ," 4,205 "," 4,835 ", 865 ," 9,590 "," 7,875 "," 18,455 "," 3,435 "," 8,755 "," 7,125 "," 6,540 "," 1,525 ", 795 ," 13,975 "," 10,620 ", 60 ," 8,900 ",
RXQ, Buckinghamshire Healthcare NHS Trust - (RXQ) ," 3,750 "," 13,755 "," 1,760 "," 1,655 ", 485 ," 2,285 "," 5,525 ", 425 ," 5,255 "," 6,260 "," 10,755 "," 3,745 "," 7,040 "," 5,550 "," 9,955 "," 1,395 ", 305 ," 16,050 "," 7,625 ", 35 ," 8,880 ",
RWY, Calderdale And Huddersfield NHS Foundation Trust - (RWY) ," 3,005 "," 16,200 "," 2,945 "," 2,760 ", 760 ," 1,810 "," 3,085 ", 780 ," 7,030 "," 9,960 "," 17,840 "," 2,660 "," 7,310 "," 7,290 "," 7,790 "," 2,115 ", 380 ," 10,280 "," 6,785 ", 50 ," 8,225 ",
RGT, Cambridge University Hospitals NHS Foundation Trust - (RGT) ," 3,210 "," 32,240 "," 5,770 "," 2,405 "," 1,090 "," 5,315 "," 4,470 ", 990 ," 7,135 "," 7,600 "," 16,910 "," 1,555 "," 10,065 "," 6,390 "," 7,585 "," 2,705 "," 1,480 "," 16,600 "," 11,345 ", 110 ," 6,225 ",
RV3, Central And North West London NHS Foundation Trust - (RV3) , 25 , * , * , 20 ," 3,455 ", 50 , * , -   , 85 , 35 , 15 , 10 , 15 , 35 , * , -   , -   , 980 , 120 , -   , 65 ,
RQM, Chelsea And Westminster Hospital NHS Foundation Trust - (RQM) ," 4,505 "," 6,595 "," 2,615 "," 2,410 "," 1,045 "," 1,760 ", 820 , 585 ," 5,385 "," 8,495 "," 21,395 "," 3,055 "," 8,010 "," 8,810 "," 16,245 "," 6,645 "," 1,280 "," 18,195 "," 12,175 ", 315 ," 8,185 ",
RXA, Cheshire And Wirral Partnership NHS Foundation Trust - (RXA) , -   , -   , -   , * ," 1,970 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , -   , 245 ,
RFS, Chesterfield Royal Hospital NHS Foundation Trust - (RFS) ," 2,780 "," 10,005 "," 2,165 "," 2,110 ", 930 ," 1,025 "," 1,745 ", 345 ," 4,330 "," 7,260 "," 10,655 "," 2,110 "," 5,230 "," 3,775 "," 7,490 ", 700 , 165 ," 8,785 "," 5,125 ", 55 ," 5,965 ",
NV313, Circle - Nottingham NHS Treatment Centre - (NV313) , 30 ," 1,750 ", 255 , 205 , * , 180 , 25 , * , 100 , -   ," 2,765 ", 740 ," 2,180 ", 410 , * , -   , 15 ," 1,005 ", 50 , -   , 420 ,
NV302, Circle Bath Hospital - (NV302) , * , 80 , * , * , * , 140 , 710 , 10 , 85 , 50 , 650 , 30 ," 2,080 ", 200 , -   , -   , * , 600 , 50 , -   , 45 ,
NV323, Circle Reading Hospital - (NV323) , 10 , 75 , 20 , * , -   , 125 , 500 , -   , * , 65 , 850 , 30 ," 2,315 ", 485 , * , -   , 10 , 665 , 75 , -   , 55 ,
NQ108, Clacton Hospital - (NQ108) , 20 , 30 , * , * , * , 15 , -   , -   , 115 , 25 , 20 , 15 , 35 , 10 , -   , -   , -   , 90 , 190 , -   , -   ,
NVC28, Clifton Park Hospital - (NVC28) , -   , 10 , -   , -   , -   , 140 , -   , -   , -   , -   , * , * ," 1,395 ", -   , -   , -   , * , -   , 85 , -   , * ,
NVC29, Cobalt Hospital - (NVC29) , 75 , 250 , 30 , * , * , 80 , * , * , 45 , -   ," 2,415 ", 165 , 145 , * , -   , -   , * , 290 , * , -   , 125 ,
NVM01, Cobham Day Surgery Hospital - (NVM01) , * , 645 , -   , -   , -   , 45 ," 1,210 ", -   , * , -   , 825 , 75 , 100 , 305 , -   , -   , * , * , 10 , -   , 15 ,
RJ8, Cornwall Partnership NHS Foundation Trust - (RJ8) , 120 , 290 , 15 , 70 , 710 , 130 , * , * , 840 , 650 , 210 , 130 , 325 , 260 , -   , -   , * , 855 ," 1,210 ", -   , 35 ,
RJR, Countess Of Chester Hospital NHS Foundation Trust - (RJR) ," 2,535 "," 7,770 "," 1,710 "," 1,075 ", 555 , 890 ," 3,800 ", 485 ," 5,275 "," 5,900 "," 11,535 "," 2,230 "," 4,180 "," 4,785 "," 10,275 "," 1,100 ", 180 ," 8,685 "," 5,465 ", 30 ," 5,350 ",
