"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2017-18)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2017-18.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
NYW02, Aspen - Parkside Hospital (NYW02) , -   , 10 , -   , -   , -   , 20 , -   , * , -   , 65 , 55 , * , 195 , 10 , -   , -   , * , 10 , * , -   , * ,
NYW01, Aspen - The Holly (NYW01) , * , 75 , -   , 20 , * , 115 , -   , 40 , * , 155 , 180 , 50 ," 1,440 ", 255 , -   , -   , 10 , 40 , 30 , -   , 15 ,
NXP37, Aspen Centre (NXP37) , -   , -   , -   , -   , -   , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NYW17, Aspen Healthcare - Midland Eye (NYW17) , -   , -   , -   , -   , -   , -   , 905 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RVN, Avon And Wiltshire Mental Health Partnership NHS Trust (RVN) , -   , * , -   , * ," 2,225 ", 15 , * , -   , * , -   , * , -   , -   , -   , -   , -   , -   , 450 , -   , -   , 35 ,
RF4," Barking, Havering And Redbridge University Hospitals NHS Trust (RF4) "," 5,025 "," 10,440 "," 2,660 "," 2,585 ", 300 ," 2,715 "," 3,230 "," 1,125 "," 7,650 "," 10,260 "," 19,795 "," 4,340 "," 10,255 "," 10,285 "," 11,335 "," 4,455 ", 490 ," 15,995 "," 6,985 ", -   ," 7,555 ",
NTP13, Barlborough NHS Treatment Centre (NTP13) , -   , * , -   , -   , -   , 115 , -   , -   , -   , -   , -   , 15 ," 2,685 ", -   , -   , -   , * , -   , 105 , -   , * ,
RRP," Barnet, Enfield And Haringey Mental Health NHS Trust (RRP) ", -   , -   , -   , -   ," 2,220 ", 15 , -   , -   , * , -   , -   , * , * , * , -   , -   , -   , 15 , * , -   , 315 ,
RFF, Barnsley Hospital NHS Foundation Trust (RFF) ," 2,140 "," 5,840 "," 1,920 "," 1,895 ", 530 , 980 ," 1,940 ", 290 ," 4,165 "," 5,710 "," 10,715 "," 2,225 "," 5,380 "," 3,430 "," 6,230 ", 840 , 110 ," 7,820 "," 4,605 ", -   ," 4,090 ",
R1H, Barts Health NHS Trust (R1H) ," 8,215 "," 11,670 "," 6,085 "," 3,480 "," 1,120 "," 6,830 "," 5,060 "," 1,145 "," 20,740 "," 15,675 "," 31,545 "," 4,485 "," 13,935 "," 14,210 "," 23,230 "," 4,770 "," 2,010 "," 29,480 "," 17,375 ", -   ," 16,995 ",
RDD, Basildon And Thurrock University Hospitals NHS Foundation Trust (RDD) ," 3,445 "," 8,420 "," 2,465 "," 1,675 ", 675 ," 1,760 ", 140 , 375 ," 10,835 "," 6,325 "," 11,545 "," 2,255 "," 6,650 "," 4,995 "," 10,475 "," 1,510 ", 215 ," 13,535 "," 5,710 ", -   ," 11,110 ",
RC1, Bedford Hospital NHS Trust (RC1) ," 2,195 "," 5,540 "," 1,030 ", 830 , 345 , 895 ," 2,740 ", 245 ," 3,655 "," 4,105 "," 9,945 "," 1,925 "," 3,370 "," 3,385 "," 4,485 "," 1,170 ", 370 ," 7,900 "," 3,900 ", -   ," 4,665 ",
NWF01, Benenden Hospital (NWF01) , * , 35 , -   , -   , -   , 35 , 600 , 20 , * , 50 , 105 , 15 ," 1,405 ", 190 , -   , -   , * , * , 35 , -   , * ,
RWX, Berkshire Healthcare NHS Foundation Trust (RWX) , 25 , 15 , * , 10 , 995 , 70 , * , -   , 60 , 90 , 20 , 10 , 85 , 80 , -   , -   , -   , 775 , 220 , -   , 600 ,
NWX11, Bics-Community (NWX11) , * , 20 , * , -   , -   , 260 , -   , -   , * , -   , * , * ," 2,560 ", * , -   , -   , * , * , 35 , -   , * ,
RXT, Birmingham And Solihull Mental Health NHS Foundation Trust (RXT) , -   , -   , -   , * ," 2,075 ", 80 , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 20 , * , -   , 30 ,
RYW, Birmingham Community Healthcare NHS Foundation Trust (RYW) , 25 , 30 , * , 10 , 15 , 20 , -   , -   , 75 , 70 , 15 , 10 , 45 , 30 , -   , -   , -   , 690 , 185 , -   , * ,
RXKTC, Birmingham Treatment Centre (RXKTC) , 10 ," 5,645 ", 165 , 220 , * , 460 , * , 220 , 110 , 705 ," 1,055 ", 100 ," 2,985 "," 1,190 ", -   , -   , 110 , 330 , 445 , -   ," 1,145 ",
RQ3, Birmingham Women's And Children's NHS Foundation Trust (RQ3) ," 2,490 "," 5,405 "," 2,215 "," 1,455 ", 290 ," 1,450 ", 515 , 905 , 500 ," 4,235 "," 3,945 ", 995 ," 1,185 "," 2,900 "," 11,045 "," 4,130 "," 5,285 "," 4,840 "," 3,960 ", -   ," 6,070 ",
TAJ, Black Country Partnership NHS Foundation Trust (TAJ) , -   , -   , -   , -   ," 1,225 ", 30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 65 , -   , -   , 75 ,
RXL, Blackpool Teaching Hospitals NHS Foundation Trust (RXL) ," 3,670 "," 20,370 "," 2,375 "," 1,530 ", 845 ," 1,470 "," 5,430 ", 550 ," 9,625 "," 7,490 "," 11,705 "," 2,805 "," 5,325 "," 4,875 "," 5,400 "," 1,290 ", 295 ," 10,940 "," 5,385 ", -   ," 6,500 ",
NVC31, Blakelands Hospital (NVC31) , 100 , 35 , 30 , * , * , 150 , 710 , -   , * , -   ," 2,225 ", 85 , 570 , 60 , -   , -   , * , 625 , * , -   , 180 ,
NHM03, Bluebird Lodge Community Hospital (NHM03) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 190 , -   , -   , -   ,
NT402, BMI - Bath Clinic (NT402) , 20 , 25 , * , * , -   , 10 , 330 , * , * , 30 , 400 , * , 900 , 180 , -   , -   , 10 , 55 , 20 , -   , 35 ,
NT405, BMI - Bishops Wood (NT405) , * , 50 , * , * , -   , 35 , 380 , * , * , 55 , 250 , 35 , 615 , 260 , -   , -   , * , 60 , 10 , -   , 10 ,
NT409, BMI - Chelsfield Park Hospital (NT409) , * , 45 , * , * , -   , 20 , 140 , * , -   , 50 , 180 , 15 , 370 , 340 , * , -   , * , 60 , 10 , -   , 25 ,
NT414, BMI - Fawkham Manor Hospital (NT414) , 10 , 30 , * , -   , -   , 20 , 95 , * , * , 10 , 305 , 30 , 525 , 230 , -   , -   , * , 90 , * , -   , 20 ,
NT417, BMI - Goring Hall Hospital (NT417) , * , 85 , 10 , * , -   , 55 , 935 , -   , -   , * , 250 , 10 ," 1,655 "," 1,045 ", -   , -   , 20 , 125 , 75 , -   , 105 ,
NT416, BMI - Hendon Hospital (NT416) , * , 80 , * , -   , -   , 20 , 155 , -   , 20 , -   , 145 , 10 , 215 , 180 , -   , -   , -   , 25 , * , -   , * ,
NT433, BMI - Sarum Road Hospital (NT433) , * , 10 , -   , -   , -   , 160 , -   , * , -   , 10 , 60 , * , 745 , 75 , -   , -   , * , 45 , 10 , -   , 15 ,
NT436, BMI - Shirley Oaks Hospital (NT436) , 25 , 120 , 15 , * , -   , 125 , 755 , 10 , 25 , 25 , 705 , 20 , 910 , 775 , -   , -   , 15 , 260 , 35 , -   , 155 ,
NT401, BMI - The Alexandra Hospital (NT401) , 35 , 80 , 15 , * , -   , 165 ," 1,685 ", -   , * , * ," 1,095 ", 70 ," 2,495 ", 135 , -   , -   , 10 , 180 , 45 , -   , 35 ,
NT403, BMI - The Beardwood Hospital (NT403) , 40 , 35 , 10 , -   , * , 255 , * , 25 , -   , 90 ," 1,200 ", 15 ," 4,575 ", 280 , -   , -   , 10 , 280 , 25 , -   , 50 ,
NT404, BMI - The Beaumont Hospital (NT404) , 50 , 55 , 15 , * , * , 180 , * , 50 , * , 270 ," 1,110 ", 35 ," 2,705 ", 675 , -   , -   , 10 , 390 , 25 , -   , 350 ,
NT406, BMI - The Blackheath Hospital (NT406) , 20 , 50 , 10 , * , -   , 30 , 90 , 10 , * , 35 , 475 , 25 , 450 , 340 , * , -   , * , 165 , 15 , -   , 155 ,
NT408, BMI - The Chaucer Hospital (NT408) , 45 , 70 , 10 , * , -   , 45 , 755 , 20 , * , 60 , 660 , 40 , 575 , 350 , -   , -   , 10 , 285 , 15 , -   , 55 ,
NT410, BMI - The Chiltern Hospital (NT410) , * , 10 , -   , -   , -   , -   , * , 10 , -   , 10 , 155 , * , 330 , 215 , -   , -   , * , 45 , * , -   , 10 ,
NT411, BMI - The Clementine Churchill Hospital (NT411) , 20 , 60 , * , * , -   , 110 , 335 , 45 , * , 135 , 645 , 45 ," 1,525 ", 605 , -   , -   , 10 , 150 , 20 , -   , 35 ,
NT412, BMI - The Droitwich Spa Hospital (NT412) , 10 , 55 , 10 , -   , -   , 165 , 485 , 15 , 35 , 60 , 635 , 20 , 945 , 360 , -   , -   , * , 220 , 25 , -   , 50 ,
NT413, BMI - The Esperance Hospital (NT413) , 55 , 35 , 20 , * , * , 15 , 30 , 15 , -   , 55 , 410 , 30 , 660 , 280 , -   , -   , * , 175 , 10 , -   , 80 ,
NT418, BMI - The Hampshire Clinic (NT418) , 10 , 35 , 10 , * , -   , 155 , 215 , * , * , 20 , 550 , 30 ," 1,570 ", 380 , -   , -   , * , 155 , 30 , -   , 50 ,
NT419, BMI - The Harbour Hospital (NT419) , 20 , * , -   , -   , -   , 85 , 460 , -   , -   , * , 180 , * , 55 , * , -   , -   , -   , 30 , * , -   , 15 ,
NT420, BMI - The Highfield Hospital (NT420) , 10 , 70 , * , 15 , -   , 105 , 305 , 30 , * , 140 , 700 , 45 ," 2,000 ", 660 , -   , -   , 10 , 175 , 25 , -   , 190 ,
NT421, BMI - The Kings Oak Hospital (NT421) , -   , 110 , -   , * , -   , 120 , 45 , * , * , 10 , 95 , 15 , 895 , 280 , -   , -   , 10 , 40 , * , -   , 40 ,
NT422, BMI - The London Independent Hospital (NT422) , 15 , 110 , 10 , * , -   , 135 , 115 , 15 , 15 , 65 ," 1,295 ", 155 ," 3,120 ", 560 , * , -   , 10 , 330 , 45 , -   , 40 ,
NT423, BMI - The Manor Hospital (NT423) , 15 , 20 , * , * , -   , 50 , -   , -   , -   , -   , 160 , * , 560 , 210 , -   , -   , * , 125 , 10 , -   , 10 ,
NT424, BMI - The Meriden Hospital (NT424) , 10 , 30 , * , -   , -   , 100 , -   , * , -   , 60 , 425 , 10 ," 1,450 ", 145 , -   , -   , * , 105 , 45 , -   , 10 ,
NT427, BMI - The Park Hospital (NT427) , 10 , 60 , 10 , * , -   , 35 , 100 , -   , * , * , 320 , 80 , 920 , 585 , -   , -   , * , 180 , 35 , -   , 35 ,
NT428, BMI - The Princess Margaret Hospital (NT428) , * , 30 , * , * , -   , 10 , -   , -   , -   , -   , 270 , * , 260 , 230 , -   , -   , * , 125 , * , -   , 30 ,
NT429, BMI - The Priory Hospital (NT429) , * , 35 , -   , * , * , 65 , 50 , -   , * , -   , 245 , 10 , 505 , 440 , * , -   , * , 60 , 15 , -   , 35 ,
NT430, BMI - The Ridgeway Hospital (NT430) , 15 , 55 , * , * , * , 20 , 900 , 10 , * , 40 , 840 , 15 , 510 , 525 , -   , -   , * , 210 , 20 , -   , 75 ,
NT431, BMI - The Runnymede Hospital (NT431) , * , 15 , * , -   , -   , 15 , -   , -   , -   , -   , 160 , 10 , 260 , * , -   , -   , * , 20 , * , -   , * ,
NT432, BMI - The Sandringham Hospital (NT432) , 10 , 10 , 10 , -   , -   , 10 , 340 , -   , * , -   , 460 , 10 , 520 , 265 , -   , -   , -   , 170 , 15 , -   , 30 ,
NT434, BMI - The Saxon Clinic (NT434) , 10 , 20 , * , * , -   , 70 , -   , -   , -   , -   , 235 , 25 , 780 , 75 , -   , -   , * , 105 , 10 , -   , 25 ,
NT435, BMI - The Shelburne Hospital (NT435) , -   , * , -   , * , -   , -   , -   , -   , -   , -   , 150 , * , 110 , 15 , -   , -   , -   , -   , -   , -   , * ,
NT437, BMI - The Sloane Hospital (NT437) , -   , 20 , * , * , -   , 15 , 155 , -   , -   , 25 , 180 , * , 265 , 160 , -   , -   , * , 30 , * , -   , 10 ,
NT438, BMI - The Somerfield Hospital (NT438) , * , 60 , * , * , -   , 25 , 335 , * , * , 15 , 235 , 30 , 610 , 235 , -   , -   , * , 60 , 15 , -   , 15 ,
NT439, BMI - The South Cheshire Private Hospital (NT439) , 25 , 40 , 10 , * , -   , 100 , -   , 15 , * , 70 ," 1,045 ", 25 , 720 , 305 , -   , -   , * , 225 , 15 , -   , 25 ,
NT443, BMI - The Winterbourne Hospital (NT443) , -   , * , -   , * , -   , 60 , 370 , -   , -   , * , 320 , * , 905 , -   , -   , -   , * , -   , 20 , -   , * ,
NT440, BMI - Thornbury Hospital (NT440) , * , 65 , * , * , -   , 30 , -   , -   , * , -   , 390 , * , 360 , 445 , -   , -   , 10 , 40 , 25 , -   , 20 ,
NT441, BMI - Three Shires Hospital (NT441) , 25 , 100 , 20 , * , * , 185 , -   , -   , * , -   ," 1,080 ", 45 ," 1,685 ", 400 , -   , -   , 15 , 290 , 45 , -   , 60 ,
NT497, BMI Gisburne Park Hospital (NT497) , * , 25 , -   , -   , -   , 100 , 980 , 25 , * , 135 , 160 , 20 ," 1,490 ", 315 , -   , -   , * , 55 , 15 , -   , 20 ,
NT455, BMI Mount Alvernia Hospital (NT455) , * , 15 , * , * , -   , 25 , -   , * , * , 40 , 195 , * , 390 , 195 , -   , -   , * , 95 , 10 , -   , 10 ,
NT490, BMI Southend Private Hospital (NT490) , -   , 110 , -   , -   , -   , 70 ," 1,260 ", -   , -   , -   , * , 80 , 25 , -   , -   , -   , -   , -   , -   , -   , * ,
NT446, BMI St Edmunds Hospital (NT446) , * , 15 , * , * , -   , 25 , 205 , -   , * , -   , 400 , * , 490 , 190 , -   , -   , * , 95 , 10 , -   , 45 ,
NT451, BMI The Cavell Hospital (NT451) , 30 , 115 , 15 , * , -   , 15 , 160 , * , * , 60 , 520 , 35 , 535 , 540 , * , -   , * , 155 , 40 , -   , 85 ,
NT447, BMI The Duchy Hospital (NT447) , * , 10 , * , -   , -   , 30 , -   , * , 25 , 20 , 180 , * , 560 , 80 , -   , -   , -   , 45 , * , -   , 15 ,
NT445, BMI The Edgbaston Hospital (NT445) , 25 , 60 , 15 , * , * , 130 , -   , * , * , 110 , 565 , 35 , 915 , 545 , -   , -   , 10 , 350 , 25 , -   , 30 ,
NT448, BMI The Huddersfield Hospital (NT448) , 65 , 30 , 15 , -   , * , 60 , -   , * , * , 205 , 810 , 20 , 875 , 505 , -   , -   , 10 , 210 , 25 , -   , 50 ,
NT449, BMI The Lancaster Hospital (NT449) , * , 25 , * , -   , -   , 60 , 40 , -   , -   , -   , 115 , 20 ," 1,120 ", 40 , -   , -   , * , 35 , 10 , -   , 10 ,
NT450, BMI The Lincoln Hospital (NT450) , * , 10 , -   , -   , -   , * , 230 , -   , * , -   , 25 , * , 855 , 165 , -   , -   , * , 35 , 20 , -   , 10 ,
NT457, BMI Woodlands Hospital (NT457) , 10 , 90 , * , * , -   , 170 , 825 , -   , 80 , 40 , 545 , 30 ," 2,520 ", 585 , -   , -   , 15 , 250 , 95 , -   , 45 ,
RMC, Bolton NHS Foundation Trust (RMC) ," 3,980 "," 4,755 "," 1,170 ", 880 , 760 ," 1,280 "," 5,190 ", 440 ," 3,745 "," 7,380 "," 12,425 "," 1,460 "," 2,910 "," 3,580 "," 14,680 "," 1,965 ", 245 ," 7,925 "," 4,750 ", -   ," 7,545 ",
NVC27, Boston West Hospital (NVC27) , 60 , 25 , 20 , * , 35 , * , 730 , -   , 30 , -   , 570 , * , 855 , 280 , -   , -   , * , 160 , * , -   , 20 ,
TAD, Bradford District Care NHS Foundation Trust (TAD) , -   , -   , -   , * , 800 , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 160 , -   , -   , * ,
RAE, Bradford Teaching Hospitals NHS Foundation Trust (RAE) ," 4,030 "," 11,855 "," 3,260 "," 1,940 ", 900 ," 2,370 "," 2,935 ", 850 ," 6,040 "," 9,525 "," 13,990 "," 3,025 "," 6,965 "," 6,730 "," 18,240 "," 2,525 ", 445 ," 15,470 "," 8,920 ", * ," 7,870 ",
RXH, Brighton And Sussex University Hospitals NHS Trust (RXH) ," 3,890 "," 10,670 "," 2,465 "," 2,210 ", 955 ," 4,435 "," 5,305 ", 850 ," 9,150 "," 7,365 "," 16,190 "," 2,685 "," 8,935 "," 6,685 "," 7,380 "," 1,400 ", 870 ," 13,580 "," 10,480 ", -   ," 8,745 ",
RXQ, Buckinghamshire Healthcare NHS Trust (RXQ) ," 3,510 "," 14,100 "," 1,670 "," 1,605 ", 360 ," 2,245 "," 6,670 ", 485 ," 5,030 "," 5,735 "," 9,880 "," 3,710 "," 7,070 "," 5,280 "," 10,540 "," 1,935 ", 290 ," 12,665 "," 6,760 ", -   ," 10,490 ",
RJF, Burton Hospitals NHS Foundation Trust (RJF) ," 2,370 "," 8,920 "," 1,650 "," 1,215 ", 395 , 905 ," 2,720 ", 605 ," 3,125 "," 6,160 "," 9,125 "," 1,600 "," 4,825 "," 3,830 "," 6,230 "," 1,070 ", 200 ," 8,140 "," 3,760 ", -   ," 5,180 ",
RWY, Calderdale And Huddersfield NHS Foundation Trust (RWY) ," 4,375 "," 14,990 "," 2,365 "," 2,495 ", 650 ," 1,915 "," 4,040 ", 805 ," 6,470 "," 8,465 "," 15,220 "," 2,345 "," 7,935 "," 6,240 "," 7,790 "," 2,315 ", 390 ," 12,085 "," 6,385 ", -   ," 7,240 ",
RGT, Cambridge University Hospitals NHS Foundation Trust (RGT) ," 3,945 "," 30,275 "," 4,760 "," 2,135 "," 1,140 "," 4,960 "," 4,035 "," 1,050 "," 7,055 "," 6,720 "," 15,870 "," 1,545 "," 9,400 "," 7,090 "," 7,790 "," 2,955 "," 1,560 "," 13,760 "," 11,365 ", -   ," 6,545 ",
RT1, Cambridgeshire And Peterborough NHS Foundation Trust (RT1) , -   , -   , -   , -   , 30 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,645 ", -   , -   , -   ,
RYV, Cambridgeshire Community Services NHS Trust (RYV) , 540 , * , 25 , 50 , 20 , 65 , 35 , 35 , 45 , 780 , 155 , 100 , 80 , 75 , * , 430 , 20 , 915 , 255 , -   , 90 ,
NTPAT, Care UK Rochdale Ophthlamology Macular (NTPAT) , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RV3, Central And North West London NHS Foundation Trust (RV3) , * , * , * , 35 ," 3,020 ", 15 , * , * , * , * , * , * , * , * , -   , -   , -   , 980 , * , -   , 40 ,
RQM, Chelsea And Westminster Hospital NHS Foundation Trust (RQM) ," 5,575 "," 5,405 "," 2,280 "," 2,000 ", 760 ," 1,770 ", 960 , 575 ," 4,870 "," 8,400 "," 20,295 "," 3,055 "," 8,250 "," 7,580 "," 17,110 "," 6,170 "," 1,410 "," 17,980 "," 12,230 ", -   ," 8,460 ",
RXA, Cheshire And Wirral Partnership NHS Foundation Trust (RXA) , -   , -   , -   , -   ," 2,105 ", 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 295 ,
RFS, Chesterfield Royal Hospital NHS Foundation Trust (RFS) ," 3,015 "," 8,325 "," 1,895 "," 1,840 ", 780 ," 1,070 "," 2,145 ", 320 ," 4,400 "," 6,520 "," 10,195 "," 1,735 "," 5,620 "," 3,860 "," 8,240 ", 670 , 190 ," 8,280 "," 5,080 ", -   ," 6,080 ",
NV313, Circle - Nottingham NHS Treatment Centre (NV313) , 410 ," 5,185 ", 655 , 710 , 15 , 855 , 140 , * , 295 , 10 ," 7,840 "," 2,430 "," 7,390 "," 1,530 ", 580 , -   , 60 ," 3,330 ", 125 , -   ," 1,485 ",
NV302, Circle Bath Hospital (NV302) , 15 , 105 , 10 , * , * , 140 , 815 , 10 , 125 , 80 , 605 , 30 ," 2,565 ", 355 , -   , -   , 10 , 90 , 40 , -   , 65 ,
NV323, Circle Reading Hospital (NV323) , 40 , 100 , 10 , * , -   , 160 , 340 , -   , * , 120 , 765 , 30 ," 2,405 ", 410 , -   , -   , * , 210 , 60 , -   , 50 ,
NTPH4, Cirencester NHS Treatment Centre (NTPH4) , -   , -   , -   , -   , -   , -   , -   , * , -   , * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   ,
RLN, City Hospitals Sunderland NHS Foundation Trust (RLN) ," 3,070 "," 16,165 "," 2,045 "," 3,350 ", 800 ," 2,395 "," 14,900 "," 1,300 "," 6,740 "," 9,200 "," 12,980 "," 2,140 "," 8,020 "," 8,155 "," 5,000 ", 945 , 605 ," 7,505 "," 5,980 ", -   ," 6,045 ",
