INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1990,1454,536,73.0653,26.9347
I00733,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2100,1481,619,70.5238,29.4762
I00733,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3146,2325,821,73.9034,26.0966
I00733,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,2044,1607,437,78.6204,21.3796
I00733,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1116,871,245,78.0466,21.9534
I00733,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2064,1387,677,67.1996,32.8004
I00733,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1978,1370,608,69.2619,30.7381
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3059,2238,821,73.1612,26.8388
I00733,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1382,909,473,65.7742,34.2258
I00733,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1464,1041,423,71.1066,28.8934
I00733,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1670,1169,501,70,30
I00733,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,851,646,205,75.9107,24.0893
I00733,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1793,1246,547,69.4925,30.5075
I00733,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1460,1040,420,71.2329,28.7671
I00733,RGQ,IPSWICH HOSPITAL NHS TRUST,1750,1141,609,65.2,34.8
I00733,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1316,934,382,70.9726,29.0274
I00733,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2113,1385,728,65.5466,34.4534
I00733,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1876,1273,603,67.8571,32.1429
I00733,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2776,2149,627,77.4135,22.5865
I00733,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3410,2565,845,75.2199,24.7801
I00733,RHU,PORTSMOUTH HOSPITALS NHS TRUST,2897,2012,885,69.4512,30.5488
I00733,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1987,1422,565,71.5652,28.4348
I00733,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1383,1010,373,73.0296,26.9704
I00733,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2247,1736,511,77.2586,22.7414
I00733,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1262,966,296,76.5452,23.4548
I00733,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2014,1566,448,77.7557,22.2443
I00733,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1127,775,352,68.7666,31.2334
I00733,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,4064,2903,1161,71.4321,28.5679
I00733,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1281,947,334,73.9266,26.0734
I00733,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2185,1510,675,69.1076,30.8924
I00733,RJN,EAST CHESHIRE NHS TRUST,866,602,264,69.515,30.485
I00733,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1421,1021,400,71.8508,28.1492
I00733,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2954,2237,717,75.7278,24.2722
I00733,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1805,1346,459,74.5706,25.4294
I00733,RK9,PLYMOUTH HOSPITALS NHS TRUST,2221,1543,678,69.4732,30.5268
I00733,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2852,2058,794,72.1599,27.8401
I00733,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,474,360,114,75.9494,24.0506
I00733,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2210,1670,540,75.5656,24.4344
I00733,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,2052,1511,541,73.6355,26.3645
I00733,RLQ,WYE VALLEY NHS TRUST,1120,773,347,69.0179,30.9821
I00733,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,900,633,267,70.3333,29.6667
I00733,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3273,2306,967,70.4552,29.5448
I00733,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1846,1409,437,76.3272,23.6728
I00733,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,1671,1232,439,73.7283,26.2717
I00733,RMC,BOLTON NHS FOUNDATION TRUST,1757,1314,443,74.7866,25.2134
I00733,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,1366,930,436,68.082,31.918
I00733,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1647,1156,491,70.1882,29.8118
I00733,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1903,1435,468,75.4073,24.5927
I00733,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1495,1036,459,69.2977,30.7023
I00733,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2273,1703,570,74.923,25.077
I00733,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1732,1125,607,64.9538,35.0462
I00733,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1466,1027,439,70.0546,29.9454
I00733,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1758,1257,501,71.5017,28.4983
I00733,RNZ,SALISBURY NHS FOUNDATION TRUST,1032,766,266,74.2248,25.7752
I00733,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,2735,1914,821,69.9817,30.0183
I00733,RPA,MEDWAY NHS FOUNDATION TRUST,1924,1496,428,77.7547,22.2453
I00733,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,1856,1341,515,72.2522,27.7478
I00733,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1713,1239,474,72.3292,27.6708
I00733,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,537,373,164,69.46,30.54
I00733,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,699,458,241,65.5222,34.4778
I00733,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1565,1063,502,67.9233,32.0767
I00733,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,527,397,130,75.3321,24.6679
I00733,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,4272,3146,1126,73.6423,26.3577
I00733,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1437,1051,386,73.1385,26.8615
I00733,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,3891,2716,1175,69.8021,30.1979
I00733,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1616,1087,529,67.2649,32.7351
I00733,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,2564,1886,678,73.5569,26.4431
I00733,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1199,886,313,73.8949,26.1051
I00733,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2607,1937,670,74.3,25.7
I00733,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2952,1980,972,67.0732,32.9268
I00733,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,3066,2361,705,77.0059,22.9941
I00733,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,3028,2295,733,75.7926,24.2074
I00733,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3173,2374,799,74.8188,25.1812
I00733,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1608,1075,533,66.8532,33.1468
I00733,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1703,1217,486,71.4621,28.5379
I00733,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2677,1986,691,74.1875,25.8125
I00733,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1884,1262,622,66.9851,33.0149
I00733,RVJ,NORTH BRISTOL NHS TRUST,1959,1495,464,76.3144,23.6856
I00733,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,2012,1501,511,74.6024,25.3976
I00733,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3923,2532,1391,64.5424,35.4576
I00733,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1863,1392,471,74.7182,25.2818
I00733,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,1265,853,412,67.4308,32.5692
I00733,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1695,1374,321,81.0619,18.9381
I00733,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,3981,2606,1375,65.4609,34.5391
I00733,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,3370,2355,1015,69.8813,30.1187
I00733,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,3494,2458,1036,70.3492,29.6508
I00733,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4337,2820,1517,65.0219,34.9781
I00733,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2114,1434,680,67.8335,32.1665
I00733,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1922,1350,572,70.2393,29.7607
I00733,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2373,1658,715,69.8694,30.1306
I00733,RWJ,STOCKPORT NHS FOUNDATION TRUST,1699,1278,421,75.2207,24.7793
I00733,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2736,1833,903,66.9956,33.0044
I00733,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,1561,1108,453,70.9801,29.0199
I00733,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2181,1503,678,68.9133,31.0867
I00733,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,4183,3382,801,80.8511,19.1489
I00733,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2511,1734,777,69.0562,30.9438
I00733,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,2958,2100,858,70.9939,29.0061
I00733,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,2304,1636,668,71.0069,28.9931
I00733,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,2112,1536,576,72.7273,27.2727
I00733,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2351,1686,665,71.7142,28.2858
I00733,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2311,1752,559,75.8113,24.1887
I00733,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2891,1980,911,68.4884,31.5116
I00733,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1565,1146,419,73.2268,26.7732
I00733,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2631,1881,750,71.4937,28.5063
I00733,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,2318,1428,890,61.6048,38.3952
I00733,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2115,1553,562,73.4279,26.5721
I00733,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2913,1948,965,66.8726,33.1274
