INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SITE_CODE,SITE_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL,SITE_TYPE,NO_PROVIDERS_AT_SITE,SITE_OWNER,SITE_POSTCODE
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,RFFAA,BARNSLEY HOSPITAL,1.0078,2,46990,1580,1565,0.9237,1.0806,0.851,1.175,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,S75 2EP
I00699,R1H,BARTS HEALTH NHS TRUST,R1H41,BARKING BIRTH CENTRE,*,*,400,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG11 9LX
I00699,R1H,BARTS HEALTH NHS TRUST,R1H65,BARTS AND THE LONDON OUTREACH CLINICS,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E1 1BB
I00699,R1H,BARTS HEALTH NHS TRUST,R1H90,BLT BIRTH CENTRE,*,*,600,0,*,*,*,*,*,DENTISTS,ONE,TRUST,E14 8JH
I00699,R1H,BARTS HEALTH NHS TRUST,R1H86,BLT PRIVATE HOSPITALS,*,*,40,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E1 1BB
I00699,R1H,BARTS HEALTH NHS TRUST,R1H15,COMMUNITY HEALTH SERVICES,*,*,*,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,E1 4DG
I00699,R1H,BARTS HEALTH NHS TRUST,R1H11,GATEWAY SURGICAL CENTRE,*,*,895,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E13 8SL
I00699,R1H,BARTS HEALTH NHS TRUST,R1H13,MILE END HOSPITAL,*,*,30,0,*,*,*,*,*,MENTAL HEALTH - COMMUNITY & RESIDENTIAL - NHS,ONE,TRUST,E1 4DG
I00699,R1H,BARTS HEALTH NHS TRUST,R1HNH,NEWHAM GENERAL HOSPITAL,0.898,2,38135,655,730,0.8895,1.1198,0.8438,1.1851,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E13 8SL
I00699,R1H,BARTS HEALTH NHS TRUST,R1HM0,ST BARTHOLOMEW'S HOSPITAL,0.9595,2,14455,480,500,0.8674,1.1462,0.8379,1.1934,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,EC1A 7BE
I00699,R1H,BARTS HEALTH NHS TRUST,R1H12,THE ROYAL LONDON HOSPITAL,0.8449,3,68440,1170,1385,0.9191,1.0858,0.8502,1.1762,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E1 1BB
I00699,R1H,BARTS HEALTH NHS TRUST,R1HKH,WHIPPS CROSS UNIVERSITY HOSPITAL,0.9561,2,52370,1325,1390,0.9191,1.0858,0.8502,1.1762,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E11 1NR
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RDDH0,BASILDON UNIVERSITY HOSPITAL,1.0069,2,74655,1960,1945,0.9314,1.072,0.8523,1.1733,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,SS16 5NL
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RDDH6,BRENTWOOD COMMUNITY HOSPITAL,*,*,*,0,*,*,*,*,*,COMMUNITY HEALTH - NHS & INDEPENDENT,ONE,TRUST,CM15 8DR
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RDDH1,ORSETT HOSPITAL,*,*,10,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,RM16 3EU
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RDDH8,THE ESSEX CARDIOTHORACIC CENTRE,1.0846,2,4685,140,130,0.7515,1.3006,0.7945,1.2586,UNDETERMINED,ONE,TRUST,SS16 5NL
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,RC110,BEDFORD HOSPITAL SOUTH WING,1.1213,2,36610,1275,1135,0.9108,1.0952,0.8486,1.1784,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,MK42 9DJ
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,RXL01,BLACKPOOL VICTORIA HOSPITAL,1.129,2,54465,2320,2055,0.9332,1.0701,0.8526,1.1729,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,FY3 8NR
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,RXL06,CLIFTON HOSPITAL,*,*,85,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,FY8 1PB
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,RXL04,FLEETWOOD HOSPITAL,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS SPECIALIST,ONE,TRUST,FY7 6BE
I00699,RMC,BOLTON NHS FOUNDATION TRUST,RMCE5,INGLESIDE BIRTH & COMMUNITY CENTRE,*,*,305,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,M6 7WR
I00699,RMC,BOLTON NHS FOUNDATION TRUST,RMCD6,LABURNUM LODGE HOME FOR THE ELDERLY,*,*,35,0,*,*,*,*,*,RESIDENTIAL SOCIAL CARE,ONE,TRUST,BL2 6PP
I00699,RMC,BOLTON NHS FOUNDATION TRUST,RMC01,ROYAL BOLTON HOSPITAL,1.1665,2,60420,1745,1495,0.922,1.0825,0.8507,1.1755,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,BL4 0JR
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE01,BRADFORD ROYAL INFIRMARY,0.8722,2,64775,1410,1620,0.9249,1.0792,0.8512,1.1747,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD9 6RJ
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE02,BRADFORD ROYAL INFIRMARY WOMEN'S UNIT,1.6287,1,24950,35,20,0.4506,1.8948,0.6302,1.5868,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD9 6RJ
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE05,ST LUKES HOSPITAL,1.247,2,435,50,40,0.5784,1.5978,0.7059,1.4167,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD5 0NA
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE6H,THE YORKSHIRE CLINIC,*,*,20,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,BD16 1TW
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE5H,WESTBOURNE GREEN COMMUNITY HOSPITAL,1.0932,2,140,15,15,0.3809,2.1002,0.5858,1.7071,COMMUNITY HEALTH - NHS & INDEPENDENT,ONE,TRUST,BD8 8RA
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE3A,WESTWOOD PARK,*,*,10,0,*,*,*,*,*,COMMUNITY HEALTH - NHS & INDEPENDENT,ONE,TRUST,BD6 3RW
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,.,NOT PROVIDED,1.0835,2,7120,335,310,0.8339,1.1879,0.8274,1.2087,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE,NOT PROVIDED,*,*,10,*,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE1R,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE2J,NOT PROVIDED,1.1093,2,110,10,10,0.2942,2.4214,0.5267,1.8985,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,RXH18,ASHDOWN NUFFIELD HOSPITAL,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,RH16 1UD
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,RXH05,BRIGHTON GENERAL HOSPITAL,*,*,125,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BN2 3EW
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,RXH17,HOVE POLYCLINIC,*,*,25,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BN3 7HY
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,RXH10,HURSTWOOD PARK CENTRE,*,*,970,*,*,*,*,*,*,UNDETERMINED,ONE,TRUST,RH16 4EX
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,RXH21,LEWES VICTORIA HOSPITAL,*,*,10,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BN7 1PE
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,RXH09,PRINCESS ROYAL HOSPITAL,0.8759,2,20205,645,735,0.8899,1.1193,0.8439,1.1849,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,RH16 4EX
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,RXH06,ROYAL ALEXANDRA CHILDREN'S HOSPITAL,*,*,7235,*,10,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BN2 5BE
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,RXH01,ROYAL SUSSEX COUNTY HOSPITAL,1.0481,2,38720,1660,1580,0.9241,1.0802,0.8511,1.1749,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BN2 5BE
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,RXH07,SUSSEX EYE HOSPITAL,*,*,695,*,*,*,*,*,*,UNSPECIFIED,ONE,TRUST,BN2 5BF
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,RXH60,SUSSEX ORTHOPAEDIC TREATMENT CENTRE,*,*,1275,0,*,*,*,*,*,UNSPECIFIED,ONE,TRUST,RH16 4EY
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,.,NOT PROVIDED,*,*,*,*,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,RXH00,NOT PROVIDED,*,*,25,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,RXQ51,AMERSHAM HOSPITAL,0.8572,2,260,15,15,0.4048,2.0255,0.6013,1.6631,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HP7 0JD
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,RXQ61,BUCKINGHAM HOSPITAL,*,*,85,*,*,*,*,*,*,COMMUNITY HEALTH - NHS & INDEPENDENT,ONE,TRUST,MK18 1NU
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,RXQFN,FLORENCE NIGHTINGALE HOSPICE,2.8739,1,210,105,35,0.562,1.6315,0.6966,1.4356,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HP21 8AL
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,RXQ02,STOKE MANDEVILLE HOSPITAL,0.9986,2,54540,1260,1260,0.9152,1.0901,0.8495,1.1772,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HP21 8AL
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,RXQ50,WYCOMBE HOSPITAL,0.691,3,9575,190,275,0.8239,1.2007,0.8239,1.2138,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HP11 2TT
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,RWY02,CALDERDALE ROYAL HOSPITAL,0.93,2,42020,835,900,0.9,1.1075,0.8463,1.1816,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HX3 0PW
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,RWY01,HUDDERSFIELD ROYAL INFIRMARY,1.0414,2,28915,1430,1375,0.9187,1.0862,0.8501,1.1763,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HD3 3EA
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,.,NOT PROVIDED,*,*,185,*,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT01,ADDENBROOKE'S HOSPITAL,0.8393,3,63215,2115,2520,0.9396,1.0631,0.8535,1.1716,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,CB2 0QQ
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT1Y,CAMBRIDGE DIALYSIS CENTRE,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS SPECIALIST,ONE,TRUST,CB5 8PD
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT1Q,CUH AT PRINCESS OF WALES HOSPITAL,*,*,20,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,CB6 1DN
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT65,HINCHINGBROOKE DIALYSIS UNIT,*,*,*,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,CB2 0QQ
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT03,KINGS LYNN DIALYSIS,*,*,*,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,CB2 0QQ
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT98,NUFFIELD HEALTH CAMBRIDGE HOSPITAL,*,*,425,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,CB2 8AF
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT32,ROSIE HOSPITAL,0.9803,2,12250,25,25,0.5052,1.7575,0.6634,1.5074,UNDETERMINED,ONE,TRUST,CB2 0QQ
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT97,SPIRE (LEA) HOSPITAL,*,*,550,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,CB24 9EL
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT04,WEST SUFFOLK DIALYSIS,*,*,*,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,CB2 0QQ
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,.,NOT PROVIDED,*,*,15,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,RQM01,CHELSEA & WESTMINSTER HOSPITAL,0.732,3,44545,625,855,0.8976,1.1103,0.8458,1.1824,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,SW10 9NH
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,RQM91,WEST MIDDLESEX UNIVERSITY HOSPITAL,0.7596,3,51345,930,1225,0.9141,1.0915,0.8493,1.1775,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,TW7 6AF
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,RFSDA,CHESTERFIELD ROYAL HOSPITAL,1.0057,2,51640,1790,1780,0.9283,1.0755,0.8518,1.174,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,S44 5BL
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,COUNTESS OF CHESTER HOSPITAL,1.0729,2,47930,1470,1370,0.9186,1.0863,0.8501,1.1763,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,CH2 1UL
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR60,ELLESMERE PORT HOSPITAL,2.0151,1,130,20,10,0.2829,2.4705,0.5187,1.928,COMMUNITY HEALTH - NHS & INDEPENDENT,ONE,TRUST,CH65 6SG
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RWWHG,HALTON HOSPITAL,*,*,50,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,WA7 2DA
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RWWWH,WARRINGTON HOSPITAL,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,WA5 1QG
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,.,NOT PROVIDED,*,*,40,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPBA,BISHOP AUCKLAND HOSPITAL,*,*,1045,*,10,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DL14 6AD
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCC,CHESTER LE STREET HOSPITAL,*,*,20,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DH3 3AT
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1.1506,2,33335,1210,1055,0.9075,1.0989,0.8479,1.1793,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,DL3 6HX
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCG,HORN HALL HOSPITAL,0.8008,2,375,25,30,0.5438,1.67,0.6861,1.4574,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DL13 2JR
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCJ,RICHARDSON HOSPITAL,0.8176,2,600,35,45,0.6027,1.55,0.7194,1.39,RESIDENTIAL SOCIAL CARE,ONE,TRUST,DL12 8ET
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCL,SEDGEFIELD COMMUNITY HOSPITAL,0.5489,3,585,25,50,0.6165,1.5238,0.727,1.3755,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,TS21 3EE
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCW,SHOTLEY BRIDGE HOSPITAL SITE,*,*,50,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DH8 0NB
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NT333,SPIRE WASHINGTON HOSPITAL,*,*,85,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,NE38 9JZ
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1.1311,2,46205,1650,1460,0.921,1.0836,0.8506,1.1757,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DH1 5TW
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPDU,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,RJ611,CROYDON UNIVERSITY HOSPITAL,0.9153,2,37115,1265,1380,0.9189,1.086,0.8502,1.1762,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,CR7 7YE
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,RJ600,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,RN707,DARENT VALLEY HOSPITAL,1.0632,2,55995,1490,1400,0.9195,1.0853,0.8503,1.1761,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,DA2 8DA
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,RN7QM,QUEEN MARY'S HOSPITAL SIDCUP,*,*,1105,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DA14 6LT
