INDICATOR_CODE,DIAGNOSIS_GROUP_NUMBER,DIAGNOSIS_GROUP_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED,SHMI_VALUE,SHMI_BANDING,PO_LL,PO_UL,OD_LL,OD_UL
I00699,1,Tuberculosis,RJ6,CROYDON HEALTH SERVICES NHS TRUST,15,*,*,,,,,,
I00699,1,Tuberculosis,RN7,DARTFORD AND GRAVESHAM NHS TRUST,20,0,*,,,,,,
I00699,1,Tuberculosis,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,RJN,EAST CHESHIRE NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,20,*,*,,,,,,
I00699,1,Tuberculosis,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,20,*,*,,,,,,
I00699,1,Tuberculosis,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,15,0,*,,,,,,
I00699,1,Tuberculosis,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,15,*,*,,,,,,
I00699,1,Tuberculosis,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,35,*,*,,,,,,
I00699,1,Tuberculosis,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,15,*,*,,,,,,
I00699,1,Tuberculosis,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,50,*,*,,,,,,
I00699,1,Tuberculosis,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,30,*,*,,,,,,
I00699,1,Tuberculosis,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,25,*,*,,,,,,
I00699,1,Tuberculosis,RJ2,LEWISHAM AND GREENWICH NHS TRUST,40,*,*,,,,,,
I00699,1,Tuberculosis,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,75,*,*,,,,,,
I00699,1,Tuberculosis,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,25,*,*,,,,,,
I00699,1,Tuberculosis,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,40,0,*,,,,,,
I00699,1,Tuberculosis,RPA,MEDWAY NHS FOUNDATION TRUST,15,0,*,,,,,,
I00699,1,Tuberculosis,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RVJ,NORTH BRISTOL NHS TRUST,15,0,*,,,,,,
I00699,1,Tuberculosis,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,25,0,*,,,,,,
I00699,1,Tuberculosis,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,15,0,*,,,,,,
I00699,1,Tuberculosis,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,20,0,*,,,,,,
I00699,1,Tuberculosis,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15,*,*,,,,,,
I00699,1,Tuberculosis,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,40,0,*,,,,,,
I00699,1,Tuberculosis,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RHU,PORTSMOUTH HOSPITALS NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,25,0,*,,,,,,
I00699,1,Tuberculosis,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,20,*,*,,,,,,
I00699,1,Tuberculosis,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RNZ,SALISBURY NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,30,0,*,,,,,,
I00699,1,Tuberculosis,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,30,*,*,,,,,,
I00699,1,Tuberculosis,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,75,*,*,,,,,,
I00699,1,Tuberculosis,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RWJ,STOCKPORT NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,20,0,*,,,,,,
I00699,1,Tuberculosis,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,15,0,*,,,,,,
I00699,1,Tuberculosis,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,*,*,,,,,,
I00699,1,Tuberculosis,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,20,*,*,,,,,,
I00699,1,Tuberculosis,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,25,0,*,,,,,,
I00699,1,Tuberculosis,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,30,*,*,,,,,,
I00699,1,Tuberculosis,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,60,0,*,,,,,,
I00699,1,Tuberculosis,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,15,0,*,,,,,,
I00699,1,Tuberculosis,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,40,*,*,,,,,,
I00699,1,Tuberculosis,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,15,0,*,,,,,,
I00699,1,Tuberculosis,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,60,*,*,,,,,,
I00699,1,Tuberculosis,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,25,*,*,,,,,,
I00699,1,Tuberculosis,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RBK,WALSALL HEALTHCARE NHS TRUST,10,0,*,,,,,,
I00699,1,Tuberculosis,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,15,0,*,,,,,,
I00699,1,Tuberculosis,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RA3,WESTON AREA HEALTH NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RKE,WHITTINGTON HEALTH NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,Tuberculosis,RLQ,WYE VALLEY NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,2,"Septicaemia (except in labour), Shock",REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1640,335,290,1.1405,2,0.8289,1.1944,0.857,1.1669
I00699,2,"Septicaemia (except in labour), Shock",RCF,AIREDALE NHS FOUNDATION TRUST,695,125,145,0.8601,2,0.764,1.2826,0.8252,1.2118
I00699,2,"Septicaemia (except in labour), Shock",RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,440,85,90,0.9589,2,0.702,1.3762,0.7918,1.263
I00699,2,"Septicaemia (except in labour), Shock",RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1595,305,315,0.975,2,0.8346,1.187,0.8595,1.1634
I00699,2,"Septicaemia (except in labour), Shock",RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,830,195,155,1.2281,1,0.7715,1.2719,0.8291,1.2061
I00699,2,"Septicaemia (except in labour), Shock",R1H,BARTS HEALTH NHS TRUST,2925,460,490,0.945,2,0.8659,1.148,0.8727,1.1459
I00699,2,"Septicaemia (except in labour), Shock",RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1635,355,320,1.1063,2,0.8359,1.1854,0.8601,1.1626
I00699,2,"Septicaemia (except in labour), Shock",RC1,BEDFORD HOSPITAL NHS TRUST,680,145,125,1.1479,2,0.7466,1.3078,0.8161,1.2253
I00699,2,"Septicaemia (except in labour), Shock",RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1725,310,335,0.9297,2,0.8398,1.1804,0.8618,1.1603
I00699,2,"Septicaemia (except in labour), Shock",RMC,BOLTON NHS FOUNDATION TRUST,935,165,185,0.8842,2,0.7878,1.2492,0.8374,1.1942
I00699,2,"Septicaemia (except in labour), Shock",RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,840,100,120,0.8412,2,0.7392,1.3189,0.8121,1.2313
I00699,2,"Septicaemia (except in labour), Shock",RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,1030,195,195,1.006,2,0.7936,1.2411,0.8403,1.1901
I00699,2,"Septicaemia (except in labour), Shock",RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1130,135,175,0.7765,3,0.7812,1.2583,0.834,1.199
I00699,2,"Septicaemia (except in labour), Shock",RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,595,105,105,1.0177,2,0.7255,1.3396,0.8047,1.2427
I00699,2,"Septicaemia (except in labour), Shock",RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1380,220,280,0.7798,3,0.8261,1.198,0.8557,1.1686
I00699,2,"Septicaemia (except in labour), Shock",RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,980,215,190,1.1287,2,0.7905,1.2454,0.8387,1.1923
I00699,2,"Septicaemia (except in labour), Shock",RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,995,190,200,0.9652,2,0.7946,1.2398,0.8408,1.1894
I00699,2,"Septicaemia (except in labour), Shock",RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,820,165,155,1.0587,2,0.7706,1.2731,0.8287,1.2067
I00699,2,"Septicaemia (except in labour), Shock",RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1195,230,225,1.0169,2,0.8067,1.2235,0.8466,1.1812
I00699,2,"Septicaemia (except in labour), Shock",RJ6,CROYDON HEALTH SERVICES NHS TRUST,1545,260,285,0.9231,2,0.8266,1.1974,0.8559,1.1683
I00699,2,"Septicaemia (except in labour), Shock",RN7,DARTFORD AND GRAVESHAM NHS TRUST,1115,185,170,1.0858,2,0.781,1.2586,0.8339,1.1991
I00699,2,"Septicaemia (except in labour), Shock",RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,1080,230,210,1.0895,2,0.8007,1.2315,0.8438,1.1852
I00699,2,"Septicaemia (except in labour), Shock",RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,270,60,50,1.1848,2,0.6239,1.5101,0.7467,1.3391
I00699,2,"Septicaemia (except in labour), Shock",RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,660,90,110,0.8136,2,0.7331,1.3281,0.8088,1.2363
I00699,2,"Septicaemia (except in labour), Shock",RJN,EAST CHESHIRE NHS TRUST,285,70,60,1.2115,2,0.6422,1.477,0.7575,1.3202
I00699,2,"Septicaemia (except in labour), Shock",RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1900,515,390,1.31,1,0.8511,1.1662,0.8667,1.1538
I00699,2,"Septicaemia (except in labour), Shock",RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,1720,380,330,1.1464,2,0.839,1.1814,0.8615,1.1608
I00699,2,"Septicaemia (except in labour), Shock",RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,2055,415,405,1.0289,2,0.8535,1.1632,0.8677,1.1525
I00699,2,"Septicaemia (except in labour), Shock",RXC,EAST SUSSEX HEALTHCARE NHS TRUST,1600,335,345,0.9639,2,0.8422,1.1774,0.8629,1.1589
I00699,2,"Septicaemia (except in labour), Shock",RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1040,195,210,0.9202,2,0.8001,1.2323,0.8435,1.1856
I00699,2,"Septicaemia (except in labour), Shock",RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,1880,320,335,0.9464,2,0.8399,1.1803,0.8619,1.1603
I00699,2,"Septicaemia (except in labour), Shock",RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,415,90,75,1.1452,2,0.6842,1.4052,0.7817,1.2793
I00699,2,"Septicaemia (except in labour), Shock",RLT,GEORGE ELIOT HOSPITAL NHS TRUST,510,100,105,0.9305,2,0.7257,1.3393,0.8048,1.2425
I00699,2,"Septicaemia (except in labour), Shock",RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1350,275,240,1.13,2,0.8132,1.2148,0.8497,1.1768
I00699,2,"Septicaemia (except in labour), Shock",RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1195,230,225,1.025,2,0.8059,1.2245,0.8463,1.1817
I00699,2,"Septicaemia (except in labour), Shock",RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,630,85,85,1.005,2,0.6957,1.3863,0.7882,1.2687
I00699,2,"Septicaemia (except in labour), Shock",RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,560,105,110,0.9321,2,0.7328,1.3285,0.8087,1.2366
I00699,2,"Septicaemia (except in labour), Shock",RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,300,50,60,0.8326,2,0.6511,1.4613,0.7627,1.3111
I00699,2,"Septicaemia (except in labour), Shock",RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,435,60,60,1.033,2,0.6455,1.4711,0.7594,1.3168
I00699,2,"Septicaemia (except in labour), Shock",RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,1120,260,225,1.157,2,0.8061,1.2243,0.8464,1.1815
I00699,2,"Septicaemia (except in labour), Shock",RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1965,285,340,0.8357,3,0.8412,1.1786,0.8625,1.1595
I00699,2,"Septicaemia (except in labour), Shock",R1F,ISLE OF WIGHT NHS TRUST,565,95,110,0.8634,2,0.7311,1.3311,0.8078,1.238
I00699,2,"Septicaemia (except in labour), Shock",RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,875,210,185,1.1344,2,0.7877,1.2493,0.8373,1.1943
I00699,2,"Septicaemia (except in labour), Shock",RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,670,105,125,0.8379,2,0.7465,1.308,0.816,1.2254
I00699,2,"Septicaemia (except in labour), Shock",RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1835,310,325,0.9633,2,0.8371,1.1839,0.8606,1.1619
I00699,2,"Septicaemia (except in labour), Shock",RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,455,80,95,0.8525,2,0.7143,1.3569,0.7986,1.2523
I00699,2,"Septicaemia (except in labour), Shock",RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2435,455,490,0.9291,2,0.8664,1.1473,0.8729,1.1456
I00699,2,"Septicaemia (except in labour), Shock",RR8,LEEDS TEACHING HOSPITALS NHS TRUST,1610,265,255,1.0334,2,0.8174,1.2093,0.8517,1.1741
I00699,2,"Septicaemia (except in labour), Shock",RJ2,LEWISHAM AND GREENWICH NHS TRUST,1380,230,230,1.0183,2,0.8077,1.2221,0.8471,1.1805
I00699,2,"Septicaemia (except in labour), Shock",R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1385,230,265,0.871,2,0.8206,1.2052,0.8532,1.1721
I00699,2,"Septicaemia (except in labour), Shock",RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,685,120,110,1.0807,2,0.7322,1.3294,0.8084,1.2371
I00699,2,"Septicaemia (except in labour), Shock",RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,790,150,150,1.0001,2,0.768,1.2769,0.8273,1.2087
I00699,2,"Septicaemia (except in labour), Shock",R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,1990,360,330,1.0874,2,0.8389,1.1815,0.8615,1.1608
I00699,2,"Septicaemia (except in labour), Shock",RPA,MEDWAY NHS FOUNDATION TRUST,1175,245,225,1.1026,2,0.8062,1.2242,0.8464,1.1815
I00699,2,"Septicaemia (except in labour), Shock",RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,735,135,135,1.0057,2,0.7535,1.2977,0.8198,1.2199
I00699,2,"Septicaemia (except in labour), Shock",RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1075,245,225,1.0896,2,0.8073,1.2227,0.8469,1.1808
I00699,2,"Septicaemia (except in labour), Shock",RXF,MID YORKSHIRE HOSPITALS NHS TRUST,1205,250,225,1.1183,2,0.806,1.2244,0.8463,1.1816
I00699,2,"Septicaemia (except in labour), Shock",RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,745,155,130,1.1881,2,0.7526,1.2991,0.8193,1.2206
I00699,2,"Septicaemia (except in labour), Shock",RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1265,290,255,1.1295,2,0.8179,1.2087,0.8519,1.1738
I00699,2,"Septicaemia (except in labour), Shock",RVJ,NORTH BRISTOL NHS TRUST,1325,190,250,0.7519,3,0.8164,1.2107,0.8512,1.1748
I00699,2,"Septicaemia (except in labour), Shock",RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,965,200,195,1.0379,2,0.7921,1.2432,0.8395,1.1912
I00699,2,"Septicaemia (except in labour), Shock",RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,675,145,115,1.2661,1,0.7359,1.3238,0.8104,1.234
I00699,2,"Septicaemia (except in labour), Shock",RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1775,365,340,1.0769,2,0.8405,1.1795,0.8621,1.1599
I00699,2,"Septicaemia (except in labour), Shock",RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,1685,285,320,0.8842,2,0.8361,1.1851,0.8602,1.1625
I00699,2,"Septicaemia (except in labour), Shock",RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1180,210,210,0.9846,2,0.8008,1.2314,0.8438,1.1851
I00699,2,"Septicaemia (except in labour), Shock",RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,355,70,75,0.9186,2,0.6789,1.4139,0.7787,1.2842
